s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.3012606E-001, 1.0078400E-006,-2.0729315E-009,-8.1794799E-005,-4.9865133E-009,-1.8106914E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3049247E-005,-8.0795829E-005, 7.0418732E-011
 1.2252451E+000, 1.2400775E-006,-1.5720823E-008,-8.1836755E-005,-1.1326361E-008,-2.0815003E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1368952E-005,-8.0644540E-005, 7.0408716E-011
 1.8203641E+000, 1.2433610E-006,-3.0356682E-008,-8.1666052E-005,-1.2080028E-008,-5.0271381E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1367144E-005,-8.0515399E-005, 7.0399000E-011
 2.4154832E+000, 1.2477233E-006,-4.4829675E-008,-8.1504738E-005,-1.0285603E-008,-9.0698564E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1365436E-005,-8.0402829E-005, 7.0389298E-011
 3.0106022E+000, 1.2502212E-006,-5.9299427E-008,-8.1352882E-005, 2.2946371E-009,-1.7212507E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1363791E-005,-8.0331790E-005, 7.0379608E-011
 3.6057212E+000, 1.2530032E-006,-7.3490147E-008,-8.1207191E-005, 1.7196223E-008,-3.0591836E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1362132E-005,-8.0316400E-005, 7.0369931E-011
 4.2008405E+000, 1.2530293E-006,-8.7549587E-008,-8.1061901E-005, 3.1166236E-008,-3.8585092E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1360454E-005,-8.0251106E-005, 7.0360266E-011
 4.8309665E+000, 1.2539357E-006,-1.0194489E-007,-8.0912719E-005, 3.9133542E-008,-4.9215051E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1358755E-005,-8.0213745E-005, 7.0350330E-011
 5.4260855E+000, 1.2542291E-006,-1.1626449E-007,-8.0765248E-005, 4.9027522E-008,-5.6079228E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1356972E-005,-8.0139049E-005, 7.0340407E-011
 6.0212045E+000, 1.2548592E-006,-1.2993727E-007,-8.0616265E-005, 4.5028826E-008,-7.9041726E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1355213E-005,-8.0236731E-005, 7.0330779E-011
 6.6163235E+000, 1.2550609E-006,-1.4348750E-007,-8.0467187E-005, 4.3767558E-008,-1.0718186E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1353446E-005,-8.0383665E-005, 7.0321164E-011
 7.2114425E+000, 1.2535128E-006,-1.5705518E-007,-8.0317393E-005, 4.7389001E-008,-1.3866019E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1351702E-005,-8.0560149E-005, 7.0311560E-011
 7.8065615E+000, 1.2557487E-006,-1.7036139E-007,-8.0177021E-005, 6.5144759E-008,-1.7382266E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1349930E-005,-8.0764715E-005, 7.0301968E-011
 8.4016809E+000, 1.2553030E-006,-1.8354518E-007,-8.0033886E-005, 8.7082918E-008,-2.2245922E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1348132E-005,-8.1099638E-005, 7.0292387E-011
 9.0318069E+000, 1.2545236E-006,-1.9704175E-007,-7.9876649E-005, 9.5431295E-008,-2.6751794E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1346293E-005,-8.1398915E-005, 7.0282538E-011
 9.6269255E+000, 1.2541945E-006,-2.1046062E-007,-7.9715665E-005, 1.0196432E-007,-3.0372659E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1344486E-005,-8.1607233E-005, 7.0272700E-011
 1.0222045E+001, 1.2549876E-006, 1.9208716E-004,-1.0891878E-002, 1.0594439E-002,-3.5754076E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1342741E-005,-1.0767217E-004, 7.0263161E-011
 1.0817163E+001, 1.2551020E-006, 6.8646220E-003,-1.8685275E-001, 1.7937303E-001,-3.8061087E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.5375798E-004,-6.1764739E-004, 7.0255619E-011
 1.1412283E+001, 1.2564118E-006, 2.3904144E-002,-4.8186808E-001, 4.5579242E-001,-3.6712193E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.8216680E-004,-2.1739263E-003, 7.0260105E-011
 1.2007401E+001, 1.2548764E-006, 4.7733928E-002,-8.0566983E-001, 7.5074144E-001,-3.3778629E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4318793E-003,-7.1965865E-003, 7.0286129E-011
 1.2602521E+001, 1.2567153E-006, 7.9690267E-002,-1.1336060E+000, 1.0393731E+000,-3.0545976E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4079519E-003,-1.4544441E-002, 7.0342535E-011
 1.3232647E+001, 1.2588337E-006, 1.2247920E-001,-1.4848742E+000, 1.3485440E+000,-2.8881915E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.3181524E-005,-1.3852628E-002, 7.0444852E-011
 1.3827765E+001, 1.2599587E-006, 1.7872317E-001,-1.9907746E+000, 1.7932734E+000,-3.1027962E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4377585E-003,-1.8779791E-002, 7.0607850E-011
 1.4422885E+001, 1.2639643E-006, 2.4794808E-001,-2.6132457E+000, 2.3367047E+000,-2.9788346E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.3833400E-003,-2.8594619E-002, 7.0848242E-011
 1.5018003E+001, 1.2689452E-006, 3.3301372E-001,-3.1676898E+000, 2.7937801E+000,-3.1713788E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.7007767E-003,-4.0897858E-002, 7.1208489E-011
 1.5613123E+001, 1.2761007E-006, 4.3784163E-001,-3.6647269E+000, 3.1763254E+000,-3.4585568E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.3596539E-004,-5.0562026E-002, 7.1765906E-011
 1.6214249E+001, 1.2893518E-006, 5.7094970E-001,-4.2861336E+000, 3.6590887E+000,-4.6429525E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.7451843E-003,-5.6098485E-002, 7.2864095E-011
 1.6805702E+001, 1.2959390E-006, 7.4294285E-001,-4.8563498E+000, 4.0450413E+000,-1.3246915E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5380649E-003,-6.8377588E-002, 7.5117021E-011
 1.7408684E+001, 1.3299728E-006, 9.2639097E-001,-5.5888431E+000, 4.5825477E+000,-3.6943811E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.1638395E-003,-7.9940043E-002, 7.8448952E-011
 1.8007652E+001, 1.4021499E-006, 1.1404824E+000,-6.4357251E+000, 5.2140948E+000,-1.3725781E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0705842E-002,-8.1283734E-002, 8.3470097E-011
 1.8613754E+001, 1.5124876E-006, 1.3969286E+000,-7.1842995E+000, 5.6899801E+000,-2.9638418E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.3038219E-003,-9.7685715E-002, 9.1393167E-011
 1.9206388E+001, 1.7621976E-006, 1.6855643E+000,-7.9489467E+000, 6.1518829E+000,-3.9868789E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.5818251E-003,-1.1189646E-001, 1.0932315E-010
 1.9815048E+001, 2.3203967E-006, 2.0108349E+000,-8.8053419E+000, 6.6514883E+000,-4.6649302E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.0049078E-003,-1.4348279E-001, 1.4807558E-010
 2.0412987E+001, 3.6173329E-006, 2.3969989E+000,-9.7409002E+000, 7.1484763E+000,-7.0864801E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0906454E-002,-1.9613004E-001, 2.3313801E-010
 2.1010458E+001, 6.4640638E-006, 2.8289310E+000,-1.0708614E+001, 7.6062950E+000,-7.4736646E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4840406E-002,-2.7412852E-001, 4.1699190E-010
 2.1608320E+001, 1.3522636E-005, 3.3107836E+000,-1.1757901E+001, 8.1872988E+000,-7.9599877E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.0655196E-003,-2.6060090E-001, 8.8663973E-010
 2.2206182E+001, 3.1440334E-005, 3.8521386E+000,-1.2919726E+001, 8.8019257E+000,-5.5186776E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8807689E-003,-2.6618247E-001, 2.0392981E-009
 2.2804045E+001, 8.0595028E-005, 4.4547632E+000,-1.4119871E+001, 9.4018265E+000,-2.4953926E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1797939E-002,-2.6344998E-001, 5.3070419E-009
 2.3400684E+001, 2.0133787E-004, 5.1307050E+000,-1.5459558E+001, 1.0005157E+001,-1.7720309E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.5777101E-003,-3.2367171E-001, 1.2864182E-008
 2.4007378E+001, 4.1391782E-004, 5.8885559E+000,-1.6919600E+001, 1.0637454E+001,-2.1230244E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.3341853E-003,-3.9338865E-001, 2.5859803E-008
 2.4608105E+001, 7.9672671E-004, 6.7139031E+000,-1.8258192E+001, 1.1117202E+001,-3.3937084E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.4761684E-003,-4.2662953E-001, 4.9499687E-008
 2.5201126E+001, 1.4630185E-003, 7.6076256E+000,-1.9906201E+001, 1.1847801E+001,-7.9685974E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0792982E-004,-4.5010830E-001, 8.9933204E-008
 2.5805344E+001, 2.6225839E-003, 8.5928058E+000,-2.1514471E+001, 1.2411405E+001,-1.6769748E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2645443E-002,-5.0931468E-001, 1.6003725E-007
 2.6402149E+001, 4.8422366E-003, 9.6892871E+000,-2.3267481E+001, 1.3017755E+001,-3.4166514E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0781830E-004,-5.5901357E-001, 2.9584374E-007
 2.7010193E+001, 8.3038707E-003, 1.0860989E+001,-2.4878592E+001, 1.3314889E+001,-6.8009807E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5643336E-002,-7.0121107E-001, 5.1056877E-007
 2.7610565E+001, 1.8370505E-002, 1.2114384E+001,-2.6784732E+001, 1.3819235E+001,-1.0342907E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7034371E-003,-8.4308582E-001, 1.1699099E-006
 2.8208752E+001, 7.2650591E-002, 1.3415165E+001,-2.8820522E+001, 1.4496142E+001,-1.5480436E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4967278E-002,-8.5204516E-001, 5.5024076E-006
 2.8802055E+001, 3.7357468E-001, 1.4665651E+001,-3.1162001E+001, 1.5251401E+001,-2.0162727E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.3317174E-003,-8.9153718E-001, 2.4892368E-005
 2.9406315E+001, 9.5775364E-001, 1.5893565E+001,-3.3498195E+001, 1.5698368E+001,-2.3614332E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.8790491E-002,-9.7212326E-001, 5.8845600E-005
 3.0006310E+001, 1.6018531E+000, 1.7347482E+001,-3.6387693E+001, 1.6447186E+001,-2.2337167E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2263017E-002,-1.0135096E+000, 8.9110699E-005
 3.0603260E+001, 1.6081121E+000, 1.9273378E+001,-3.8889374E+001, 1.6866136E+001,-2.2022734E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.6666974E-003,-1.1637714E+000, 9.3721389E-005
 3.1200417E+001, 1.7914841E+000, 2.1011727E+001,-4.1410465E+001, 1.7270439E+001,-3.3475365E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1738506E-002,-1.3702903E+000, 9.9940541E-005
 3.1802231E+001, 2.0740327E+000, 2.2984897E+001,-4.4320151E+001, 1.7665037E+001,-4.1027183E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.3581709E-003,-1.6372116E+000, 1.2002088E-004
 3.2400223E+001, 2.7080087E+000, 2.4888576E+001,-4.7474976E+001, 1.8233513E+001,-5.3769583E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.0256247E-002,-1.6986476E+000, 1.5178198E-004
 3.3002262E+001, 2.7971681E+000, 2.7361873E+001,-5.1070682E+001, 1.9405136E+001,-3.0499272E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7880909E-002,-1.5370046E+000, 1.5818309E-004
 3.3607880E+001, 2.8634701E+000, 2.9967426E+001,-5.3985487E+001, 1.9383173E+001,-3.5395964E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.4846061E-002,-1.8068136E+000, 1.6039833E-004
 3.4203503E+001, 3.1026558E+000, 3.2627639E+001,-5.7364597E+001, 1.9550182E+001,-5.0109723E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.7614192E-002,-2.1342292E+000, 1.6886235E-004
 3.4807076E+001, 3.0669988E+000, 3.5417397E+001,-6.0988627E+001, 2.0248309E+001,-4.9645838E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.8187858E-003,-2.3055676E+000, 1.7285356E-004
 3.5407219E+001, 3.2703435E+000, 3.8292528E+001,-6.4904572E+001, 2.1146292E+001,-4.4339149E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.4875153E-003,-2.2397469E+000, 1.8474748E-004
 3.6000473E+001, 3.3052832E+000, 4.1366831E+001,-6.8945072E+001, 2.1924627E+001,-4.7301775E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9604961E-002,-2.3956323E+000, 1.8723283E-004
 3.6600536E+001, 3.4336653E+000, 4.4728717E+001,-7.3008708E+001, 2.2182437E+001,-4.2408975E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4547355E-002,-2.7062973E+000, 1.9937138E-004
 3.7205326E+001, 3.9516755E+000, 4.7798777E+001,-7.7080099E+001, 2.2675623E+001,-5.1250396E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0609154E-001,-2.7052738E+000, 2.1160503E-004
 3.7805172E+001, 4.0613457E+000, 5.1840627E+001,-8.1799616E+001, 2.2799854E+001,-4.2565220E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.4433259E-002,-3.1403542E+000, 2.3267551E-004
