s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.3012606E-001, 2.0121897E-006, 3.3173020E-009,-7.3986414E-004,-5.0317913E-009,-1.8023380E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1907902E-004,-7.3787169E-004, 1.4059316E-010
 1.2252451E+000, 2.4868725E-006,-4.7048838E-008,-7.3959620E-004,-1.1458711E-008,-1.3959252E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0373109E-004,-7.3730743E-004, 1.4056296E-010
 1.8203641E+000, 2.5018494E-006,-1.0135375E-007,-7.3890199E-004,-1.2410244E-008,-3.3062554E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0370872E-004,-7.3684453E-004, 1.4053365E-010
 2.4154832E+000, 2.5079209E-006,-1.5518543E-007,-7.3820502E-004,-9.2822471E-009,-5.3312947E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0368715E-004,-7.3639470E-004, 1.4050436E-010
 3.0106022E+000, 2.5098341E-006,-2.0909572E-007,-7.3749765E-004, 3.8211768E-009,-1.1205345E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0366583E-004,-7.3631362E-004, 1.4047509E-010
 3.6057212E+000, 2.5106583E-006,-2.6199335E-007,-7.3676405E-004, 1.9609818E-008,-2.0642566E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0364415E-004,-7.3656003E-004, 1.4044584E-010
 4.2008405E+000, 2.5102681E-006,-3.1438773E-007,-7.3597826E-004, 3.2130568E-008,-3.3000849E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0362270E-004,-7.3705033E-004, 1.4041662E-010
 4.8309665E+000, 2.5098359E-006,-3.6798178E-007,-7.3508292E-004, 4.0098013E-008,-4.8115677E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0359964E-004,-7.3771254E-004, 1.4038657E-010
 5.4260855E+000, 2.5108336E-006,-4.2109695E-007,-7.3408966E-004, 5.1402285E-008,-6.0472831E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0357592E-004,-7.3799580E-004, 1.4035653E-010
 6.0212045E+000, 2.5104279E-006,-4.7154102E-007,-7.3300175E-004, 5.1553967E-008,-4.8524025E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0355194E-004,-7.3576371E-004, 1.4032739E-010
 6.6163235E+000, 2.5088012E-006,-5.2118635E-007,-7.3180776E-004, 5.1868603E-008,-3.7147711E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0352718E-004,-7.3348305E-004, 1.4029826E-010
 7.2114425E+000, 2.5097502E-006,-5.7050130E-007,-7.3052293E-004, 5.1997436E-008,-4.2264325E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0350050E-004,-7.3275812E-004, 1.4026917E-010
 7.8065615E+000, 2.5090271E-006,-6.1835386E-007,-7.2916923E-004, 7.5595970E-008,-5.3908198E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0347188E-004,-7.3259378E-004, 1.4024010E-010
 8.4016809E+000, 2.5074461E-006,-6.6522279E-007,-7.2774489E-004, 9.5850716E-008,-7.0442623E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0343933E-004,-7.3285108E-004, 1.4021105E-010
 9.0318069E+000, 2.5070450E-006,-7.1262788E-007,-7.2620903E-004, 9.7997919E-008,-8.9020897E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0340130E-004,-7.3321871E-004, 1.4018118E-010
 9.6269255E+000, 2.5082580E-006,-7.5908910E-007,-7.2462585E-004, 1.0610837E-007,-1.1111349E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0335590E-004,-7.3388193E-004, 1.4015134E-010
 1.0222045E+001, 2.5067402E-006, 1.9052606E-004,-1.1534352E-002, 1.0594358E-002,-1.3671659E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0330176E-004,-7.6063355E-004, 1.4012239E-010
 1.0817163E+001, 2.5060522E-006, 6.8297814E-003,-1.8746034E-001, 1.7937105E-001,-1.3262035E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6185548E-004,-1.2702654E-003, 1.4009502E-010
 1.1412283E+001, 2.5050567E-006, 2.3784093E-002,-4.8239243E-001, 4.5579123E-001,-5.9119873E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.9083479E-004,-2.8205127E-003, 1.4007718E-010
 1.2007401E+001, 2.5051396E-006, 4.7494333E-002,-8.0608144E-001, 7.5074582E-001,-5.8738041E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3391885E-003,-7.8446579E-003, 1.4007631E-010
 1.2602521E+001, 2.5065103E-006, 7.9289231E-002,-1.1338727E+000, 1.0394011E+000,-7.1356715E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3163320E-003,-1.5187056E-002, 1.4009921E-010
 1.3232647E+001, 2.5058326E-006, 1.2186191E-001,-1.4849173E+000, 1.3485606E+000,-8.7096815E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.3844882E-005,-1.4500978E-002, 1.4015701E-010
 1.3827765E+001, 2.5070258E-006, 1.7781742E-001,-1.9905425E+000, 1.7936009E+000,-9.3640617E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.3550482E-003,-1.9130988E-002, 1.4026161E-010
 1.4422885E+001, 2.5117023E-006, 2.4669709E-001,-2.6129645E+000, 2.3384800E+000,-1.4583091E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.3264501E-003,-2.7799436E-002, 1.4043126E-010
 1.5018003E+001, 2.5162314E-006, 3.3134106E-001,-3.1664695E+000, 2.7951773E+000,-1.6777858E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.6125670E-003,-3.9965368E-002, 1.4069053E-010
 1.5613123E+001, 2.5184536E-006, 4.3561088E-001,-3.6597175E+000, 3.1773738E+000,-1.9054076E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.5421055E-004,-4.6749365E-002, 1.4107299E-010
 1.6216944E+001, 2.5356154E-006, 5.7157865E-001,-4.2692825E+000, 3.6569228E+000,-2.5690182E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.6842049E-003,-4.0804181E-002, 1.4176686E-010
 1.6806404E+001, 2.5197797E-006, 7.3970116E-001,-4.8297464E+000, 4.0445075E+000,-6.8050753E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8137057E-003,-4.5603288E-002, 1.4305855E-010
 1.7417864E+001, 2.5232987E-006, 9.2509131E-001,-5.5824198E+000, 4.6055581E+000,-1.8046965E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.5920102E-003,-5.1948299E-002, 1.4474830E-010
 1.8002384E+001, 2.5556524E-006, 1.1367131E+000,-6.4151778E+000, 5.2208486E+000,-4.7559009E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0368780E-002,-5.8089201E-002, 1.4697536E-010
 1.8616024E+001, 2.5730317E-006, 1.3867355E+000,-7.1508511E+000, 5.6924042E+000,-7.9884857E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.5987507E-003,-7.2507738E-002, 1.5005908E-010
 1.9208179E+001, 2.6348147E-006, 1.6782593E+000,-7.9071130E+000, 6.1491715E+000,-1.5181344E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.9788498E-003,-8.1197704E-002, 1.5522667E-010
 1.9815813E+001, 2.7237024E-006, 2.0091521E+000,-8.7890335E+000, 6.6738434E+000,-3.4942691E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.2363363E-003,-1.0952954E-001, 1.6324499E-010
 2.0408899E+001, 2.9216280E-006, 2.3826924E+000,-9.6690350E+000, 7.1531595E+000,-6.9018833E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2238734E-002,-1.4008215E-001, 1.7761397E-010
 2.1009157E+001, 3.2100115E-006, 2.8137975E+000,-1.0620436E+001, 7.5796577E+000,-9.7769015E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1249317E-002,-2.3675418E-001, 2.0268235E-010
 2.1601357E+001, 3.9357434E-006, 3.2935609E+000,-1.1707056E+001, 8.2060930E+000,-1.1216126E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2167708E-003,-2.1861428E-001, 2.5127998E-010
 2.2201319E+001, 5.4871566E-006, 3.8163614E+000,-1.2792414E+001, 8.7964011E+000,-5.0237660E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.9643044E-003,-1.8466963E-001, 3.4934787E-010
 2.2801184E+001, 9.1584527E-006, 4.4286553E+000,-1.4068126E+001, 9.4578920E+000,-1.6824232E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4488969E-003,-1.8325220E-001, 5.8381681E-010
 2.3408226E+001, 1.7281438E-005, 5.1073017E+000,-1.5342703E+001, 1.0054204E+001,-9.4435346E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9733200E-003,-1.8212454E-001, 1.1032901E-009
 2.4008627E+001, 3.5342996E-005, 5.8664190E+000,-1.6835748E+001, 1.0721672E+001,-6.1846993E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9630780E-003,-2.4824005E-001, 2.2795930E-009
 2.4605667E+001, 8.0662683E-005, 6.6810670E+000,-1.8218622E+001, 1.1207634E+001,-6.8248322E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9528780E-003,-3.3052284E-001, 5.1343224E-009
 2.5208229E+001, 1.7508588E-004, 7.6010923E+000,-1.9766252E+001, 1.1838564E+001,-7.7639915E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1454193E-002,-3.2719696E-001, 1.1105041E-008
 2.5808844E+001, 3.6635726E-004, 8.5876579E+000,-2.1358239E+001, 1.2327112E+001,-1.6641708E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.3269129E-003,-4.4476775E-001, 2.2677044E-008
 2.6409401E+001, 6.7946910E-004, 9.6825597E+000,-2.3169157E+001, 1.2996174E+001,-2.1477327E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.4144459E-003,-4.9189151E-001, 4.0761982E-008
 2.7009956E+001, 1.1389761E-003, 1.0867803E+001,-2.4890357E+001, 1.3466772E+001,-5.1119936E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6546893E-002,-5.5975459E-001, 6.9880702E-008
 2.7610226E+001, 1.8688740E-003, 1.2166721E+001,-2.6824892E+001, 1.4007055E+001,-9.9270470E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1026516E-002,-6.5917407E-001, 1.1071693E-007
 2.8210209E+001, 2.7473031E-003, 1.3586150E+001,-2.9027746E+001, 1.4591443E+001,-1.7416856E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9457433E-003,-8.6482221E-001, 1.6324594E-007
 2.8807880E+001, 4.1576604E-003, 1.5077909E+001,-3.0917010E+001, 1.4860084E+001,-2.8724619E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1750829E-002,-1.0035836E+000, 2.4753959E-007
 2.9404533E+001, 6.5149812E-003, 1.6685436E+001,-3.3366268E+001, 1.5611798E+001,-3.6216535E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8077027E-002,-1.0987354E+000, 3.8645810E-007
 3.0009254E+001, 1.0655938E-002, 1.8421801E+001,-3.5838155E+001, 1.6343989E+001,-4.5940652E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9239824E-002,-1.1076496E+000, 6.5285285E-007
 3.0603897E+001, 2.1268801E-002, 2.0270183E+001,-3.8602374E+001, 1.7070582E+001,-5.7662497E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2249523E-002,-1.2980025E+000, 1.3835108E-006
 3.1200106E+001, 2.3265814E-001, 2.2058364E+001,-4.1115011E+001, 1.7497286E+001,-8.5735614E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.3943495E-002,-1.4124384E+000, 2.1219855E-005
 3.1807009E+001, 1.8809860E+000, 2.3099455E+001,-4.4542890E+001, 1.7992942E+001,-9.2990496E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.4566531E-002,-1.6624974E+000, 1.1794049E-004
 3.2406975E+001, 1.9124980E+000, 2.5259046E+001,-4.7465504E+001, 1.8674090E+001,-1.0674797E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.9475930E-002,-1.7266181E+000, 1.0103627E-004
 3.3003387E+001, 2.1607305E+000, 2.7611626E+001,-5.1042563E+001, 1.9440741E+001,-7.6591152E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7187661E-002,-1.9060569E+000, 1.2002947E-004
 3.3602524E+001, 2.0130361E+000, 3.0303655E+001,-5.4175362E+001, 1.9793428E+001,-1.0648618E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.3294462E-002,-2.1717286E+000, 1.1566980E-004
 3.4201664E+001, 2.4737079E+000, 3.2794799E+001,-5.8181072E+001, 2.0716284E+001,-1.0303294E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.7700182E-003,-2.2993137E+000, 1.3366904E-004
 3.4807907E+001, 2.8609981E+000, 3.5377733E+001,-6.1563905E+001, 2.0703407E+001,-1.4566032E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.4842025E-002,-2.7674276E+000, 1.6684998E-004
 3.5402958E+001, 3.8088067E+000, 3.7769746E+001,-6.5926037E+001, 2.1168119E+001,-1.5842877E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3736993E-002,-3.3377942E+000, 2.1825030E-004
 3.6002071E+001, 4.3691707E+000, 4.0744332E+001,-7.0150984E+001, 2.2116912E+001,-1.1485453E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4792747E-001,-3.0354240E+000, 2.4451513E-004
 3.6602566E+001, 3.7499461E+000, 4.4579107E+001,-7.4299844E+001, 2.2727620E+001,-1.1933837E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8933923E-002,-3.3625096E+000, 2.1650726E-004
 3.7205177E+001, 4.2184778E+000, 4.8056725E+001,-7.8234546E+001, 2.1858163E+001,-2.2188619E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.6165720E-002,-4.3230671E+000, 2.2564352E-004
 3.7806599E+001, 4.4791843E+000, 5.1997026E+001,-8.3131067E+001, 2.2091796E+001,-1.9604877E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.5168192E-002,-4.7591100E+000, 2.5241476E-004
