s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.3012606E-001, 2.7460810E-006,-6.0941295E-010,-7.3604028E-004,-5.0408136E-009,-1.7916055E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1837226E-004,-7.3331776E-004, 1.9179022E-010
 1.2252451E+000, 3.4061015E-006,-6.4112613E-008,-7.3564691E-004,-1.1260877E-008,-1.3882022E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0311730E-004,-7.3245500E-004, 1.9175111E-010
 1.8203641E+000, 3.4222305E-006,-1.3244747E-007,-7.3468230E-004,-1.2155209E-008,-2.8920687E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0309596E-004,-7.3169388E-004, 1.9171315E-010
 2.4154832E+000, 3.4272808E-006,-2.0008994E-007,-7.3373646E-004,-9.3073148E-009,-5.2319524E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0307539E-004,-7.3104177E-004, 1.9167522E-010
 3.0106022E+000, 3.4278155E-006,-2.6775090E-007,-7.3279397E-004, 4.5388526E-009,-1.1138775E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0305497E-004,-7.3074324E-004, 1.9163733E-010
 3.6057212E+000, 3.4293282E-006,-3.3407358E-007,-7.3183064E-004, 2.0304422E-008,-2.0479094E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0303448E-004,-7.3076300E-004, 1.9159948E-010
 4.2008405E+000, 3.4279572E-006,-3.9970003E-007,-7.3080557E-004, 3.3620050E-008,-3.2797653E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0301395E-004,-7.3102346E-004, 1.9156166E-010
 4.8309665E+000, 3.4278455E-006,-4.6677679E-007,-7.2963795E-004, 4.0868967E-008,-4.7724701E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0299195E-004,-7.3140849E-004, 1.9152277E-010
 5.4260855E+000, 3.4276385E-006,-5.3315639E-007,-7.2833552E-004, 5.2462789E-008,-6.0785817E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0296920E-004,-7.3146715E-004, 1.9148391E-010
 6.0212045E+000, 3.4272470E-006,-5.9610731E-007,-7.2690367E-004, 5.1395637E-008,-4.4166527E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0294622E-004,-7.2843779E-004, 1.9144620E-010
 6.6163235E+000, 3.4260666E-006,-6.5796315E-007,-7.2533013E-004, 5.0524731E-008,-3.8297231E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0292254E-004,-7.2634123E-004, 1.9140854E-010
 7.2114425E+000, 3.4264017E-006,-7.1930562E-007,-7.2363750E-004, 4.9244117E-008,-4.1665188E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0289691E-004,-7.2504768E-004, 1.9137091E-010
 7.8065615E+000, 3.4254996E-006,-7.7871872E-007,-7.2185977E-004, 7.6549158E-008,-5.4385315E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0286937E-004,-7.2457497E-004, 1.9133332E-010
 8.4016809E+000, 3.4232315E-006,-8.3680320E-007,-7.1999672E-004, 9.7447928E-008,-7.0089806E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0283805E-004,-7.2432183E-004, 1.9129578E-010
 9.0318069E+000, 3.4226641E-006,-8.9546494E-007,-7.1800161E-004, 1.0025779E-007,-8.9658093E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0280154E-004,-7.2433996E-004, 1.9125717E-010
 9.6269255E+000, 3.4227508E-006,-9.5283777E-007,-7.1595438E-004, 1.0901794E-007,-1.0776824E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0275754E-004,-7.2415227E-004, 1.9121861E-010
 1.0222045E+001, 3.4226362E-006, 1.8981872E-004,-1.1524738E-002, 1.0594362E-002,-1.3588190E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0270556E-004,-7.5072361E-004, 1.9118121E-010
 1.0817163E+001, 3.4231561E-006, 6.8118394E-003,-1.8743384E-001, 1.7937094E-001,-1.3493603E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6244905E-004,-1.2611253E-003, 1.9114650E-010
 1.1412283E+001, 3.4190829E-006, 2.3721931E-002,-4.8232450E-001, 4.5579128E-001,-6.4088781E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.9142341E-004,-2.8142754E-003, 1.9112800E-010
 1.2007401E+001, 3.4238840E-006, 4.7369944E-002,-8.0595667E-001, 7.5074592E-001,-6.1894200E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3397687E-003,-7.8435677E-003, 1.9113837E-010
 1.2602521E+001, 3.4200400E-006, 7.9080692E-002,-1.1336728E+000, 1.0394011E+000,-7.0939524E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3168995E-003,-1.5194682E-002, 1.9118918E-010
 1.3232647E+001, 3.4229956E-006, 1.2153951E-001,-1.4846158E+000, 1.3485608E+000,-8.3270078E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.3187506E-005,-1.4520378E-002, 1.9129974E-010
 1.3827765E+001, 3.4289617E-006, 1.7734605E-001,-1.9899114E+000, 1.7936015E+000,-1.0126422E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.3555192E-003,-1.8970483E-002, 1.9149041E-010
 1.4422885E+001, 3.4310284E-006, 2.4604525E-001,-2.6114111E+000, 2.3384619E+000,-1.2189089E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.3239642E-003,-2.6912791E-002, 1.9179525E-010
 1.5018003E+001, 3.4405172E-006, 3.3046655E-001,-3.1643756E+000, 2.7951062E+000,-1.5722794E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.6145237E-003,-3.8815151E-002, 1.9225796E-010
 1.5613123E+001, 3.4476939E-006, 4.3446707E-001,-3.6549680E+000, 3.1774478E+000,-1.8993276E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.5794421E-004,-4.3068651E-002, 1.9294027E-010
 1.6220589E+001, 3.4810681E-006, 5.7078532E-001,-4.2514631E+000, 3.6585978E+000,-2.5657378E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.7190707E-003,-2.2102215E-002, 1.9423924E-010
 1.6807751E+001, 3.4820649E-006, 7.3842298E-001,-4.8043161E+000, 4.0472694E+000,-6.7049502E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6957041E-003,-1.8687300E-002, 1.9674507E-010
 1.7406363E+001, 3.4971233E-006, 9.2055143E-001,-5.5473865E+000, 4.5998001E+000,-1.8057802E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.5039596E-003,-2.7211990E-002, 1.9993166E-010
 1.8004972E+001, 3.5640203E-006, 1.1328921E+000,-6.3834002E+000, 5.2183356E+000,-4.8675609E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0283975E-002,-3.2655595E-002, 2.0418564E-010
 1.8603582E+001, 3.6251018E-006, 1.3796066E+000,-7.1130766E+000, 5.6906926E+000,-8.7573558E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.5149677E-003,-4.3649475E-002, 2.1003617E-010
 1.9202194E+001, 3.7658524E-006, 1.6640817E+000,-7.8446003E+000, 6.1361062E+000,-2.2030679E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.8727417E-003,-4.6611795E-002, 2.2006017E-010
 1.9807487E+001, 3.9803526E-006, 1.9956485E+000,-8.7186217E+000, 6.6550143E+000,-5.0753558E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.4307386E-003,-7.3030279E-002, 2.3592780E-010
 2.0404612E+001, 4.4063421E-006, 2.3748624E+000,-9.5849239E+000, 7.1165111E+000,-7.4561935E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1927450E-002,-1.0100215E-001, 2.6538515E-010
 2.1005756E+001, 5.1575195E-006, 2.8043866E+000,-1.0546654E+001, 7.5449570E+000,-8.4551529E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1700029E-002,-2.0576025E-001, 3.1777843E-010
 2.1603617E+001, 6.7865555E-006, 3.2844148E+000,-1.1604382E+001, 8.1355600E+000,-1.0281495E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2603624E-003,-1.9468226E-001, 4.2417136E-010
 2.2205915E+001, 1.0148387E-005, 3.8154551E+000,-1.2700214E+001, 8.7387087E+000,-5.1544471E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0309331E-002,-1.5119446E-001, 6.3515448E-010
 2.2804956E+001, 1.7970785E-005, 4.4286689E+000,-1.4049566E+001, 9.4844635E+000,-2.0665968E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.4433383E-003,-1.3848211E-001, 1.1391055E-009
 2.3403996E+001, 3.5729313E-005, 5.0971207E+000,-1.5333629E+001, 1.0084154E+001,-1.0507373E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.5416745E-003,-1.5336926E-001, 2.2798957E-009
 2.4003036E+001, 7.6394893E-005, 5.8385490E+000,-1.6667784E+001, 1.0655059E+001,-7.0942300E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7890874E-003,-1.7480938E-001, 4.8873050E-009
 2.4602076E+001, 1.6937922E-004, 6.6546550E+000,-1.8082455E+001, 1.1180211E+001,-5.3548565E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.8094073E-003,-2.4795563E-001, 1.0755264E-008
 2.5208879E+001, 3.6005033E-004, 7.5727542E+000,-1.9494805E+001, 1.1608500E+001,-1.1810286E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9534531E-002,-3.1437201E-001, 2.2737813E-008
 2.5800575E+001, 7.3389654E-004, 8.5675764E+000,-2.1239991E+001, 1.2301632E+001,-2.9020261E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.0768259E-004,-3.7295008E-001, 4.5464797E-008
 2.6403875E+001, 1.3140813E-003, 9.6459350E+000,-2.2929952E+001, 1.2746000E+001,-3.9406146E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.4805392E-003,-5.4064365E-001, 8.0276394E-008
 2.7007174E+001, 2.2594989E-003, 1.0817039E+001,-2.4642078E+001, 1.3150047E+001,-7.6962399E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7776353E-002,-6.8042812E-001, 1.3685385E-007
 2.7610474E+001, 3.6913281E-003, 1.2118282E+001,-2.6684842E+001, 1.3809931E+001,-1.2186968E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5378939E-002,-7.6512542E-001, 2.2095486E-007
 2.8208378E+001, 5.7492125E-003, 1.3518275E+001,-2.8852418E+001, 1.4572457E+001,-2.0660570E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8135664E-002,-7.7659741E-001, 3.4100542E-007
 2.8809238E+001, 8.7802734E-003, 1.5016311E+001,-3.0953420E+001, 1.5063139E+001,-4.2474637E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4718788E-002,-9.0766490E-001, 5.2808593E-007
 2.9410757E+001, 1.3793163E-002, 1.6644284E+001,-3.3511222E+001, 1.5824464E+001,-5.0478488E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.8978016E-003,-1.0791598E+000, 8.3202766E-007
 3.0009188E+001, 2.5438759E-002, 1.8337523E+001,-3.5883046E+001, 1.6513258E+001,-5.3224203E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.1018580E-002,-1.0600503E+000, 1.5572068E-006
 3.0607912E+001, 7.9839889E-002, 2.0114499E+001,-3.8492228E+001, 1.7095041E+001,-6.5489276E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9450299E-002,-1.2683369E+000, 6.1730045E-006
 3.1206221E+001, 1.1189969E+000, 2.1338052E+001,-4.1386565E+001, 1.7557452E+001,-9.7605233E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.0899194E-002,-1.4696686E+000, 6.3679754E-005
 3.1801481E+001, 4.0906558E-001, 2.3855502E+001,-4.4101096E+001, 1.8419651E+001,-9.6559344E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0166735E-002,-1.5134372E+000, 3.3637333E-005
 3.2400856E+001, 4.6337077E+000, 2.4057061E+001,-4.9255762E+001, 1.9001478E+001,-1.1576643E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4386977E-001,-1.6792812E+000, 2.9012424E-004
 3.3003727E+001, 3.6576609E+000, 2.6823198E+001,-5.1915553E+001, 1.9649890E+001,-1.1825766E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8967057E-002,-1.9030609E+000, 1.9084984E-004
 3.3606594E+001, 5.1198044E+000, 2.8834735E+001,-5.6059542E+001, 1.9892549E+001,-1.6374433E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0479096E-001,-2.3761986E+000, 2.7665488E-004
 3.4204445E+001, 3.9871629E+000, 3.2117410E+001,-5.9124162E+001, 2.0344334E+001,-2.3094193E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1745023E-002,-2.9061964E+000, 2.4851653E-004
 3.4802044E+001, 5.1415061E+000, 3.4452254E+001,-6.3209437E+001, 2.0853569E+001,-2.3754868E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1447193E-001,-2.9996555E+000, 2.7380012E-004
 3.5406837E+001, 5.4921537E+000, 3.7227464E+001,-6.6848273E+001, 2.1021443E+001,-2.5999907E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.6839845E-002,-3.3672113E+000, 3.0662772E-004
 3.6000053E+001, 6.0840234E+000, 4.0157834E+001,-7.1421381E+001, 2.1840247E+001,-2.7959702E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.4389717E-002,-3.6188741E+000, 3.6551706E-004
 3.6604538E+001, 7.3062925E+000, 4.2872388E+001,-7.6118250E+001, 2.2233322E+001,-2.2472152E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.2268098E-002,-3.9309684E+000, 4.0872286E-004
 3.7202091E+001, 8.7204215E+000, 4.5827502E+001,-8.1349036E+001, 2.2999140E+001,-1.6324316E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.4391769E-002,-3.9652161E+000, 4.7818738E-004
 3.7804626E+001, 8.3746665E+000, 4.9534128E+001,-8.5579386E+001, 2.3071750E+001,-2.8729659E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1695586E-002,-4.8861381E+000, 4.6236112E-004
