s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.3012606E-001, 1.5424043E-007,-2.0260523E-009,-3.5404582E-005,-4.9433466E-009,-6.6199821E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.6995085E-006,-3.5257973E-005, 1.1493476E-011
 1.2252451E+000, 2.0550917E-007,-1.1864578E-008,-3.5300524E-005,-1.1409210E-008,-9.1878528E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.9650746E-006,-3.5127477E-005, 1.1491237E-011
 1.8203641E+000, 1.9485052E-007,-2.2450187E-008,-3.5149199E-005,-1.2608017E-008,-2.3902472E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.9639588E-006,-3.5013309E-005, 1.1489067E-011
 2.4154832E+000, 2.0735472E-007,-3.2907205E-008,-3.5028854E-005,-1.0932010E-008,-3.9033548E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.9632538E-006,-3.4904372E-005, 1.1486903E-011
 3.0106022E+000, 2.0409690E-007,-4.3357719E-008,-3.4904786E-005, 3.1597471E-009,-7.3921840E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.9621892E-006,-3.4814808E-005, 1.1484743E-011
 3.6057212E+000, 1.9858433E-007,-5.3591316E-008,-3.4783563E-005, 1.7111498E-008,-1.2232414E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.9612964E-006,-3.4743783E-005, 1.1482588E-011
 4.2008405E+000, 2.0598084E-007,-6.3722496E-008,-3.4679117E-005, 3.0584559E-008,-1.8495932E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.9603571E-006,-3.4691233E-005, 1.1480438E-011
 4.8309665E+000, 1.9913256E-007,-7.4087879E-008,-3.4559705E-005, 4.1558441E-008,-2.6593990E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.9594333E-006,-3.4659042E-005, 1.1478230E-011
 5.4260855E+000, 2.0619335E-007,-8.4395941E-008,-3.4454526E-005, 4.8001121E-008,-2.4465294E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.9584631E-006,-3.4529381E-005, 1.1476027E-011
 6.0212045E+000, 1.9563699E-007,-9.4227686E-008,-3.4331658E-005, 4.2353946E-008,-3.3781378E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.9573739E-006,-3.4525709E-005, 1.1473891E-011
 6.6163235E+000, 2.0834896E-007,-1.0396604E-007,-3.4237239E-005, 4.4157790E-008,-6.7136867E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.9566548E-006,-3.4760067E-005, 1.1471760E-011
 7.2114425E+000, 2.0436244E-007,-1.1372036E-007,-3.4128435E-005, 4.8616977E-008,-8.9554842E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.9555347E-006,-3.4884724E-005, 1.1469633E-011
 7.8065615E+000, 1.9925374E-007,-1.2327763E-007,-3.4025117E-005, 6.4964663E-008,-1.1695502E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.9546102E-006,-3.5053726E-005, 1.1467511E-011
 8.4016809E+000, 2.0612628E-007,-1.3274613E-007,-3.3935564E-005, 8.4026913E-008,-1.4661450E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.9536239E-006,-3.5244302E-005, 1.1465393E-011
 9.0318069E+000, 1.9983977E-007,-1.4243980E-007,-3.3826777E-005, 9.5568566E-008,-1.7363003E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.9526219E-006,-3.5410108E-005, 1.1463217E-011
 9.6269255E+000, 2.0633914E-007,-1.5208457E-007,-3.3729779E-005, 1.0443088E-007,-2.0895285E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.9516490E-006,-3.5660623E-005, 1.1461046E-011
 1.0222045E+001, 1.9629190E-007, 1.9248159E-004,-1.0846269E-002, 1.0594442E-002,-2.4167873E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.9506416E-006,-6.1566516E-005, 1.1458943E-011
 1.0817163E+001, 2.0814304E-007, 6.8762331E-003,-1.8681824E-001, 1.7937322E-001,-2.7490813E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.6015008E-004,-5.7132751E-004, 1.1457409E-011
 1.1412283E+001, 2.0482337E-007, 2.3944500E-002,-4.8186119E-001, 4.5579252E-001,-2.4314958E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.8856090E-004,-2.1264004E-003, 1.1459294E-011
 1.2007401E+001, 1.9936070E-007, 4.7814653E-002,-8.0570077E-001, 7.5074106E-001,-1.9291952E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4382768E-003,-7.1467785E-003, 1.1467296E-011
 1.2602521E+001, 2.0674240E-007, 7.9825512E-002,-1.1336858E+000, 1.0393709E+000,-2.0602782E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4147190E-003,-1.4491261E-002, 1.1483906E-011
 1.3232647E+001, 2.0182074E-007, 1.2268778E-001,-1.4850206E+000, 1.3485450E+000,-1.9983399E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.9795551E-005,-1.3789653E-002, 1.1513499E-011
 1.3827765E+001, 2.0696075E-007, 1.7902825E-001,-1.9910147E+000, 1.7932790E+000,-1.6222369E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4450522E-003,-1.8708918E-002, 1.1560132E-011
 1.4422885E+001, 2.0239319E-007, 2.4836899E-001,-2.6133934E+000, 2.3364619E+000,-1.4649673E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.3818486E-003,-2.8563731E-002, 1.1628127E-011
 1.5018003E+001, 2.0821600E-007, 3.3358620E-001,-3.1676544E+000, 2.7929228E+000,-1.4645137E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.7310258E-003,-4.1146712E-002, 1.1727942E-011
 1.5613123E+001, 2.0584787E-007, 4.3859164E-001,-3.6659668E+000, 3.1762591E+000,-1.5769414E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.9345807E-004,-5.1117522E-002, 1.1883303E-011
 1.6205694E+001, 2.0057216E-007, 5.7089352E-001,-4.2871594E+000, 3.6558752E+000,-2.1908482E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.6521205E-003,-6.0392678E-002, 1.2197526E-011
 1.6811081E+001, 2.0319032E-007, 7.4541326E-001,-4.8632068E+000, 4.0423477E+000,-6.5686549E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5655643E-003,-7.5452180E-002, 1.2830788E-011
 1.7412745E+001, 2.0580424E-007, 9.2940782E-001,-5.6003181E+000, 4.5841453E+000,-1.9090028E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.4007069E-003,-8.6783904E-002, 1.3807417E-011
 1.8012381E+001, 2.1387395E-007, 1.1448419E+000,-6.4514216E+000, 5.2199849E+000,-5.6750897E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0669074E-002,-8.6651408E-002, 1.5204546E-011
 1.8616215E+001, 2.3890822E-007, 1.4008274E+000,-7.2027621E+000, 5.6965331E+000,-1.1881267E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.5317519E-003,-1.0552020E-001, 1.7334583E-011
 1.9218370E+001, 2.8930504E-007, 1.6913519E+000,-7.9802110E+000, 6.1658111E+000,-1.5564081E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.7012991E-003,-1.2320332E-001, 2.1879611E-011
 1.9803612E+001, 3.9517500E-007, 2.0169780E+000,-8.8293132E+000, 6.6529134E+000,-2.2239597E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.9608813E-003,-1.5964385E-001, 3.0662782E-011
 2.0412148E+001, 6.8494391E-007, 2.3966512E+000,-9.7460472E+000, 7.1404300E+000,-3.2717909E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1081971E-002,-2.0929246E-001, 5.0583328E-011
 2.1004238E+001, 1.3546073E-006, 2.8235318E+000,-1.0723257E+001, 7.6376966E+000,-3.4170188E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2861482E-002,-2.6236936E-001, 9.4417137E-011
 2.1612774E+001, 2.8613762E-006, 3.3062988E+000,-1.1805804E+001, 8.2376767E+000,-3.4609984E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.3118548E-003,-2.6217202E-001, 1.9665062E-010
 2.2209974E+001, 6.3496294E-006, 3.8559710E+000,-1.3019994E+001, 8.8703923E+000,-2.4545974E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3424268E-003,-2.9386934E-001, 4.1884437E-010
 2.2812799E+001, 1.5336431E-005, 4.4687381E+000,-1.4135546E+001, 9.3483395E+000,-1.1002424E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.9956552E-003,-3.1856328E-001, 1.0158827E-009
 2.3400040E+001, 4.0870455E-005, 5.1529211E+000,-1.5561325E+001, 1.0110162E+001,-8.2198360E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.6487906E-003,-2.9828295E-001, 2.6599965E-009
 2.4005331E+001, 9.0637095E-005, 5.8865628E+000,-1.6915134E+001, 1.0702086E+001,-9.6282348E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8740364E-003,-3.2649059E-001, 5.7313656E-009
 2.4603401E+001, 1.7756519E-004, 6.7232898E+000,-1.8353940E+001, 1.1274670E+001,-2.1462015E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3337958E-002,-3.5601740E-001, 1.0985003E-008
 2.5202311E+001, 3.2110116E-004, 7.6445351E+000,-1.9926104E+001, 1.1803932E+001,-4.0475311E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.0587983E-003,-4.7772066E-001, 1.9613772E-008
 2.5808712E+001, 5.3272717E-004, 8.6344194E+000,-2.1427078E+001, 1.2318449E+001,-9.1921216E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5275565E-002,-4.7459529E-001, 3.1689798E-008
 2.6401083E+001, 7.9897338E-004, 9.7426248E+000,-2.3238450E+001, 1.2915862E+001,-1.9016060E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3485406E-003,-5.8106578E-001, 4.8184116E-008
 2.7003464E+001, 1.2685544E-003, 1.0925835E+001,-2.4860445E+001, 1.3312027E+001,-3.4446600E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5846149E-002,-6.2475956E-001, 7.5214517E-008
 2.7608086E+001, 1.9642508E-003, 1.2210970E+001,-2.6893965E+001, 1.3980046E+001,-4.6782640E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.3214878E-003,-7.0566229E-001, 1.1787757E-007
 2.8210096E+001, 3.4649523E-003, 1.3626269E+001,-2.8967071E+001, 1.4513499E+001,-7.0405222E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.8208552E-003,-8.3087891E-001, 2.1386460E-007
 2.8804016E+001, 7.6224104E-003, 1.5127400E+001,-3.1148310E+001, 1.5130783E+001,-8.0809840E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3446448E-002,-8.9058584E-001, 5.1222595E-007
 2.9405212E+001, 8.1814320E-002, 1.6569151E+001,-3.3262883E+001, 1.5624858E+001,-1.2662797E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2785927E-002,-9.9972274E-001, 6.4322997E-006
 3.0008150E+001, 3.6356457E-001, 1.8037424E+001,-3.5485094E+001, 1.6013765E+001,-1.6182355E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.1769834E-002,-1.0865231E+000, 2.3038754E-005
 3.0606945E+001, 5.4415999E-001, 1.9729384E+001,-3.8298337E+001, 1.6917769E+001,-1.7530969E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7680074E-002,-1.1245556E+000, 2.9107755E-005
 3.1208107E+001, 5.5967004E-001, 2.1697912E+001,-4.0808002E+001, 1.7334418E+001,-2.2343994E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0492242E-002,-1.2383453E+000, 3.2537858E-005
 3.1808182E+001, 6.7901514E-001, 2.3723050E+001,-4.3830961E+001, 1.8100810E+001,-2.9104685E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1020039E-002,-1.3571903E+000, 4.0862884E-005
 3.2401764E+001, 9.0857542E-001, 2.5738495E+001,-4.6618039E+001, 1.8450773E+001,-3.3118049E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.1601613E-003,-1.5533142E+000, 5.1062102E-005
 3.3003292E+001, 8.9671974E-001, 2.8300541E+001,-4.9645605E+001, 1.8923046E+001,-3.5709185E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.8866354E-002,-1.5610072E+000, 4.9228945E-005
 3.3606205E+001, 1.0757540E+000, 3.0742197E+001,-5.3046586E+001, 1.9578224E+001,-3.6818126E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5452450E-002,-1.6872290E+000, 6.0297676E-005
 3.4200680E+001, 1.0254403E+000, 3.3597094E+001,-5.6495200E+001, 2.0059482E+001,-3.4156911E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3998659E-002,-1.8473404E+000, 5.6651366E-005
 3.4802517E+001, 1.0632269E+000, 3.6395154E+001,-6.0056035E+001, 2.0920860E+001,-2.6804187E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.9886709E-002,-1.7035989E+000, 6.0740028E-005
 3.5404232E+001, 1.3082136E+000, 3.9317752E+001,-6.3930796E+001, 2.1371894E+001,-3.7370156E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0171755E-002,-1.9703063E+000, 7.3069015E-005
 3.6005974E+001, 1.3951869E+000, 4.2466640E+001,-6.8115763E+001, 2.1991582E+001,-3.9895196E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0024606E-002,-2.3022495E+000, 7.9760224E-005
 3.6605396E+001, 1.3686062E+000, 4.5874169E+001,-7.2065287E+001, 2.2643831E+001,-3.6252123E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.1555087E-002,-2.2149330E+000, 7.4381860E-005
 3.7200695E+001, 1.3502106E+000, 4.9777216E+001,-7.6330693E+001, 2.2725426E+001,-3.7969195E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.3104825E-002,-2.5158092E+000, 7.5676350E-005
 3.7803532E+001, 1.4217665E+000, 5.3455933E+001,-8.1234102E+001, 2.3895927E+001,-3.5515637E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4991258E-002,-2.4959908E+000, 7.9365703E-005
