s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.3012606E-001, 1.3765001E-006,-2.9745059E-009,-3.2144852E-004,-4.9816145E-009,-7.8228852E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.1672276E-005,-3.2008780E-004, 9.6177081E-011
 1.2252451E+000, 1.6948094E-006,-3.9763828E-008,-3.2126053E-004,-1.1573410E-008,-6.3336511E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5013511E-005,-3.1968039E-004, 9.6157997E-011
 1.8203641E+000, 1.7043093E-006,-7.9389443E-008,-3.2079546E-004,-1.2163342E-008,-1.6313072E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5004332E-005,-3.1934584E-004, 9.6139478E-011
 2.4154832E+000, 1.7106231E-006,-1.1864112E-007,-3.2034160E-004,-9.9300595E-009,-4.1558868E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.4995600E-005,-3.1917514E-004, 9.6120980E-011
 3.0106022E+000, 1.7127283E-006,-1.5793974E-007,-3.1989649E-004, 1.7406773E-009,-5.2476069E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.4986976E-005,-3.1886472E-004, 9.6102502E-011
 3.6057212E+000, 1.7137445E-006,-1.9650708E-007,-3.1945550E-004, 1.7084726E-008,-7.7506442E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.4978237E-005,-3.1869625E-004, 9.6084043E-011
 4.2008405E+000, 1.7139798E-006,-2.3473976E-007,-3.1901017E-004, 3.1003482E-008,-1.3028390E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.4969607E-005,-3.1880277E-004, 9.6065603E-011
 4.8309665E+000, 1.7163261E-006,-2.7391434E-007,-3.1854319E-004, 4.2585758E-008,-2.0211181E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.4960578E-005,-3.1907931E-004, 9.6046642E-011
 5.4260855E+000, 1.7141594E-006,-3.1286709E-007,-3.1805167E-004, 4.6607610E-008,-2.8570255E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.4951172E-005,-3.1946080E-004, 9.6027700E-011
 6.0212045E+000, 1.7155302E-006,-3.5002954E-007,-3.1755332E-004, 4.7860615E-008,-3.7918658E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.4942155E-005,-3.1993182E-004, 9.6009320E-011
 6.6163235E+000, 1.7147318E-006,-3.8681398E-007,-3.1701896E-004, 4.8233904E-008,-4.7705527E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.4932697E-005,-3.2041336E-004, 9.5990958E-011
 7.2114425E+000, 1.7146312E-006,-4.2358729E-007,-3.1644856E-004, 5.1051749E-008,-6.0929366E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.4923075E-005,-3.2119940E-004, 9.5972617E-011
 7.8065615E+000, 1.7151353E-006,-4.5953925E-007,-3.1584230E-004, 6.6093569E-008,-6.4984256E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.4913411E-005,-3.2101904E-004, 9.5954295E-011
 8.4016809E+000, 1.7151640E-006,-4.9501794E-007,-3.1518162E-004, 9.0306701E-008,-5.2130080E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.4903630E-005,-3.1908417E-004, 9.5935994E-011
 9.0318069E+000, 1.7152052E-006,-5.3116595E-007,-3.1444009E-004, 1.0105885E-007,-3.8024402E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.4893369E-005,-3.1695744E-004, 9.5917177E-011
 9.6269255E+000, 1.7131721E-006,-5.6687286E-007,-3.1364638E-004, 1.0679447E-007,-4.2751649E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.4882475E-005,-3.1666846E-004, 9.5898382E-011
 1.0222045E+001, 1.7150055E-006, 1.9104019E-004,-1.1124470E-002, 1.0594396E-002,-5.1764320E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.4871927E-005,-3.4249498E-004, 9.5880152E-011
 1.0817163E+001, 1.7141341E-006, 6.8408781E-003,-1.8706169E-001, 1.7937170E-001,-6.1138523E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.2023336E-004,-8.5351017E-004, 9.5863780E-011
 1.1412283E+001, 1.7132589E-006, 2.3822224E-002,-4.8202018E-001, 4.5579207E-001,-7.2364791E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.4863907E-004,-2.4114080E-003, 9.5858555E-011
 1.2007401E+001, 1.7142419E-006, 4.7570289E-002,-8.0574359E-001, 7.5074336E-001,-8.2284623E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3979387E-003,-7.4364503E-003, 9.5873228E-011
 1.2602521E+001, 1.7151570E-006, 7.9416228E-002,-1.1335768E+000, 1.0393839E+000,-9.5044406E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3748249E-003,-1.4784392E-002, 9.5915812E-011
 1.3232647E+001, 1.7145826E-006, 1.2205685E-001,-1.4846945E+000, 1.3485497E+000,-1.0904576E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6326540E-005,-1.4097180E-002, 9.5999937E-011
 1.3827765E+001, 1.7180129E-006, 1.7810411E-001,-1.9904133E+000, 1.7934041E+000,-1.2457757E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4087659E-003,-1.8915824E-002, 9.6138915E-011
 1.4422885E+001, 1.7210681E-006, 2.4708830E-001,-2.6128761E+000, 2.3377404E+000,-1.4013762E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.3734439E-003,-2.8059690E-002, 9.6351258E-011
 1.5018003E+001, 1.7250098E-006, 3.3187373E-001,-3.1664052E+000, 2.7945645E+000,-1.5512402E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.6803238E-003,-3.9980847E-002, 9.6673006E-011
 1.5613123E+001, 1.7325951E-006, 4.3631635E-001,-3.6607043E+000, 3.1768597E+000,-1.5490568E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.6250615E-004,-4.7542008E-002, 9.7149098E-011
 1.6213945E+001, 1.7486154E-006, 5.7241584E-001,-4.2734841E+000, 3.6572959E+000,-8.4320406E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.6757013E-003,-4.3779072E-002, 9.8026712E-011
 1.6802475E+001, 1.7386032E-006, 7.4106468E-001,-4.8333596E+000, 4.0439045E+000,-3.9149182E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9214698E-003,-4.8427796E-002, 9.9730004E-011
 1.7408270E+001, 1.7539969E-006, 9.2276933E-001,-5.5735520E+000, 4.5944309E+000,-1.2023990E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.3346672E-003,-5.6470275E-002, 1.0199568E-010
 1.8003342E+001, 1.8021567E-006, 1.1353547E+000,-6.4125628E+000, 5.2171647E+000,-1.9827896E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0551945E-002,-6.0239962E-002, 1.0510045E-010
 1.8614157E+001, 1.8411118E-006, 1.3892177E+000,-7.1580600E+000, 5.6945190E+000,-3.2408712E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.2794924E-003,-7.4645518E-002, 1.0951908E-010
 1.9207586E+001, 1.9556325E-006, 1.6797846E+000,-7.9192406E+000, 6.1549377E+000,-8.0635611E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.4945152E-003,-8.5322670E-002, 1.1740141E-010
 1.9811346E+001, 2.1311312E-006, 2.0099062E+000,-8.7731053E+000, 6.6387105E+000,-2.1222157E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.0860633E-003,-1.2660873E-001, 1.3079780E-010
 2.0409849E+001, 2.4907992E-006, 2.3895281E+000,-9.6909085E+000, 7.1561991E+000,-3.3822458E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0797471E-002,-1.4856107E-001, 1.5609455E-010
 2.1008352E+001, 3.1851584E-006, 2.8142885E+000,-1.0692297E+001, 7.6699649E+000,-2.9938620E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5487310E-002,-2.1103459E-001, 2.0327355E-010
 2.1600046E+001, 4.6421509E-006, 3.2933322E+000,-1.1745357E+001, 8.2469054E+000,-3.6402076E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6230699E-004,-2.0875457E-001, 3.0140402E-010
 2.2208664E+001, 8.0076755E-006, 3.8384609E+000,-1.2907298E+001, 8.8639776E+000,-2.2188960E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6141812E-003,-2.0707070E-001, 5.1503495E-010
 2.2803125E+001, 1.5891676E-005, 4.4441733E+000,-1.4059698E+001, 9.3873993E+000,-1.1918592E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9992606E-003,-2.2930121E-001, 1.0234818E-009
 2.3411743E+001, 3.5469059E-005, 5.1175624E+000,-1.5437379E+001, 1.0097794E+001,-5.7934346E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7768876E-003,-2.2256555E-001, 2.3016245E-009
 2.4002108E+001, 8.6531787E-005, 5.8633991E+000,-1.6870494E+001, 1.0717480E+001,-3.7969750E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0463648E-002,-2.8990836E-001, 5.5702289E-009
 2.4608486E+001, 1.8102286E-004, 6.6956667E+000,-1.8215688E+001, 1.1125746E+001,-7.0831110E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.9458595E-003,-3.9480267E-001, 1.1408587E-008
 2.5202232E+001, 3.7092771E-004, 7.5959430E+000,-1.9601030E+001, 1.1504285E+001,-1.2954828E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8776278E-002,-5.0172652E-001, 2.3195564E-008
 2.5801714E+001, 7.2153166E-004, 8.5876984E+000,-2.1421531E+001, 1.2305966E+001,-1.4248274E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.5041893E-003,-5.2857035E-001, 4.3650551E-008
 2.6406775E+001, 1.2648221E-003, 9.6772891E+000,-2.3281585E+001, 1.3075790E+001,-1.9268024E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.5564972E-003,-5.2916773E-001, 7.7622952E-008
 2.7003229E+001, 2.0256998E-003, 1.0859752E+001,-2.5001137E+001, 1.3595725E+001,-5.4919589E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.6290215E-002,-5.4912561E-001, 1.2120774E-007
 2.7606136E+001, 3.2442336E-003, 1.2165331E+001,-2.6948058E+001, 1.4089837E+001,-1.1142328E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7076235E-003,-7.0078881E-001, 1.9434882E-007
 2.8206448E+001, 5.1832130E-003, 1.3544462E+001,-2.9087425E+001, 1.4754420E+001,-1.4073957E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5142099E-002,-7.9743376E-001, 3.0633525E-007
 2.8802221E+001, 7.7750195E-003, 1.5043295E+001,-3.1299574E+001, 1.5433014E+001,-2.3445151E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0692310E-002,-8.3893494E-001, 4.7117756E-007
 2.9404257E+001, 1.3058094E-002, 1.6650584E+001,-3.3475437E+001, 1.5771516E+001,-3.2749963E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2772498E-002,-1.0730286E+000, 8.0723138E-007
 3.0000967E+001, 3.1198853E-002, 1.8313868E+001,-3.5766422E+001, 1.6213538E+001,-4.8958560E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0866280E-002,-1.2567748E+000, 2.1457634E-006
 3.0603054E+001, 3.9895627E-001, 1.9863434E+001,-3.8392677E+001, 1.6832659E+001,-6.2104827E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9169144E-002,-1.3597325E+000, 3.1737877E-005
 3.1204351E+001, 1.7153448E+000, 2.1102692E+001,-4.1554361E+001, 1.7280065E+001,-9.4438736E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.4677295E-002,-1.5506984E+000, 1.0610688E-004
 3.1807337E+001, 2.1687582E+000, 2.2884034E+001,-4.4681422E+001, 1.7799441E+001,-1.1402631E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.0785177E-003,-1.9432146E+000, 1.1607628E-004
 3.2404114E+001, 2.3140720E+000, 2.5112581E+001,-4.7743835E+001, 1.8540870E+001,-9.9916030E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.7384072E-002,-1.8762281E+000, 1.2693895E-004
 3.3004665E+001, 2.3042198E+000, 2.7563699E+001,-5.0754537E+001, 1.8855290E+001,-1.1962999E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0028523E-002,-2.1509587E+000, 1.4637188E-004
 3.3603638E+001, 3.7637287E+000, 2.9306490E+001,-5.4580322E+001, 1.9070761E+001,-1.5066991E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.1826760E-002,-2.5900124E+000, 2.0996627E-004
 3.4202843E+001, 3.8125787E+000, 3.1991656E+001,-5.8149349E+001, 1.9881124E+001,-1.3482796E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.7176417E-002,-2.5988177E+000, 2.0855344E-004
 3.4802799E+001, 4.1599693E+000, 3.4789721E+001,-6.2060552E+001, 2.0713404E+001,-1.0610587E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.2665056E-002,-2.5035633E+000, 2.2983858E-004
 3.5405598E+001, 3.9215820E+000, 3.8192685E+001,-6.6412195E+001, 2.1766213E+001,-9.7237296E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.3327353E-002,-2.6289519E+000, 2.2341031E-004
 3.6007801E+001, 3.8264374E+000, 4.1348109E+001,-7.0181116E+001, 2.2021207E+001,-1.3237423E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2376747E-002,-3.1177372E+000, 2.1238055E-004
 3.6601978E+001, 4.2027818E+000, 4.4567850E+001,-7.4379258E+001, 2.2460272E+001,-1.4348834E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3870292E-002,-3.2918424E+000, 2.3799698E-004
 3.7201485E+001, 4.7884485E+000, 4.7770479E+001,-7.8234274E+001, 2.2109495E+001,-2.1602617E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6890418E-001,-3.7818766E+000, 2.7420770E-004
 3.7805408E+001, 5.4391590E+000, 5.1171898E+001,-8.3406033E+001, 2.3229181E+001,-1.3933504E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0561255E-001,-3.7051292E+000, 3.0273552E-004
