s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.3012606E-001, 6.5093732E-006, 1.7189122E-009,-8.2398939E-004,-5.1058511E-009,-1.9970975E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3195485E-004,-8.1750337E-004, 4.5185620E-010
 1.2252451E+000, 8.0788219E-006,-6.0473707E-008,-8.2454928E-004,-1.1414083E-008,-1.6694068E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1495699E-004,-8.1670929E-004, 4.5177984E-010
 1.8203641E+000, 8.0919547E-006,-1.2714688E-007,-8.2362820E-004,-1.2998116E-008,-2.2487702E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1493638E-004,-8.1590127E-004, 4.5170572E-010
 2.4154832E+000, 8.0896433E-006,-1.9316613E-007,-8.2272301E-004,-9.4880211E-009,-5.7313589E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1491671E-004,-8.1540916E-004, 4.5163166E-010
 3.0106022E+000, 8.0923621E-006,-2.5918663E-007,-8.2182617E-004, 3.9265013E-009,-1.2681074E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1489723E-004,-8.1525718E-004, 4.5155766E-010
 3.6057212E+000, 8.0913932E-006,-3.2394887E-007,-8.2089711E-004, 2.1092850E-008,-2.3088204E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1487732E-004,-8.1541740E-004, 4.5148371E-010
 4.2008405E+000, 8.0877964E-006,-3.8803069E-007,-8.1988763E-004, 3.3596381E-008,-3.6823932E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1485760E-004,-8.1583667E-004, 4.5140982E-010
 4.8309665E+000, 8.0883044E-006,-4.5350033E-007,-8.1872827E-004, 4.1120792E-008,-5.2219830E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1483601E-004,-8.1627433E-004, 4.5133382E-010
 5.4260855E+000, 8.0864934E-006,-5.1823645E-007,-8.1741596E-004, 5.2109189E-008,-4.8945266E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1481406E-004,-8.1469012E-004, 4.5125788E-010
 6.0212045E+000, 8.0853953E-006,-5.7961304E-007,-8.1598231E-004, 4.8272463E-008,-3.8589512E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1479097E-004,-8.1228721E-004, 4.5118418E-010
 6.6163235E+000, 8.0840847E-006,-6.3988749E-007,-8.1442455E-004, 5.1890886E-008,-3.6936006E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1476688E-004,-8.1062206E-004, 4.5111054E-010
 7.2114425E+000, 8.0815666E-006,-6.9960143E-007,-8.1275970E-004, 5.2180696E-008,-4.6678849E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1474011E-004,-8.0999344E-004, 4.5103697E-010
 7.8065615E+000, 8.0827787E-006,-7.5745468E-007,-8.1102778E-004, 7.5674009E-008,-6.2231172E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1470991E-004,-8.0984990E-004, 4.5096346E-010
 8.4016809E+000, 8.0801376E-006,-8.1400571E-007,-8.0922482E-004, 9.7328964E-008,-7.9317563E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1467445E-004,-8.0979311E-004, 4.5089002E-010
 9.0318069E+000, 8.0778549E-006,-8.7110886E-007,-8.0730496E-004, 1.0093915E-007,-9.9628226E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1462977E-004,-8.0996010E-004, 4.5081450E-010
 9.6269255E+000, 8.0788435E-006,-9.2694438E-007,-8.0534980E-004, 1.0701054E-007,-1.1905987E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1457338E-004,-8.0999687E-004, 4.5073905E-010
 1.0222045E+001, 8.0763969E-006, 2.9929694E-004,-2.0864318E-002, 1.9713116E-002,-1.1578444E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1450215E-004,-8.5540722E-004, 4.5066584E-010
 1.0817163E+001, 8.0758202E-006, 1.1897294E-002,-3.4772109E-001, 3.3400979E-001,-4.9126109E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.7594108E-004,-1.8108398E-003, 4.5060154E-010
 1.1412283E+001, 8.0738176E-006, 4.5643473E-002,-8.9183696E-001, 8.4091046E-001,-5.4909902E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6171744E-003,-5.2804402E-003, 4.5059607E-010
 1.2007401E+001, 8.0764064E-006, 1.0035995E-001,-1.4815006E+000, 1.3639714E+000,-6.5181053E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9282477E-003,-1.7167658E-002, 4.5071192E-010
 1.2602521E+001, 8.0810860E-006, 1.8204600E-001,-2.0825681E+000, 1.8794037E+000,-8.4287959E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3077183E-003,-2.1118708E-002, 4.5102561E-010
 1.3232647E+001, 8.0923891E-006, 3.0475153E-001,-2.9047742E+000, 2.5731916E+000,-9.0717836E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.3854566E-003,-2.6832033E-002, 4.5167929E-010
 1.3827765E+001, 8.1117424E-006, 4.7816010E-001,-4.0717488E+000, 3.5505508E+000,-9.9467334E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.9114648E-003,-4.3039737E-002, 4.5289295E-010
 1.4422885E+001, 8.1434394E-006, 7.0333648E-001,-5.1281183E+000, 4.3613637E+000,-8.6826512E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.3925175E-003,-6.3418601E-002, 4.5496012E-010
 1.5002916E+001, 8.2609432E-006, 1.0049154E+000,-6.0969113E+000, 5.0288956E+000,-9.0168333E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.8628571E-003,-6.3101129E-002, 4.5859211E-010
 1.5610710E+001, 8.3841403E-006, 1.4403983E+000,-7.3484596E+000, 5.8683085E+000,-2.3499112E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0949635E-002,-3.9767988E-002, 4.6748305E-010
 1.6209179E+001, 8.5284503E-006, 1.9576888E+000,-8.6515286E+000, 6.6374818E+000,-1.0127861E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9451089E-003,-5.6450707E-002, 4.8566540E-010
 1.6806822E+001, 9.0921473E-006, 2.5585598E+000,-1.0371429E+001, 7.7620925E+000,-2.9771946E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6246544E-002,-5.1065768E-002, 5.2219607E-010
 1.7410772E+001, 1.0374252E-005, 3.3026910E+000,-1.2015377E+001, 8.6505193E+000,-9.1217941E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9506809E-003,-6.3068913E-002, 6.0780700E-010
 1.8004698E+001, 1.4296073E-005, 4.1954573E+000,-1.3707202E+001, 9.4248103E+000,-3.3333257E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.8922056E-003,-9.0253824E-002, 8.7602133E-010
 1.8610870E+001, 2.6750854E-005, 5.2783116E+000,-1.5796564E+001, 1.0356203E+001,-7.3752653E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.6770607E-003,-1.6939802E-001, 1.7362236E-009
 1.9208141E+001, 7.9709268E-005, 6.5254214E+000,-1.7982801E+001, 1.1278740E+001,-8.2799012E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6412687E-003,-1.8683985E-001, 5.4718167E-009
 1.9807449E+001, 2.9722596E-004, 7.9919437E+000,-2.0445634E+001, 1.2167325E+001,-9.4324664E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6381826E-002,-2.9550021E-001, 2.0187575E-008
 2.0402916E+001, 1.0135357E-003, 9.6821650E+000,-2.3197227E+001, 1.3150217E+001,-5.5018990E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9634798E-002,-3.6933341E-001, 6.8218922E-008
 2.1002590E+001, 3.0101308E-003, 1.1627728E+001,-2.6048614E+001, 1.4085801E+001,-1.6917243E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2407768E-002,-3.3376764E-001, 1.9633641E-007
 2.1603645E+001, 7.3246663E-003, 1.3822937E+001,-2.9372754E+001, 1.5050663E+001,-2.7811612E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4370190E-002,-4.9461087E-001, 4.6172258E-007
 2.2208321E+001, 1.5823837E-002, 1.6293065E+001,-3.2954066E+001, 1.5883252E+001,-7.5058217E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.0121198E-002,-7.6943028E-001, 9.7720549E-007
 2.2804808E+001, 3.1847581E-002, 1.9100026E+001,-3.7049742E+001, 1.7110207E+001,-1.1997406E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.8738942E-002,-8.1965894E-001, 2.0161684E-006
 2.3401678E+001, 8.1375058E-002, 2.2189222E+001,-4.1345239E+001, 1.7938207E+001,-2.6763366E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.9178191E-002,-1.1631979E+000, 5.5512798E-006
 2.4005617E+001, 1.2911353E+000, 2.4880907E+001,-4.6322886E+001, 1.8698657E+001,-6.2847773E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.8406254E-002,-1.5150334E+000, 1.0281206E-004
 2.4600275E+001, 6.6574156E+000, 2.5930867E+001,-5.3988441E+001, 1.9566950E+001,-1.4158993E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9544332E-001,-1.9747985E+000, 4.1513157E-004
 2.5206539E+001, 8.6141615E+000, 2.9625719E+001,-6.0767447E+001, 2.0393832E+001,-1.7149600E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9276283E-001,-2.3052296E+000, 4.9340264E-004
 2.5803419E+001, 1.0640800E+001, 3.3648605E+001,-6.8265205E+001, 2.1413582E+001,-1.8758266E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2701761E-001,-2.7498006E+000, 5.9629300E-004
 2.6400499E+001, 1.4110648E+001, 3.7125121E+001,-7.6433684E+001, 2.2389356E+001,-2.0902126E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2563054E-001,-3.0175799E+000, 8.0131474E-004
 2.7003298E+001, 1.5579632E+001, 4.2302267E+001,-8.4621240E+001, 2.3220383E+001,-2.4667383E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0613305E-001,-3.7656316E+000, 8.9034595E-004
 2.7602196E+001, 1.6826655E+001, 4.8243335E+001,-9.2477217E+001, 2.3240732E+001,-2.9779403E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7065192E-001,-4.4642887E+000, 9.2452888E-004
 2.8204226E+001, 1.7035656E+001, 5.4925649E+001,-1.0075534E+002, 2.4180307E+001,-2.8760713E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6179659E-001,-4.9013304E+000, 9.3303562E-004
 2.8803122E+001, 1.6838288E+001, 6.1755245E+001,-1.0830067E+002, 2.4185958E+001,-3.0888676E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1254998E-001,-5.8300704E+000, 9.4122266E-004
 2.9405291E+001, 1.7473554E+001, 6.8793075E+001,-1.1799124E+002, 2.5531544E+001,-2.8897676E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.7498127E-002,-6.4820427E+000, 9.8765587E-004
 3.0001776E+001, 1.7304894E+001, 7.6470246E+001,-1.2610477E+002, 2.5583238E+001,-3.1448278E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1572940E-001,-7.0608789E+000, 9.8195053E-004
 3.0605228E+001, 1.9195569E+001, 8.3043005E+001,-1.3606978E+002, 2.5929447E+001,-2.6218159E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0591524E-001,-8.1639398E+000, 1.0965870E-003
 3.1203028E+001, 2.1091374E+001, 9.0731672E+001,-1.4638291E+002, 2.5870141E+001,-2.9866401E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9384276E-001,-8.9883903E+000, 1.1624314E-003
 3.1800602E+001, 2.1526072E+001, 1.0184973E+002,-1.5840824E+002, 2.5616247E+001,-3.6128688E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6638481E-001,-9.7774831E+000, 1.2082776E-003
 3.2403828E+001, 2.3841493E+001, 1.1266708E+002,-1.7375142E+002, 2.7152225E+001,-3.2153929E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6220608E-001,-1.0412155E+001, 1.3265549E-003
 3.3002163E+001, 2.4786967E+001, 1.2512378E+002,-1.8878764E+002, 2.9358707E+001,-2.2785829E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.7690291E-001,-9.7460419E+000, 1.3935885E-003
 3.3602901E+001, 2.5379422E+001, 1.3759016E+002,-2.0323599E+002, 3.0230214E+001,-2.4307676E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8787536E-001,-1.0279271E+001, 1.3984267E-003
 3.4202900E+001, 2.5536447E+001, 1.5038834E+002,-2.1675684E+002, 2.9810380E+001,-2.5064021E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2903658E-001,-1.1272313E+001, 1.4357057E-003
 3.4800964E+001, 2.7127619E+001, 1.6312716E+002,-2.3193430E+002, 3.0540563E+001,-2.8545233E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.1583155E-001,-1.1424405E+001, 1.5171265E-003
 3.5400547E+001, 2.9641142E+001, 1.7305507E+002,-2.4587083E+002, 3.0955983E+001,-2.5135431E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5337490E-001,-1.2469987E+001, 1.6669876E-003
 3.6002407E+001, 2.9451017E+001, 1.7378275E+002,-2.4632250E+002, 3.0306825E+001,-2.0579395E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4529625E-002,-1.2987706E+001, 1.6119219E-003
 3.6603420E+001, 2.7548461E+001, 1.7602359E+002,-2.4554139E+002, 2.8223134E+001,-2.9247901E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8386537E-002,-1.4038686E+001, 1.5374054E-003
 3.7204483E+001, 2.8344794E+001, 1.7505936E+002,-2.4576269E+002, 2.8949498E+001,-2.9449739E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7173089E-002,-1.3703540E+001, 1.5947494E-003
 3.7800919E+001, 2.4650055E+001, 1.7748792E+002,-2.4383008E+002, 2.7019720E+001,-2.7369145E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.3859183E-001,-1.4946085E+001, 1.3507445E-003
