s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.3012606E-001, 5.2871293E-006, 2.5082217E-009,-8.2400259E-004,-5.1306891E-009,-2.0001224E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3215013E-004,-8.1873808E-004, 3.6766507E-010
 1.2252451E+000, 6.5663402E-006,-5.7181688E-008,-8.2429162E-004,-1.1435119E-008,-1.5938156E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1512460E-004,-8.1795327E-004, 3.6759890E-010
 1.8203641E+000, 6.5812521E-006,-1.2125570E-007,-8.2338473E-004,-1.3274325E-008,-2.9515892E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1510296E-004,-8.1723316E-004, 3.6753467E-010
 2.4154832E+000, 6.5820161E-006,-1.8470634E-007,-8.2249032E-004,-9.3748166E-009,-5.7401022E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1508225E-004,-8.1667639E-004, 3.6747049E-010
 3.0106022E+000, 6.5821382E-006,-2.4816848E-007,-8.2159482E-004, 3.1374864E-009,-1.2703757E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1506160E-004,-8.1652809E-004, 3.6740636E-010
 3.6057212E+000, 6.5809778E-006,-3.1040825E-007,-8.2066844E-004, 2.0781061E-008,-2.3121494E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1504090E-004,-8.1668923E-004, 3.6734228E-010
 4.2008405E+000, 6.5800193E-006,-3.7198927E-007,-8.1966443E-004, 3.3794681E-008,-3.6821105E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1502005E-004,-8.1710472E-004, 3.6727825E-010
 4.8309665E+000, 6.5796375E-006,-4.3489552E-007,-8.1850573E-004, 3.8507132E-008,-5.1023828E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1499739E-004,-8.1742486E-004, 3.6721240E-010
 5.4260855E+000, 6.5774300E-006,-4.9709683E-007,-8.1719694E-004, 5.1340030E-008,-5.2204892E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1497436E-004,-8.1628575E-004, 3.6714659E-010
 6.0212045E+000, 6.5770917E-006,-5.5604920E-007,-8.1576668E-004, 4.7484918E-008,-3.8638459E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1495028E-004,-8.1356200E-004, 3.6708272E-010
 6.6163235E+000, 6.5756792E-006,-6.1392460E-007,-8.1420947E-004, 4.9929972E-008,-3.8024708E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1492514E-004,-8.1200026E-004, 3.6701891E-010
 7.2114425E+000, 6.5744398E-006,-6.7124979E-007,-8.1254525E-004, 5.0622758E-008,-4.6091978E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1489741E-004,-8.1120064E-004, 3.6695516E-010
 7.8065615E+000, 6.5745161E-006,-7.2674863E-007,-8.1080908E-004, 7.5434372E-008,-6.0803935E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1486620E-004,-8.1096628E-004, 3.6689146E-010
 8.4016809E+000, 6.5711453E-006,-7.8096346E-007,-8.0899874E-004, 9.7897427E-008,-7.8870122E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1482982E-004,-8.1099767E-004, 3.6682783E-010
 9.0318069E+000, 6.5726146E-006,-8.3566562E-007,-8.0707234E-004, 1.0302305E-007,-1.0123923E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1478424E-004,-8.1135629E-004, 3.6676238E-010
 9.6269255E+000, 6.5697798E-006,-8.8911525E-007,-8.0509738E-004, 1.0653676E-007,-1.0541585E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1472704E-004,-8.0985176E-004, 3.6669700E-010
 1.0222045E+001, 6.5693106E-006, 1.8984351E-004,-1.1613920E-002, 1.0594351E-002,-1.2076535E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1465483E-004,-8.3523229E-004, 3.6663357E-010
 1.0817163E+001, 6.5669716E-006, 6.8104150E-003,-1.8752134E-001, 1.7937058E-001,-4.9242117E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.5052713E-004,-1.3386986E-003, 3.6657432E-010
 1.1412283E+001, 6.5677357E-006, 2.3716798E-002,-4.8240808E-001, 4.5579109E-001,-5.8096278E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.7954198E-004,-2.8994325E-003, 3.6654020E-010
 1.2007401E+001, 6.5667565E-006, 4.7359627E-002,-8.0603482E-001, 7.5074644E-001,-6.5418295E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3283444E-003,-7.9287338E-003, 3.6655088E-010
 1.2602521E+001, 6.5685757E-006, 7.9063284E-002,-1.1337439E+000, 1.0394047E+000,-8.1002017E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3051301E-003,-1.5277488E-002, 3.6662430E-010
 1.3232647E+001, 6.5712244E-006, 1.2151331E-001,-1.4846739E+000, 1.3485635E+000,-1.3624649E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6536202E-005,-1.4604140E-002, 3.6679025E-010
 1.3827765E+001, 6.5764758E-006, 1.7730695E-001,-1.9899565E+000, 1.7936275E+000,-1.8437069E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.3516617E-003,-1.9033953E-002, 3.6708041E-010
 1.4422885E+001, 6.5856575E-006, 2.4599171E-001,-2.6114871E+000, 2.3385208E+000,-1.8017135E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.3088850E-003,-2.6986072E-002, 3.6754716E-010
 1.5018003E+001, 6.5932882E-006, 3.3039577E-001,-3.1645674E+000, 2.7952582E+000,-2.0434634E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.6017414E-003,-3.8927237E-002, 3.6825543E-010
 1.5613123E+001, 6.6081041E-006, 4.3437115E-001,-3.6552293E+000, 3.1773059E+000,-2.3191992E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.5966120E-004,-4.3568809E-002, 3.6929807E-010
 1.6214775E+001, 6.6902264E-006, 5.6982774E-001,-4.2507966E+000, 3.6568225E+000,-2.7284510E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.6980395E-003,-2.4166914E-002, 3.7123511E-010
 1.6807520E+001, 6.6876739E-006, 7.3713684E-001,-4.8037673E+000, 4.0445572E+000,-6.9831101E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7296881E-003,-2.2136400E-002, 3.7493112E-010
 1.7413372E+001, 6.6933267E-006, 9.2224819E-001,-5.5562706E+000, 4.6041495E+000,-1.9032668E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.5855789E-003,-3.0056564E-002, 3.7968736E-010
 1.8000864E+001, 6.8155727E-006, 1.1325335E+000,-6.3867780E+000, 5.2183295E+000,-5.2519323E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0353590E-002,-3.6433402E-002, 3.8590860E-010
 1.8600391E+001, 6.9034378E-006, 1.3770500E+000,-7.1109223E+000, 5.6883210E+000,-8.8259179E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.5968619E-003,-4.6426948E-002, 3.9438189E-010
 1.9201668E+001, 7.1234233E-006, 1.6684177E+000,-7.8502520E+000, 6.1371741E+000,-1.9185526E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.0708885E-003,-4.6571603E-002, 4.0889368E-010
 1.9802944E+001, 7.4507863E-006, 1.9968034E+000,-8.7261159E+000, 6.6616075E+000,-4.7655872E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.4772406E-003,-7.2463100E-002, 4.3143024E-010
 2.0404221E+001, 8.0518444E-006, 2.3715719E+000,-9.5865836E+000, 7.1267910E+000,-7.8513142E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1375750E-002,-9.6063939E-002, 4.7244904E-010
 2.1007902E+001, 9.1209377E-006, 2.7990364E+000,-1.0555425E+001, 7.5750273E+000,-1.0572364E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1900065E-002,-1.9192437E-001, 5.4440344E-010
 2.1609579E+001, 1.1287146E-005, 3.2875051E+000,-1.1653237E+001, 8.2275185E+000,-1.1625255E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9966169E-003,-1.4982763E-001, 6.9033559E-010
 2.2209259E+001, 1.5824105E-005, 3.8199909E+000,-1.2800003E+001, 8.8272914E+000,-5.1393968E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6497936E-003,-1.5784388E-001, 9.7142457E-010
 2.2811707E+001, 2.5667889E-005, 4.4319151E+000,-1.4060330E+001, 9.4630674E+000,-1.8164907E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1124233E-003,-1.6713795E-001, 1.6034076E-009
 2.3400459E+001, 4.7840183E-005, 5.0969015E+000,-1.5260045E+001, 9.9949720E+000,-1.0058661E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.6330688E-003,-1.6912935E-001, 3.0276576E-009
 2.4002905E+001, 1.0436725E-004, 5.8312698E+000,-1.6583910E+001, 1.0609259E+001,-8.5687645E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.0755362E-003,-1.4413363E-001, 6.7073865E-009
 2.4606121E+001, 2.4933130E-004, 6.6692120E+000,-1.8122611E+001, 1.1294439E+001,-6.2948143E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.7753737E-004,-1.5933946E-001, 1.5390745E-008
 2.5202337E+001, 5.2722987E-004, 7.5737411E+000,-1.9665562E+001, 1.1800566E+001,-8.5108827E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.4177450E-003,-2.9157819E-001, 3.3575026E-008
 2.5805126E+001, 1.0881859E-003, 8.5554601E+000,-2.1209186E+001, 1.2251861E+001,-1.5693856E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.0395301E-003,-4.0234688E-001, 6.8007151E-008
 2.6404173E+001, 2.0507975E-003, 9.6364275E+000,-2.3010165E+001, 1.2915228E+001,-2.9965797E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.7163820E-003,-4.5945598E-001, 1.2558167E-007
 2.7002340E+001, 3.4939549E-003, 1.0817807E+001,-2.4768859E+001, 1.3499221E+001,-5.8870827E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4974374E-002,-4.5422393E-001, 2.1204220E-007
 2.7603369E+001, 5.8525783E-003, 1.2081009E+001,-2.6579556E+001, 1.3838346E+001,-1.3421268E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.3587894E-002,-6.6777047E-001, 3.5057630E-007
 2.8210793E+001, 9.4342616E-003, 1.3485895E+001,-2.8749588E+001, 1.4578182E+001,-1.6866791E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6036961E-002,-6.9294412E-001, 5.6768559E-007
 2.8808628E+001, 1.5047911E-002, 1.4973584E+001,-3.1210741E+001, 1.5380827E+001,-3.4863351E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.2763595E-003,-8.7614572E-001, 9.0434031E-007
 2.9400702E+001, 2.4541271E-002, 1.6550124E+001,-3.3258694E+001, 1.5612866E+001,-5.0401824E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5124173E-002,-1.1215640E+000, 1.4865034E-006
 3.0002195E+001, 3.7575957E-002, 1.8236494E+001,-3.5713852E+001, 1.6316630E+001,-5.9449132E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.9376620E-002,-1.1826015E+000, 2.1933280E-006
 3.0600044E+001, 6.5427679E-002, 2.0078308E+001,-3.8512744E+001, 1.7277871E+001,-5.4700595E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.9091560E-002,-1.1458386E+000, 4.1447181E-006
 3.1204285E+001, 2.7153516E-001, 2.1826838E+001,-4.1132421E+001, 1.7824273E+001,-7.3286994E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.3157859E-002,-1.2830623E+000, 2.1457582E-005
 3.1804674E+001, 2.7947751E+000, 2.2623715E+001,-4.5135869E+001, 1.8324034E+001,-1.0900825E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0945739E-001,-1.5023534E+000, 1.8876551E-004
 3.2405949E+001, 6.5200506E+000, 2.3290625E+001,-5.0266060E+001, 1.8821804E+001,-1.1058229E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5776369E-001,-1.7441623E+000, 3.6332089E-004
 3.3006119E+001, 5.9721794E+000, 2.6072880E+001,-5.3110379E+001, 1.9012936E+001,-1.5707469E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.3793212E-002,-2.2094578E+000, 3.5312851E-004
 3.3600708E+001, 6.5102122E+000, 2.8377978E+001,-5.6982111E+001, 1.9971184E+001,-1.5509919E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2700608E-002,-2.2778357E+000, 3.5536488E-004
 3.4200394E+001, 7.7400750E+000, 3.0656034E+001,-6.0915959E+001, 1.9887805E+001,-2.2477032E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1322401E-002,-2.8568158E+000, 4.2201539E-004
 3.4801464E+001, 8.0663869E+000, 3.3326669E+001,-6.4743856E+001, 2.0756226E+001,-2.1161419E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4028108E-001,-2.8061881E+000, 4.5151844E-004
 3.5400795E+001, 7.7881640E+000, 3.6363869E+001,-6.8161931E+001, 2.0935887E+001,-2.3794821E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.0916893E-003,-3.3119591E+000, 4.5493169E-004
 3.6000980E+001, 7.9029194E+000, 3.9553477E+001,-7.2385274E+001, 2.1590285E+001,-2.5079132E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.7951413E-002,-3.5893848E+000, 4.4363760E-004
 3.6604187E+001, 8.8591387E+000, 4.2279090E+001,-7.7105447E+001, 2.2680812E+001,-1.8488683E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.6342615E-002,-3.4712936E+000, 4.9420851E-004
 3.7205723E+001, 1.0393592E+001, 4.4918326E+001,-8.2034915E+001, 2.3015365E+001,-1.8657863E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.6160274E-002,-3.8942101E+000, 5.9711301E-004
 3.7804516E+001, 1.0782543E+001, 4.8356149E+001,-8.6438430E+001, 2.3293449E+001,-2.1903459E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4071688E-001,-4.2253234E+000, 5.8667165E-004
