s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.3012606E-001, 6.1448171E-006,-3.5386105E-009,-2.2842249E-004,-4.9930215E-009,-5.4350823E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5902056E-005,-2.2229164E-004, 4.2683381E-010
 1.2252451E+000, 7.6315220E-006,-3.3400556E-008,-2.2946534E-004,-1.1579773E-008,-6.3224878E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1284384E-005,-2.2194202E-004, 4.2679385E-010
 1.8203641E+000, 7.6419426E-006,-6.5148964E-008,-2.2907737E-004,-1.2473198E-008,-1.1724799E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1280559E-005,-2.2163030E-004, 4.2675508E-010
 2.4154832E+000, 7.6448585E-006,-9.6552748E-008,-2.2870876E-004,-1.0343582E-008,-2.8156406E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1277133E-005,-2.2145236E-004, 4.2671635E-010
 3.0106022E+000, 7.6453083E-006,-1.2792043E-007,-2.2836109E-004, 2.3713506E-009,-3.2467227E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1273713E-005,-2.2116600E-004, 4.2667765E-010
 3.6057212E+000, 7.6447717E-006,-1.5873011E-007,-2.2802583E-004, 1.7373979E-008,-6.0043634E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1270242E-005,-2.2112285E-004, 4.2663899E-010
 4.2008405E+000, 7.6448584E-006,-1.8926438E-007,-2.2769697E-004, 3.1401789E-008,-8.4731351E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1266847E-005,-2.2105729E-004, 4.2660036E-010
 4.8309665E+000, 7.6434551E-006,-2.2053983E-007,-2.2735585E-004, 4.1521081E-008,-1.3275543E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1263237E-005,-2.2121897E-004, 4.2656064E-010
 5.4260855E+000, 7.6421385E-006,-2.5161852E-007,-2.2700711E-004, 4.6214658E-008,-1.9197085E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1259453E-005,-2.2149008E-004, 4.2652095E-010
 6.0212045E+000, 7.6427137E-006,-2.8131648E-007,-2.2665854E-004, 4.3988562E-008,-2.5914192E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1255749E-005,-2.2184458E-004, 4.2648243E-010
 6.6163235E+000, 7.6420512E-006,-3.1073479E-007,-2.2629906E-004, 4.8433270E-008,-3.3415255E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1251912E-005,-2.2226083E-004, 4.2644395E-010
 7.2114425E+000, 7.6409677E-006,-3.4013219E-007,-2.2591856E-004, 5.0172116E-008,-4.1835171E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1247969E-005,-2.2275107E-004, 4.2640550E-010
 7.8065615E+000, 7.6415225E-006,-3.6895654E-007,-2.2552354E-004, 6.7241521E-008,-5.1102592E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1243949E-005,-2.2329399E-004, 4.2636708E-010
 8.4016809E+000, 7.6421786E-006,-3.9745517E-007,-2.2510526E-004, 8.8102888E-008,-6.1347786E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1239888E-005,-2.2390721E-004, 4.2632870E-010
 9.0318069E+000, 7.6403804E-006,-4.2655298E-007,-2.2463516E-004, 9.7336322E-008,-5.4439949E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1235605E-005,-2.2276799E-004, 4.2628924E-010
 9.6269255E+000, 7.6388411E-006,-4.5534089E-007,-2.2412328E-004, 1.0693663E-007,-3.4358743E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1231263E-005,-2.2026872E-004, 4.2624981E-010
 1.0222045E+001, 7.6386912E-006, 1.9053586E-004,-1.1034604E-002, 1.0594392E-002,-3.4492924E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1226967E-005,-2.4548643E-004, 4.2621157E-010
 1.0817163E+001, 7.6392095E-006, 6.8191452E-003,-1.8695176E-001, 1.7937194E-001,-4.0692414E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.3387357E-004,-7.5710678E-004, 4.2618148E-010
 1.1412283E+001, 7.6382276E-006, 2.3746047E-002,-4.8185930E-001, 4.5579228E-001,-4.8491592E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.6227781E-004,-2.3181819E-003, 4.2620072E-010
 1.2007401E+001, 7.6400547E-006, 4.7417546E-002,-8.0551285E-001, 7.5074290E-001,-5.5634059E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4115793E-003,-7.3503277E-003, 4.2630822E-010
 1.2602521E+001, 7.6436447E-006, 7.9159891E-002,-1.1332545E+000, 1.0393804E+000,-6.2747659E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3881910E-003,-1.4712772E-002, 4.2654018E-010
 1.3232647E+001, 7.6509620E-006, 1.2166020E-001,-1.4842605E+000, 1.3485477E+000,-7.1305342E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.0875480E-005,-1.4052145E-002, 4.2696011E-010
 1.3827765E+001, 7.6626946E-006, 1.7752491E-001,-1.9897892E+000, 1.7933574E+000,-8.0789914E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4215346E-003,-1.8907334E-002, 4.2762924E-010
 1.4422885E+001, 7.6788071E-006, 2.4628872E-001,-2.6117058E+000, 2.3374676E+000,-9.0365976E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.3827896E-003,-2.7950784E-002, 4.2863238E-010
 1.5018003E+001, 7.7027993E-006, 3.3079590E-001,-3.1646105E+000, 2.7943866E+000,-9.9911053E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.6866220E-003,-3.9430248E-002, 4.3015835E-010
 1.5613123E+001, 7.7363816E-006, 4.3490784E-001,-3.6572276E+000, 3.1766721E+000,-1.0679970E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.1719127E-004,-4.5650599E-002, 4.3246371E-010
 1.6203495E+001, 7.8673795E-006, 5.6879397E-001,-4.2552310E+000, 3.6536465E+000,-1.3332806E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.7407472E-003,-3.2796063E-002, 4.3684606E-010
 1.6815380E+001, 7.9484692E-006, 7.3873667E-001,-4.8181049E+000, 4.0478595E+000,-3.8415864E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8374502E-003,-3.1539111E-002, 4.4596859E-010
 1.7405237E+001, 8.0710672E-006, 9.2068305E-001,-5.5599313E+000, 4.5974119E+000,-9.1856980E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.3552065E-003,-4.1920094E-002, 4.5879772E-010
 1.8014050E+001, 8.4128136E-006, 1.1341300E+000,-6.4000168E+000, 5.2207953E+000,-1.4267842E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0635366E-002,-4.5225775E-002, 4.7769321E-010
 1.8607767E+001, 8.8479592E-006, 1.3881743E+000,-7.1418336E+000, 5.6947094E+000,-3.1189629E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.0413942E-003,-5.9252958E-002, 5.0720207E-010
 1.9205286E+001, 9.7896027E-006, 1.6724200E+000,-7.8879416E+000, 6.1539929E+000,-7.3885565E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.0745597E-003,-6.2257753E-002, 5.6903327E-010
 1.9807499E+001, 1.1694178E-005, 1.9989978E+000,-8.7336541E+000, 6.6494496E+000,-1.3752580E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.1246156E-003,-8.6570221E-002, 6.9429139E-010
 2.0405140E+001, 1.5996431E-005, 2.3749667E+000,-9.6393183E+000, 7.1548392E+000,-2.5303428E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.1362045E-003,-1.1202671E-001, 9.6870804E-010
 2.1011984E+001, 2.5620756E-005, 2.8094206E+000,-1.0643787E+001, 7.6329011E+000,-3.6821909E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5911656E-002,-2.0512157E-001, 1.5908502E-009
 2.1613338E+001, 4.8864414E-005, 3.2897503E+000,-1.1698681E+001, 8.2307716E+000,-3.5233043E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1787725E-003,-1.8163346E-001, 3.1202174E-009
 2.2214693E+001, 1.0570903E-004, 3.8304938E+000,-1.2865843E+001, 8.8786521E+000,-1.6565069E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3782723E-003,-1.5824808E-001, 6.7772013E-009
 2.2801014E+001, 2.5274004E-004, 4.4253712E+000,-1.4074641E+001, 9.4913049E+000,-6.1724097E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6744336E-004,-1.5832896E-001, 1.6459244E-008
 2.3411497E+001, 6.4672891E-004, 5.0950660E+000,-1.5335147E+001, 1.0015582E+001,-3.2293179E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.1906137E-003,-2.2417531E-001, 4.1809727E-008
 2.4011189E+001, 1.5936196E-003, 5.8573132E+000,-1.6690485E+001, 1.0602412E+001,-2.8304877E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2938531E-003,-2.2944946E-001, 1.0210593E-007
 2.4610357E+001, 3.4030792E-003, 6.6616550E+000,-1.8293252E+001, 1.1298243E+001,-6.5676166E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3284028E-003,-3.3060729E-001, 2.1499787E-007
 2.5213186E+001, 7.1051233E-003, 7.5677990E+000,-1.9785279E+001, 1.1786238E+001,-1.9522793E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3541010E-003,-4.2608939E-001, 4.4409616E-007
 2.5800173E+001, 1.3549834E-002, 8.5216501E+000,-2.1292015E+001, 1.2188111E+001,-4.5882779E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3346560E-002,-5.7329222E-001, 8.4191542E-007
 2.6408468E+001, 2.6976432E-002, 9.5639990E+000,-2.2949726E+001, 1.2687276E+001,-7.2394451E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5532931E-002,-6.7871329E-001, 1.6651034E-006
 2.7002329E+001, 5.3569131E-002, 1.0698816E+001,-2.4792790E+001, 1.3304765E+001,-9.9246392E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6048089E-002,-7.4556427E-001, 3.4211789E-006
 2.7609116E+001, 1.5089602E-001, 1.1897167E+001,-2.6561829E+001, 1.3694434E+001,-1.8311044E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5037853E-002,-8.3764246E-001, 1.0350024E-005
 2.8204666E+001, 6.4187862E-001, 1.2966083E+001,-2.8836488E+001, 1.4296396E+001,-3.0542447E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0233821E-002,-9.6267292E-001, 4.3755334E-005
 2.8808565E+001, 2.0573580E+000, 1.3752309E+001,-3.1715701E+001, 1.4951794E+001,-3.3252287E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8498683E-002,-9.8749217E-001, 1.3061088E-004
 2.9404381E+001, 4.6761062E+000, 1.4292353E+001,-3.5705862E+001, 1.5788040E+001,-3.6583122E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.6879656E-002,-9.8594603E-001, 2.8944332E-004
 3.0001223E+001, 6.0651085E+000, 1.5436364E+001,-3.8767433E+001, 1.6256374E+001,-4.9288549E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1480348E-001,-1.0588748E+000, 3.3233799E-004
 3.0605146E+001, 7.7308711E+000, 1.6695110E+001,-4.2544633E+001, 1.6839917E+001,-6.1137699E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2319920E-002,-1.3398729E+000, 4.3515049E-004
 3.1208134E+001, 8.7449676E+000, 1.8248589E+001,-4.5770574E+001, 1.7346197E+001,-8.2094479E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.9543517E-002,-1.5129151E+000, 5.1428798E-004
 3.1806074E+001, 1.1666234E+001, 1.9457928E+001,-5.0439759E+001, 1.7987182E+001,-7.2628872E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2761881E-001,-1.4010428E+000, 6.5140485E-004
 3.2401279E+001, 1.2192709E+001, 2.1457959E+001,-5.3983790E+001, 1.8664184E+001,-7.7182349E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6038478E-002,-1.7461213E+000, 6.7270464E-004
 3.3001194E+001, 1.1811137E+001, 2.4051234E+001,-5.6860066E+001, 1.9152994E+001,-8.8297888E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3996713E-002,-1.9329980E+000, 6.6240731E-004
 3.3603294E+001, 1.1990791E+001, 2.6117179E+001,-5.9701730E+001, 1.9479671E+001,-1.0721275E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3189350E-003,-2.2213024E+000, 6.7448438E-004
 3.4205399E+001, 1.1648129E+001, 2.8977560E+001,-6.3180818E+001, 2.0422663E+001,-8.9522790E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.5778868E-002,-2.2219890E+000, 6.4038264E-004
 3.4805744E+001, 1.1637672E+001, 3.1739008E+001,-6.6490035E+001, 2.0754205E+001,-8.9720340E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.3971639E-002,-2.4488710E+000, 6.5974263E-004
 3.5405907E+001, 1.3169306E+001, 3.4186985E+001,-7.1020687E+001, 2.1062756E+001,-1.1775108E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.9013645E-002,-2.7193912E+000, 7.4566029E-004
 3.6000542E+001, 1.4174188E+001, 3.6911507E+001,-7.5781002E+001, 2.1664631E+001,-1.1083294E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2922937E-002,-3.1415092E+000, 7.8930534E-004
 3.6605412E+001, 1.4284847E+001, 4.0432176E+001,-8.0114225E+001, 2.2633282E+001,-8.3763736E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.1918791E-002,-2.8476839E+000, 8.0947160E-004
 3.7201694E+001, 1.5905666E+001, 4.3299751E+001,-8.5382988E+001, 2.3560168E+001,-8.0665277E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0456790E-001,-2.6980684E+000, 8.6596702E-004
 3.7802460E+001, 1.5237473E+001, 4.7383871E+001,-8.9157759E+001, 2.2996577E+001,-1.3803936E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4767696E-002,-3.6778779E+000, 8.5724669E-004
