s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.3012606E-001, 6.2722920E-006, 3.8412884E-009,-8.9988375E-004,-5.1775851E-009,-1.9716650E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4423096E-004,-8.9363251E-004, 4.3561332E-010
 1.2252451E+000, 7.7886526E-006,-5.7523561E-008,-9.0042559E-004,-1.1241853E-008,-1.3727557E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2565008E-004,-8.9284297E-004, 4.3553676E-010
 1.8203641E+000, 7.7991678E-006,-1.2337451E-007,-8.9952530E-004,-1.3379751E-008,-2.7855101E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2562685E-004,-8.9214144E-004, 4.3546244E-010
 2.4154832E+000, 7.8000258E-006,-1.8861957E-007,-8.9863760E-004,-8.4420954E-009,-6.3397352E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2560473E-004,-8.9166861E-004, 4.3538818E-010
 3.0106022E+000, 7.8008678E-006,-2.5389471E-007,-8.9774158E-004, 3.1020599E-009,-1.4025340E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2558272E-004,-8.9159404E-004, 4.3531398E-010
 3.6057212E+000, 7.7985143E-006,-3.1794205E-007,-8.9680313E-004, 2.0291835E-008,-2.5394891E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2556028E-004,-8.9184176E-004, 4.3523982E-010
 4.2008405E+000, 7.7970490E-006,-3.8132026E-007,-8.9577207E-004, 3.3060642E-008,-3.9347202E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2553804E-004,-8.9225800E-004, 4.3516572E-010
 4.8309665E+000, 7.7969164E-006,-4.4606060E-007,-8.9457519E-004, 3.7363409E-008,-5.0388941E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2551362E-004,-8.9222587E-004, 4.3508950E-010
 5.4260855E+000, 7.7964921E-006,-5.1006071E-007,-8.9321854E-004, 5.0125808E-008,-4.5849109E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2548862E-004,-8.9046689E-004, 4.3501335E-010
 6.0212045E+000, 7.7922095E-006,-5.7071827E-007,-8.9174166E-004, 4.9726344E-008,-3.5565312E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2546230E-004,-8.8802697E-004, 4.3493942E-010
 6.6163235E+000, 7.7935559E-006,-6.3026896E-007,-8.9014886E-004, 5.2139575E-008,-3.9105963E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2543468E-004,-8.8684403E-004, 4.3486556E-010
 7.2114425E+000, 7.7905002E-006,-6.8925303E-007,-8.8845198E-004, 5.4840845E-008,-5.0797739E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2540306E-004,-8.8637566E-004, 4.3479177E-010
 7.8065615E+000, 7.7908108E-006,-7.4638100E-007,-8.8668713E-004, 7.4132598E-008,-6.8354232E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2536668E-004,-8.8640399E-004, 4.3471803E-010
 8.4016809E+000, 7.7889569E-006,-8.0220584E-007,-8.8485915E-004, 1.0003690E-007,-8.7741101E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2532271E-004,-8.8654647E-004, 4.3464436E-010
 9.0318069E+000, 7.7873987E-006,-8.5855404E-007,-8.8291281E-004, 1.0120227E-007,-1.0209078E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2526609E-004,-8.8609184E-004, 4.3456860E-010
 9.6269255E+000, 7.7838936E-006,-9.1363366E-007,-8.8093166E-004, 1.0795764E-007,-1.1193874E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2519162E-004,-8.8514732E-004, 4.3449290E-010
 1.0222045E+001, 7.7862024E-006, 1.8974169E-004,-1.1689685E-002, 1.0594350E-002,-6.4811579E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2509580E-004,-9.0428779E-004, 4.3441944E-010
 1.0817163E+001, 7.7819932E-006, 6.8077252E-003,-1.8759455E-001, 1.7937040E-001,-5.0255686E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4012087E-004,-1.4136648E-003, 4.3435059E-010
 1.1412283E+001, 7.7851874E-006, 2.3707502E-002,-4.8247506E-001, 4.5579093E-001,-6.0368598E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.6969315E-004,-2.9748822E-003, 4.3430940E-010
 1.2007401E+001, 7.7808598E-006, 4.7341082E-002,-8.0609339E-001, 7.5074687E-001,-7.5564174E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3175324E-003,-8.0052168E-003, 4.3431750E-010
 1.2602521E+001, 7.7835085E-006, 7.9032170E-002,-1.1337921E+000, 1.0394075E+000,-1.3264000E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2949535E-003,-1.5357827E-002, 4.3439469E-010
 1.3232647E+001, 7.7872339E-006, 1.2146585E-001,-1.4847066E+000, 1.3485656E+000,-1.8287878E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.6083979E-005,-1.4685592E-002, 4.3457373E-010
 1.3827765E+001, 7.7937552E-006, 1.7723769E-001,-1.9899881E+000, 1.7936481E+000,-2.1235019E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.3404336E-003,-1.9115769E-002, 4.3488973E-010
 1.4422885E+001, 7.8023936E-006, 2.4589511E-001,-2.6115838E+000, 2.3385660E+000,-2.0642498E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.3025127E-003,-2.7135562E-002, 4.3539951E-010
 1.5018003E+001, 7.8108578E-006, 3.3026648E-001,-3.1647593E+000, 2.7953624E+000,-2.3302093E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.5922610E-003,-3.9145928E-002, 4.3617339E-010
 1.5613123E+001, 7.8277688E-006, 4.3419711E-001,-3.6557739E+000, 3.1775457E+000,-2.6385630E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.7333989E-004,-4.4049662E-002, 4.3731312E-010
 1.6214338E+001, 7.9259599E-006, 5.6959755E-001,-4.2529250E+000, 3.6562226E+000,-2.7193150E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.6874383E-003,-2.7124190E-002, 4.3939670E-010
 1.6815163E+001, 7.9157210E-006, 7.3750700E-001,-4.8107604E+000, 4.0470944E+000,-7.7670180E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7505773E-003,-2.6228803E-002, 4.4334634E-010
 1.7402742E+001, 7.9242248E-006, 9.2217265E-001,-5.5582689E+000, 4.6030468E+000,-1.9586676E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.5524801E-003,-3.3237460E-002, 4.4840603E-010
 1.8009274E+001, 8.0402912E-006, 1.1306410E+000,-6.3889413E+000, 5.2188242E+000,-5.6249097E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0464096E-002,-4.0030466E-002, 4.5514755E-010
 1.8603699E+001, 8.1785673E-006, 1.3790510E+000,-7.1220705E+000, 5.6936302E+000,-9.6267410E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.5612328E-003,-5.0343850E-002, 4.6454011E-010
 1.9211502E+001, 8.3968035E-006, 1.6693419E+000,-7.8625550E+000, 6.1403560E+000,-1.9497669E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.1253362E-003,-5.4798462E-002, 4.8055440E-010
 1.9808136E+001, 8.7518183E-006, 2.0013794E+000,-8.7513283E+000, 6.6804765E+000,-3.6455433E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.6409334E-003,-7.3109210E-002, 5.0570373E-010
 2.0404385E+001, 9.4287134E-006, 2.3740740E+000,-9.6133179E+000, 7.1549238E+000,-8.9146818E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1232647E-002,-9.3225406E-002, 5.5179746E-010
 2.1010067E+001, 1.0681158E-005, 2.8009609E+000,-1.0577301E+001, 7.5903468E+000,-1.0491573E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0457320E-002,-1.9647450E-001, 6.3460848E-010
 2.1601387E+001, 1.3155199E-005, 3.2811269E+000,-1.1664783E+001, 8.1988419E+000,-1.0152797E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.4687027E-003,-1.9495415E-001, 8.0042026E-010
 2.2210873E+001, 1.8570308E-005, 3.8134308E+000,-1.2729415E+001, 8.7403188E+000,-5.4019946E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0277477E-002,-1.8104896E-001, 1.1391429E-009
 2.2804951E+001, 3.0613069E-005, 4.4186255E+000,-1.4021712E+001, 9.4520231E+000,-2.0343067E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.3639732E-003,-1.5306743E-001, 1.9271378E-009
 2.3408440E+001, 5.8522204E-005, 5.0945456E+000,-1.5238030E+001, 9.9629786E+000,-1.1456575E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.1086910E-003,-1.8159330E-001, 3.6884414E-009
 2.4005560E+001, 1.2565338E-004, 5.8381727E+000,-1.6604744E+001, 1.0467078E+001,-1.1135979E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0005990E-002,-3.0048122E-001, 8.0768698E-009
 2.4605719E+001, 2.9815608E-004, 6.6672405E+000,-1.8131501E+001, 1.1166266E+001,-9.3811499E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.5843264E-003,-2.9863444E-001, 1.9090564E-008
 2.5204012E+001, 6.3608390E-004, 7.5591933E+000,-1.9562754E+001, 1.1677007E+001,-1.2243466E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4397486E-002,-3.2714226E-001, 4.0079484E-008
 2.5802307E+001, 1.3511144E-003, 8.5420404E+000,-2.1182412E+001, 1.2304182E+001,-1.4190711E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4133807E-002,-3.3625679E-001, 8.3078119E-008
 2.6400600E+001, 2.4734383E-003, 9.6162937E+000,-2.2991849E+001, 1.2954487E+001,-2.6085375E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3002069E-003,-4.2120369E-001, 1.5271458E-007
 2.7004854E+001, 4.3600787E-003, 1.0796015E+001,-2.4812652E+001, 1.3438136E+001,-7.5395636E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2795481E-002,-5.8167985E-001, 2.5945698E-007
 2.7600376E+001, 7.0196253E-003, 1.2074297E+001,-2.6651117E+001, 1.3965397E+001,-1.3142595E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8965906E-002,-6.1754622E-001, 4.2822472E-007
 2.8203371E+001, 1.1535044E-002, 1.3456442E+001,-2.8983293E+001, 1.4785993E+001,-1.9560911E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9221385E-003,-7.4888371E-001, 6.9206043E-007
 2.8802647E+001, 1.8352043E-002, 1.4945208E+001,-3.1096265E+001, 1.5257045E+001,-3.3608766E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8614088E-002,-9.0926893E-001, 1.1094546E-006
 2.9402739E+001, 3.1217718E-002, 1.6537093E+001,-3.3308779E+001, 1.5749893E+001,-5.2901448E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3292435E-002,-1.0434767E+000, 1.9120025E-006
 3.0005386E+001, 6.9395928E-002, 1.8215287E+001,-3.5752877E+001, 1.6396541E+001,-6.3091405E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.0892252E-002,-1.1347438E+000, 4.6341163E-006
 3.0603436E+001, 5.3763669E-001, 1.9703847E+001,-3.8346622E+001, 1.6958658E+001,-8.9078357E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9301599E-002,-1.2355593E+000, 4.2714670E-005
 3.1205561E+001, 2.9000953E+000, 2.0452510E+001,-4.2227543E+001, 1.7472722E+001,-1.3220462E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0286423E-001,-1.5344200E+000, 1.8316389E-004
 3.1804161E+001, 5.8436632E+000, 2.1390131E+001,-4.7042089E+001, 1.8165064E+001,-1.3693835E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3372155E-002,-1.7801687E+000, 3.2318453E-004
 3.2400944E+001, 4.9582516E+000, 2.3997928E+001,-4.9515519E+001, 1.8978451E+001,-1.1456606E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4209775E-001,-1.6954542E+000, 2.9430225E-004
 3.3003250E+001, 5.2546625E+000, 2.6259586E+001,-5.2749476E+001, 1.9290954E+001,-1.3933515E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1770217E-002,-2.0836084E+000, 2.8610897E-004
 3.3605415E+001, 7.3297604E+000, 2.8054924E+001,-5.7466345E+001, 1.9914196E+001,-1.7343532E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.2007124E-002,-2.3408992E+000, 4.2094638E-004
 3.4205021E+001, 8.5337717E+000, 3.0084929E+001,-6.1736622E+001, 2.0621568E+001,-1.8802326E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.1437027E-002,-2.6843767E+000, 4.8147979E-004
 3.4801781E+001, 9.7981787E+000, 3.2321359E+001,-6.5622364E+001, 2.0577862E+001,-2.2151421E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.8349056E-002,-3.1464777E+000, 5.5570288E-004
 3.5405853E+001, 1.0114810E+001, 3.5329984E+001,-6.9534305E+001, 2.0923126E+001,-2.1756914E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.3712812E-002,-3.3839550E+000, 5.7384383E-004
 3.6003815E+001, 1.0025499E+001, 3.8625031E+001,-7.3536555E+001, 2.1110428E+001,-2.5061475E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0455546E-002,-4.0262129E+000, 5.4958695E-004
 3.6603779E+001, 1.0346549E+001, 4.1944941E+001,-7.8092144E+001, 2.1899357E+001,-2.3166927E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.3873745E-002,-4.1329661E+000, 5.7082271E-004
 3.7203739E+001, 1.0432055E+001, 4.5457417E+001,-8.2394947E+001, 2.2419659E+001,-2.4087042E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0063122E-001,-4.3266868E+000, 5.9029161E-004
 3.7806740E+001, 9.7906005E+000, 4.9760451E+001,-8.6194847E+001, 2.2413514E+001,-2.4009041E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9837732E-001,-4.4703721E+000, 5.5580147E-004
