s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.3012606E-001, 9.7185152E-006,-3.5343974E-009,-2.8039030E-004,-4.9550249E-009,-6.6223786E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3720883E-005,-2.7068690E-004, 6.7257118E-010
 1.2252451E+000, 1.2042382E-005,-3.6965139E-008,-2.8218452E-004,-1.1712511E-008,-7.1254646E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8100488E-005,-2.7026207E-004, 6.7251800E-010
 1.8203641E+000, 1.2050595E-005,-7.2278242E-008,-2.8172546E-004,-1.1919755E-008,-1.3593313E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8096329E-005,-2.6989499E-004, 6.7246640E-010
 2.4154832E+000, 1.2051665E-005,-1.0719498E-007,-2.8129689E-004,-1.0461378E-008,-3.0519627E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8092542E-005,-2.6966808E-004, 6.7241484E-010
 3.0106022E+000, 1.2050537E-005,-1.4204006E-007,-2.8089704E-004, 2.3650683E-009,-3.9446803E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8088831E-005,-2.6938065E-004, 6.7236332E-010
 3.6057212E+000, 1.2052024E-005,-1.7628566E-007,-2.8051647E-004, 1.6790045E-008,-6.6204628E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8085037E-005,-2.6928598E-004, 6.7231185E-010
 4.2008405E+000, 1.2049283E-005,-2.1022119E-007,-2.8013857E-004, 3.1781898E-008,-1.0634569E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8081306E-005,-2.6933119E-004, 6.7226041E-010
 4.8309665E+000, 1.2050386E-005,-2.4496875E-007,-2.7974960E-004, 4.1576388E-008,-1.6683035E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8077361E-005,-2.6957091E-004, 6.7220751E-010
 5.4260855E+000, 1.2048158E-005,-2.7947446E-007,-2.7934561E-004, 4.5800156E-008,-2.3895205E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8073154E-005,-2.6992065E-004, 6.7215465E-010
 6.0212045E+000, 1.2046252E-005,-3.1245386E-007,-2.7893775E-004, 4.8944388E-008,-3.3517261E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8069026E-005,-2.7050673E-004, 6.7210334E-010
 6.6163235E+000, 1.2047852E-005,-3.4510257E-007,-2.7850551E-004, 4.5374532E-008,-4.1065031E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8064688E-005,-2.7086389E-004, 6.7205207E-010
 7.2114425E+000, 1.2045180E-005,-3.7767417E-007,-2.7804297E-004, 5.1530198E-008,-5.1297791E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8060159E-005,-2.7145371E-004, 6.7200084E-010
 7.8065615E+000, 1.2045811E-005,-4.0959895E-007,-2.7755593E-004, 6.4124276E-008,-6.1878074E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8055589E-005,-2.7204340E-004, 6.7194965E-010
 8.4016809E+000, 1.2046999E-005,-4.4112000E-007,-2.7703067E-004, 8.5788828E-008,-5.4295770E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8050898E-005,-2.7076858E-004, 6.7189850E-010
 9.0318069E+000, 1.2044465E-005,-4.7323223E-007,-2.7643075E-004, 9.7991752E-008,-3.2563833E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8045965E-005,-2.6801791E-004, 6.7184590E-010
 9.6269255E+000, 1.2042250E-005,-5.0492359E-007,-2.7578903E-004, 1.0459898E-007,-3.5511459E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8040628E-005,-2.6769825E-004, 6.7179334E-010
 1.0222045E+001, 1.2042856E-005, 1.9754836E-004,-1.1624249E-002, 1.1124135E-002,-4.3042542E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8035457E-005,-2.9482669E-004, 6.7174237E-010
 1.0817163E+001, 1.2040795E-005, 7.0991569E-003,-1.9622327E-001, 1.8828436E-001,-5.1171059E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.2706531E-004,-8.3282963E-004, 6.7170255E-010
 1.1412283E+001, 1.2043287E-005, 2.4872022E-002,-5.0550798E-001, 4.7813829E-001,-6.0089630E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.6612668E-004,-2.4916348E-003, 6.7173069E-010
 1.2007401E+001, 1.2045381E-005, 4.9983879E-002,-8.4459304E-001, 7.8669951E-001,-6.8786407E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4256081E-003,-7.9044854E-003, 6.7188168E-010
 1.2602521E+001, 1.2049221E-005, 8.3901952E-002,-1.1878941E+000, 1.0886620E+000,-7.9523254E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3240901E-003,-1.5326110E-002, 6.7220798E-010
 1.3232647E+001, 1.2058807E-005, 1.2970644E-001,-1.5588473E+000, 1.4145272E+000,-9.0739039E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9173363E-005,-1.4610670E-002, 6.7280226E-010
 1.3827765E+001, 1.2077193E-005, 1.9027210E-001,-2.1039141E+000, 1.8936012E+000,-1.0286907E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.8164873E-003,-2.0039085E-002, 6.7375813E-010
 1.4422885E+001, 1.2095375E-005, 2.6517788E-001,-2.7535879E+000, 2.4583351E+000,-1.1541423E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.6528061E-003,-3.0074352E-002, 6.7521663E-010
 1.5018003E+001, 1.2136516E-005, 3.5749186E-001,-3.3287308E+000, 2.9286937E+000,-1.2766423E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.5661743E-003,-4.2545837E-002, 6.7745453E-010
 1.5605150E+001, 1.2203361E-005, 4.7086436E-001,-3.8386842E+000, 3.3219151E+000,-1.3446756E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4934061E-003,-4.5905991E-002, 6.8086688E-010
 1.6203444E+001, 1.2410986E-005, 6.2102684E-001,-4.4813070E+000, 3.8326785E+000,-1.4768391E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.6856095E-003,-2.7604032E-002, 6.8774377E-010
 1.6816786E+001, 1.2498603E-005, 8.0801631E-001,-5.0742085E+000, 4.2344529E+000,-4.2058004E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2902596E-003,-3.1768789E-002, 7.0155206E-010
 1.7406675E+001, 1.2741180E-005, 1.0090095E+000,-5.9023135E+000, 4.8532108E+000,-1.2856158E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1153921E-002,-4.0209032E-002, 7.2200596E-010
 1.8017048E+001, 1.3297049E-005, 1.2473190E+000,-6.7709590E+000, 5.4765006E+000,-2.1197175E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0092514E-002,-4.7338051E-002, 7.5332010E-010
 1.8613770E+001, 1.4117162E-005, 1.5283517E+000,-7.5480104E+000, 5.9630162E+000,-4.0285452E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1232977E-003,-5.7031271E-002, 8.0889859E-010
 1.9212496E+001, 1.6081126E-005, 1.8472620E+000,-8.3500209E+000, 6.4470482E+000,-9.6342751E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.2007146E-003,-5.6658054E-002, 9.3689819E-010
 1.9802713E+001, 2.0384873E-005, 2.2150516E+000,-9.2763107E+000, 6.9793602E+000,-2.2338425E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.8751064E-003,-8.4112367E-002, 1.2168070E-009
 2.0407200E+001, 3.0746178E-005, 2.6362890E+000,-1.0241745E+001, 7.4832035E+000,-3.0896971E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.1268870E-003,-1.2531137E-001, 1.8925907E-009
 2.1012274E+001, 5.7136035E-005, 3.1201430E+000,-1.1381720E+001, 8.0592207E+000,-3.5217934E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4588272E-002,-2.0582091E-001, 3.6049072E-009
 2.1603752E+001, 1.2585782E-004, 3.6508356E+000,-1.2449869E+001, 8.6312176E+000,-3.0362202E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.3584249E-003,-1.7072652E-001, 8.0699874E-009
 2.2209658E+001, 3.1500061E-004, 4.2513475E+000,-1.3685548E+001, 9.2602001E+000,-1.6667405E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7971359E-003,-1.7535167E-001, 2.0737485E-008
 2.2801136E+001, 8.4059451E-004, 4.9250836E+000,-1.5058122E+001, 9.8989025E+000,-8.7370709E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.7975694E-003,-2.3416875E-001, 5.4773265E-008
 2.3413752E+001, 2.0309448E-003, 5.6745903E+000,-1.6377221E+001, 1.0416245E+001,-6.2152012E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.8444890E-003,-2.8497594E-001, 1.3040227E-007
 2.4009823E+001, 4.7624072E-003, 6.5105604E+000,-1.7930997E+001, 1.1045735E+001,-1.0056115E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2510045E-003,-3.7094456E-001, 3.0084375E-007
 2.4605452E+001, 1.0361642E-002, 7.4182393E+000,-1.9454877E+001, 1.1510732E+001,-2.3645172E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4172631E-002,-5.1790881E-001, 6.5519468E-007
 2.5200232E+001, 2.2557575E-002, 8.3937001E+000,-2.1013133E+001, 1.2045315E+001,-3.3256669E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.9186430E-003,-5.5488542E-001, 1.3910596E-006
 2.5802393E+001, 4.5527702E-002, 9.4477181E+000,-2.2854475E+001, 1.2680230E+001,-7.7552439E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8396418E-003,-6.8875441E-001, 2.8876145E-006
 2.6402628E+001, 1.1063173E-001, 1.0611859E+001,-2.4651979E+001, 1.3144859E+001,-1.3673961E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9503986E-002,-7.9830307E-001, 7.2161196E-006
 2.7007200E+001, 4.0564062E-001, 1.1679790E+001,-2.6900969E+001, 1.3921342E+001,-2.1085201E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.2589598E-003,-9.1528199E-001, 2.7337910E-005
 2.7606424E+001, 1.4501192E+000, 1.2590834E+001,-2.9646330E+001, 1.4751841E+001,-3.1429890E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.0270652E-002,-8.8496536E-001, 9.3505225E-005
 2.8206135E+001, 3.7071717E+000, 1.3291630E+001,-3.2965753E+001, 1.5100950E+001,-4.2189896E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.8083128E-002,-9.0819118E-001, 2.2684880E-004
 2.8800114E+001, 7.8513849E+000, 1.3377160E+001,-3.7775704E+001, 1.5480216E+001,-6.3808524E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4619666E-001,-1.1307512E+000, 4.8845494E-004
 2.9403543E+001, 1.0114539E+001, 1.4409707E+001,-4.1849777E+001, 1.6093045E+001,-8.1129494E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.8647819E-002,-1.3136170E+000, 5.5955529E-004
 3.0004276E+001, 1.2355041E+001, 1.5648865E+001,-4.5978756E+001, 1.6693623E+001,-7.9574604E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0009705E-001,-1.3608014E+000, 6.8974538E-004
 3.0602385E+001, 1.2549366E+001, 1.7500527E+001,-4.8888354E+001, 1.7228495E+001,-9.5980844E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0774162E-003,-1.7059457E+000, 7.1811784E-004
 3.1204189E+001, 1.4414345E+001, 1.8913428E+001,-5.3003093E+001, 1.7969817E+001,-9.0057460E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.7636077E-002,-1.7955602E+000, 8.1075027E-004
 3.1801390E+001, 1.6922996E+001, 2.0396025E+001,-5.7669019E+001, 1.8304872E+001,-1.0325337E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.0806586E-002,-2.1483792E+000, 9.3661803E-004
 3.2402832E+001, 1.6955394E+001, 2.3077290E+001,-6.1106721E+001, 1.9071945E+001,-1.1966511E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3265681E-001,-2.1217570E+000, 9.5021722E-004
 3.3004250E+001, 1.8762246E+001, 2.5003991E+001,-6.5592885E+001, 1.9622539E+001,-1.4205903E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.8424897E-002,-2.3461675E+000, 1.0696973E-003
 3.3606762E+001, 1.9189798E+001, 2.7641453E+001,-6.9285122E+001, 1.9769585E+001,-1.4180147E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0961466E-002,-2.8260890E+000, 1.0668827E-003
 3.4204346E+001, 1.7488452E+001, 3.1147846E+001,-7.2138799E+001, 2.0610593E+001,-1.3394752E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9653128E-002,-3.0258564E+000, 9.8382969E-004
 3.4802567E+001, 1.8720303E+001, 3.4119976E+001,-7.6657337E+001, 2.1031388E+001,-1.2453695E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3393151E-001,-2.9102070E+000, 1.0429814E-003
 3.5400757E+001, 1.8868755E+001, 3.7277242E+001,-8.1285110E+001, 2.2398137E+001,-9.0426978E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.8688694E-002,-2.8314031E+000, 1.0557632E-003
 3.6006649E+001, 2.0225855E+001, 4.0053098E+001,-8.5931594E+001, 2.2587782E+001,-1.0561836E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.0846782E-002,-3.1704785E+000, 1.1410064E-003
 3.6601044E+001, 2.2091953E+001, 4.3354021E+001,-9.1924406E+001, 2.3041233E+001,-1.4061407E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1131710E-003,-3.5778126E+000, 1.1952351E-003
 3.7204018E+001, 2.2234454E+001, 4.6769139E+001,-9.6030769E+001, 2.2793947E+001,-1.6874611E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0906483E-001,-4.4019744E+000, 1.2638144E-003
 3.7802513E+001, 2.2196169E+001, 5.1270005E+001,-1.0067138E+002, 2.2828582E+001,-1.3858520E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0014532E-001,-4.5152145E+000, 1.2425988E-003
