s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.3012606E-001, 1.4707306E-006,-4.7360315E-009,-3.8733585E-004,-4.8963944E-009,-9.4338115E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.2311466E-005,-3.8588419E-004, 1.0276109E-010
 1.2252451E+000, 1.8114192E-006,-5.3110523E-008,-3.8685686E-004,-1.1252549E-008,-8.6271696E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.4281206E-005,-3.8519607E-004, 1.0274021E-010
 1.8203641E+000, 1.8226538E-006,-1.0513944E-007,-3.8611040E-004,-1.1983471E-008,-2.1913006E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.4269981E-005,-3.8462400E-004, 1.0271995E-010
 2.4154832E+000, 1.8279444E-006,-1.5658595E-007,-3.8539036E-004,-9.7379247E-009,-3.6682034E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.4259214E-005,-3.8409556E-004, 1.0269972E-010
 3.0106022E+000, 1.8322232E-006,-2.0801594E-007,-3.8469490E-004, 2.4678906E-009,-5.1669846E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.4248576E-005,-3.8358492E-004, 1.0267951E-010
 3.6057212E+000, 1.8313930E-006,-2.5840505E-007,-3.8400632E-004, 1.8441135E-008,-9.7332432E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.4237877E-005,-3.8338821E-004, 1.0265932E-010
 4.2008405E+000, 1.8324374E-006,-3.0827909E-007,-3.8331644E-004, 3.3373288E-008,-1.6330924E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.4227160E-005,-3.8339200E-004, 1.0263916E-010
 4.8309665E+000, 1.8332919E-006,-3.5931186E-007,-3.8258926E-004, 4.4932579E-008,-2.4790192E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.4216058E-005,-3.8354936E-004, 1.0261844E-010
 5.4260855E+000, 1.8326119E-006,-4.0995702E-007,-3.8182597E-004, 4.8845425E-008,-3.4783298E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.4204416E-005,-3.8383280E-004, 1.0259773E-010
 6.0212045E+000, 1.8326577E-006,-4.5816715E-007,-3.8103318E-004, 4.9902639E-008,-4.6094777E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.4193210E-005,-3.8421826E-004, 1.0257764E-010
 6.6163235E+000, 1.8335255E-006,-5.0576808E-007,-3.8017898E-004, 5.0142436E-008,-5.9089273E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.4181445E-005,-3.8471001E-004, 1.0255758E-010
 7.2114425E+000, 1.8320501E-006,-5.5323524E-007,-3.7925095E-004, 5.2150431E-008,-7.4197951E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.4169481E-005,-3.8533978E-004, 1.0253754E-010
 7.8065615E+000, 1.8339540E-006,-5.9946462E-007,-3.7823814E-004, 6.9106429E-008,-5.9282970E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.4157422E-005,-3.8286284E-004, 1.0251753E-010
 8.4016809E+000, 1.8321640E-006,-6.4490231E-007,-3.7714050E-004, 8.9618324E-008,-4.2304172E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.4145132E-005,-3.8009404E-004, 1.0249755E-010
 9.0318069E+000, 1.8317027E-006,-6.9101699E-007,-3.7593215E-004, 1.0106310E-007,-4.2632508E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.4131737E-005,-3.7895365E-004, 1.0247700E-010
 9.6269255E+000, 1.8331861E-006,-7.3636345E-007,-3.7465617E-004, 1.0865483E-007,-5.2091598E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.4117892E-005,-3.7865985E-004, 1.0245649E-010
 1.0222045E+001, 1.8297381E-006, 1.9048712E-004,-1.1184617E-002, 1.0594396E-002,-6.3418713E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.4103962E-005,-4.0424688E-004, 1.0243660E-010
 1.0817163E+001, 1.8324994E-006, 6.8275527E-003,-1.8710915E-001, 1.7937169E-001,-7.6224466E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.1100385E-004,-9.1569490E-004, 1.0241886E-010
 1.1412283E+001, 1.8298215E-006, 2.3776137E-002,-4.8203659E-001, 4.5579197E-001,-8.8087472E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.3992226E-004,-2.4754588E-003, 1.0241403E-010
 1.2007401E+001, 1.8323837E-006, 4.7478135E-002,-8.0571803E-001, 7.5074385E-001,-1.0382824E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3881953E-003,-7.5045920E-003, 1.0243223E-010
 1.2602521E+001, 1.8310829E-006, 7.9261817E-002,-1.1334967E+000, 1.0393868E+000,-1.1949514E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3649960E-003,-1.4858257E-002, 1.0248270E-010
 1.3232647E+001, 1.8330782E-006, 1.2181832E-001,-1.4845395E+000, 1.3485518E+000,-1.3936491E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6880146E-005,-1.4181514E-002, 1.0258119E-010
 1.3827765E+001, 1.8358944E-006, 1.7775542E-001,-1.9900680E+000, 1.7934442E+000,-1.5830440E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4029526E-003,-1.8882378E-002, 1.0274323E-010
 1.4422885E+001, 1.8400661E-006, 2.4660465E-001,-2.6119090E+000, 2.3379142E+000,-1.7098199E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.3605576E-003,-2.7405483E-002, 1.0299327E-010
 1.5018003E+001, 1.8452349E-006, 3.3122818E-001,-3.1648523E+000, 2.7946725E+000,-7.9141988E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.6720028E-003,-3.8957736E-002, 1.0337413E-010
 1.5613123E+001, 1.8553330E-006, 4.3547079E-001,-3.6566222E+000, 3.1768047E+000,-4.9276794E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.0661686E-004,-4.4349795E-002, 1.0393883E-010
 1.6215300E+001, 1.8720211E-006, 5.7132070E-001,-4.2560208E+000, 3.6572151E+000,-9.2422176E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.7313142E-003,-2.7492387E-002, 1.0503998E-010
 1.6800779E+001, 1.8703348E-006, 7.3963002E-001,-4.8072032E+000, 4.0442324E+000,-4.2292168E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8240022E-003,-2.3381114E-002, 1.0726156E-010
 1.7411772E+001, 1.8982899E-006, 9.2221145E-001,-5.5518783E+000, 4.5963326E+000,-1.3863513E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.3470672E-003,-3.3470963E-002, 1.1016366E-010
 1.8001856E+001, 1.9514320E-006, 1.1344710E+000,-6.3896890E+000, 5.2170675E+000,-2.4580874E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0381549E-002,-3.8394452E-002, 1.1404400E-010
 1.8603670E+001, 2.0179551E-006, 1.3834981E+000,-7.1212233E+000, 5.6895465E+000,-3.6427634E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.2062658E-003,-4.8540958E-002, 1.1939430E-010
 1.9202202E+001, 2.1495918E-006, 1.6728925E+000,-7.8714130E+000, 6.1487670E+000,-8.2612631E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.4499881E-003,-5.0577431E-002, 1.2910431E-010
 1.9803314E+001, 2.3744039E-006, 1.9995000E+000,-8.7251251E+000, 6.6485520E+000,-1.8452220E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.7441090E-003,-7.8915934E-002, 1.4524668E-010
 2.0403934E+001, 2.8213916E-006, 2.3781321E+000,-9.6205053E+000, 7.1505890E+000,-3.0623745E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0491678E-002,-9.4843698E-002, 1.7569870E-010
 2.1011311E+001, 3.6677503E-006, 2.8077353E+000,-1.0605370E+001, 7.6229384E+000,-4.2909656E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2912391E-002,-1.7898402E-001, 2.3209775E-010
 2.1601545E+001, 5.4371147E-006, 3.2887376E+000,-1.1668349E+001, 8.2236351E+000,-5.7119011E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.8291958E-004,-1.6168265E-001, 3.5050302E-010
 2.2206535E+001, 9.3650533E-006, 3.8285646E+000,-1.2823338E+001, 8.8482145E+000,-3.2917205E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7191205E-003,-1.4984085E-001, 5.9561672E-010
 2.2810772E+001, 1.8689924E-005, 4.4357884E+000,-1.3987193E+001, 9.3986576E+000,-1.1917409E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.3781815E-004,-1.5391993E-001, 1.2072495E-009
 2.3404997E+001, 4.1306405E-005, 5.1153257E+000,-1.5381492E+001, 1.0075703E+001,-7.5462015E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.8689853E-003,-1.9117674E-001, 2.6551612E-009
 2.4012426E+001, 9.4971966E-005, 5.8556495E+000,-1.6590958E+001, 1.0541167E+001,-6.6979426E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6603958E-002,-1.9471592E-001, 6.1325212E-009
 2.4609606E+001, 2.2209643E-004, 6.6817605E+000,-1.8186663E+001, 1.1203591E+001,-8.3787308E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7851894E-003,-3.0192757E-001, 1.3806720E-008
 2.5200287E+001, 4.5481998E-004, 7.5849756E+000,-1.9548565E+001, 1.1613192E+001,-1.3004459E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.0498284E-003,-3.5124349E-001, 2.8222475E-008
 2.5810907E+001, 8.1353181E-004, 8.5919354E+000,-2.1360113E+001, 1.2290965E+001,-2.0452304E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.8465870E-003,-4.7844375E-001, 4.9723176E-008
 2.6411077E+001, 1.3871458E-003, 9.6772583E+000,-2.3106077E+001, 1.2903681E+001,-2.9158581E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.4419998E-003,-5.2666662E-001, 8.4399534E-008
 2.7011250E+001, 2.1722214E-003, 1.0847981E+001,-2.4797519E+001, 1.3313001E+001,-7.2982840E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0300198E-002,-6.4166386E-001, 1.3000890E-007
 2.7604685E+001, 3.3113303E-003, 1.2144013E+001,-2.6666120E+001, 1.3784314E+001,-1.4584367E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4289638E-002,-7.4906592E-001, 1.9908442E-007
 2.8207321E+001, 5.0149471E-003, 1.3549035E+001,-2.8845635E+001, 1.4410161E+001,-2.1825237E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.3281495E-005,-9.0324966E-001, 2.9341417E-007
 2.8809778E+001, 7.4811864E-003, 1.5083375E+001,-3.0880869E+001, 1.4597391E+001,-5.0685969E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0789129E-002,-1.2433074E+000, 4.4377012E-007
 2.9406052E+001, 1.1468562E-002, 1.6687530E+001,-3.3209247E+001, 1.5246226E+001,-7.2609867E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6436467E-002,-1.3366329E+000, 6.8825454E-007
 3.0000536E+001, 1.9299257E-002, 1.8393676E+001,-3.5557392E+001, 1.5891003E+001,-1.0105368E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5596506E-002,-1.3544679E+000, 1.1826036E-006
 3.0603954E+001, 4.4476755E-002, 2.0215418E+001,-3.8379910E+001, 1.6746161E+001,-9.1851602E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.4772412E-003,-1.4657060E+000, 3.0336326E-006
 3.1205545E+001, 6.6191418E-001, 2.1744255E+001,-4.1051087E+001, 1.7057150E+001,-1.0379064E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.6511965E-002,-1.6915581E+000, 5.3713377E-005
 3.1809711E+001, 2.8645514E+000, 2.2591322E+001,-4.5026409E+001, 1.7921842E+001,-1.0776970E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.7952225E-002,-1.7564631E+000, 1.7066640E-004
 3.2407978E+001, 2.6685005E+000, 2.5015031E+001,-4.8161403E+001, 1.8806845E+001,-1.1500751E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.3441369E-002,-1.7860338E+000, 1.4292306E-004
 3.3000435E+001, 3.2204213E+000, 2.7214430E+001,-5.1542373E+001, 1.9101308E+001,-1.3794364E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5264862E-002,-2.1441567E+000, 1.7387681E-004
 3.3607922E+001, 3.2157898E+000, 2.9808942E+001,-5.5038272E+001, 1.9865991E+001,-1.3255720E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.5545450E-002,-2.2801056E+000, 1.9366487E-004
 3.4203938E+001, 3.2698554E+000, 3.2289188E+001,-5.8126671E+001, 2.0030460E+001,-1.7727291E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.6259722E-002,-2.7144407E+000, 1.8290506E-004
 3.4802967E+001, 4.8531293E+000, 3.4280859E+001,-6.2381559E+001, 2.0573216E+001,-1.7788256E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.4298473E-002,-2.8522367E+000, 2.7188124E-004
 3.5400917E+001, 5.8755072E+000, 3.6880501E+001,-6.6441181E+001, 2.0845368E+001,-1.7218500E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2265174E-001,-3.0119892E+000, 3.3050304E-004
 3.6004967E+001, 5.4296684E+000, 4.0577011E+001,-7.0854337E+001, 2.1922883E+001,-1.7181844E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4774102E-002,-3.0965927E+000, 3.0234839E-004
 3.6606304E+001, 6.0148465E+000, 4.3901180E+001,-7.5395311E+001, 2.2070939E+001,-2.1308594E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9324336E-002,-3.6214310E+000, 3.3343967E-004
 3.7200821E+001, 5.3110869E+000, 4.7577552E+001,-7.8808946E+001, 2.2361753E+001,-1.9480654E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.1215559E-002,-3.7533609E+000, 3.0950416E-004
 3.7801174E+001, 5.7077166E+000, 5.1353941E+001,-8.4115497E+001, 2.3310691E+001,-1.4389889E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0738891E-002,-3.8870467E+000, 3.1154909E-004
