s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.3012606E-001, 7.9918700E-005, 5.3919383E-008,-4.1360797E-003,-5.1542772E-009,-3.8445089E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.5494438E-004,-4.0561506E-003, 5.4974004E-009
 1.2252451E+000, 9.8529586E-005,-9.9628601E-008,-4.1471983E-003,-1.1106477E-008,-2.7454873E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.7066655E-004,-4.0490539E-003, 5.4967694E-009
 1.8203641E+000, 9.8561600E-005,-2.5920252E-007,-4.1406218E-003,-1.1640667E-008,-1.1008747E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.7059823E-004,-4.0434319E-003, 5.4961567E-009
 2.4154832E+000, 9.8552940E-005,-4.1525244E-007,-4.1332259E-003,-6.3017791E-009,-1.3490531E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.7053328E-004,-4.0364435E-003, 5.4955445E-009
 3.0106022E+000, 9.8541630E-005,-5.6677492E-007,-4.1239792E-003,-2.4334102E-009,-7.7129280E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.7046113E-004,-4.0267781E-003, 5.4949326E-009
 3.6057212E+000, 9.8532845E-005,-7.1001117E-007,-4.1136400E-003, 1.6788391E-008,-1.2103827E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.7037346E-004,-4.0170107E-003, 5.4943212E-009
 4.2008405E+000, 9.8524222E-005,-8.4522036E-007,-4.1032926E-003, 3.0380026E-008,-2.0270250E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.7022791E-004,-4.0076102E-003, 5.4937103E-009
 4.8309665E+000, 9.8514852E-005,-9.7665285E-007,-4.0933391E-003, 3.7822264E-008,-8.6890708E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.6993182E-004,-3.9966320E-003, 5.4930818E-009
 5.4260855E+000, 9.8500646E-005,-1.1005058E-006,-4.0845244E-003, 4.6659316E-008,-1.3284901E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.6933676E-004,-3.9884061E-003, 5.4924539E-009
 6.0212045E+000, 9.8489190E-005,-1.2133304E-006,-4.0773765E-003, 5.0593417E-008,-1.9704599E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.6822601E-004,-3.9820205E-003, 5.4918442E-009
 6.6163235E+000, 9.8479613E-005,-1.3203277E-006,-4.0718416E-003, 6.0926132E-008,-2.8606873E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.6630299E-004,-3.9774821E-003, 5.4912350E-009
 7.2114425E+000, 9.8468525E-005,-1.4231155E-006,-4.0679810E-003, 8.0514184E-008,-4.1179122E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.6338389E-004,-3.9749730E-003, 5.4906261E-009
 7.8065615E+000, 9.8455750E-005,-1.5203131E-006,-4.0655828E-003, 8.9885285E-008,-1.8462573E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.5951057E-004,-3.9870200E-003, 5.4900175E-009
 8.4016809E+000, 9.8444644E-005,-1.6132509E-006,-4.0642053E-003, 1.0298312E-007,-3.8246027E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.5499853E-004,-4.0055170E-003, 5.4894092E-009
 9.0318069E+000, 9.8429863E-005,-1.7053718E-006,-4.0632686E-003, 1.1446061E-007,-6.9529316E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.5015912E-004,-4.0359589E-003, 5.4887833E-009
 9.6269255E+000, 9.8418060E-005,-1.7937509E-006,-4.0623546E-003, 1.2054738E-007,-9.2100371E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.4551264E-004,-4.0577101E-003, 5.4881577E-009
 1.0222045E+001, 9.8402678E-005, 1.8638405E-004,-1.4869567E-002, 1.0594233E-002,-1.1270645E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.4127360E-004,-4.1032535E-003, 5.4875503E-009
 1.0817163E+001, 9.8393683E-005, 6.7195652E-003,-1.9069187E-001, 1.7936160E-001,-1.3597258E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.2117317E-005,-4.6482899E-003, 5.4869618E-009
 1.1412283E+001, 9.8383126E-005, 2.3402334E-002,-4.8537778E-001, 4.5578603E-001,-1.3767248E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6229904E-004,-6.2287108E-003, 5.4864876E-009
 1.2007401E+001, 9.8377536E-005, 4.6731321E-002,-8.0873235E-001, 7.5076099E-001,-1.8613444E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.1176697E-004,-1.1327794E-002, 5.4862170E-009
 1.2602521E+001, 9.8375999E-005, 7.8011193E-002,-1.1360944E+000, 1.0395001E+000,-2.2149127E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.9237524E-004,-1.8706147E-002, 5.4862314E-009
 1.3232647E+001, 9.8378893E-005, 1.1988939E-001,-1.4863514E+000, 1.3486818E+000,-3.0537738E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5441133E-004,-1.7987259E-002, 5.4866571E-009
 1.3827765E+001, 9.8391899E-005, 1.7493719E-001,-1.9880082E+000, 1.7942715E+000,-3.4573100E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9503826E-003,-1.9046824E-002, 5.4876850E-009
 1.4422885E+001, 9.8424324E-005, 2.4271529E-001,-2.6050001E+000, 2.3381704E+000,-3.1351037E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.8500239E-003,-2.4329470E-002, 5.4896072E-009
 1.5018003E+001, 9.8468545E-005, 3.2600668E-001,-3.1555760E+000, 2.7950178E+000,-3.2848815E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.2114702E-003,-3.4781634E-002, 5.4925863E-009
 1.5629913E+001, 9.8840580E-005, 4.3020252E-001,-3.6393850E+000, 3.1827336E+000,-1.9781416E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1744846E-003,-2.6547851E-002, 5.4972342E-009
 1.6203028E+001, 9.9850269E-005, 5.6425516E-001,-4.1885301E+000, 3.6598276E+000,-2.0123858E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.8454800E-003, 3.5451207E-002, 5.5057891E-009
 1.6809647E+001, 9.9314192E-005, 7.2652721E-001,-4.7082089E+000, 4.0323316E+000,-2.6480974E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5360717E-003, 5.0484428E-002, 5.5208327E-009
 1.7405399E+001, 9.9114805E-005, 9.0507803E-001,-5.4700866E+000, 4.6002605E+000,-6.6083261E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.9310156E-003, 3.4690180E-002, 5.5402428E-009
 1.8000828E+001, 1.0007899E-004, 1.1126083E+000,-6.2911286E+000, 5.2016926E+000,-4.3696314E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.9425101E-003, 1.8902829E-002, 5.5645156E-009
 1.8611189E+001, 1.0074888E-004, 1.3632885E+000,-7.0151971E+000, 5.6711612E+000,-1.0693822E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.1892865E-003, 8.6594623E-003, 5.5979978E-009
 1.9214010E+001, 1.0138360E-004, 1.6512025E+000,-7.6920495E+000, 6.1171340E+000,-1.8140855E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.7348095E-003, 5.8247587E-002, 5.6557089E-009
 1.9800087E+001, 1.0273117E-004, 1.9708445E+000,-8.5253056E+000, 6.6380127E+000,-2.1705764E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.9147795E-003, 6.1948526E-002, 5.7406534E-009
 2.0402910E+001, 1.0471215E-004, 2.3366080E+000,-9.4538631E+000, 7.2083261E+000,-3.1165004E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3170083E-002, 6.0010669E-002, 5.8805742E-009
 2.1005732E+001, 1.0906136E-004, 2.7533016E+000,-1.0408246E+001, 7.7036316E+000,-4.2146365E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4954804E-002, 6.6498508E-003, 6.1297802E-009
 2.1610508E+001, 1.1566117E-004, 3.2347669E+000,-1.1474443E+001, 8.2203098E+000,-4.6278894E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.1573908E-003,-6.5529071E-002, 6.5776943E-009
 2.2200644E+001, 1.2898391E-004, 3.7563718E+000,-1.2513790E+001, 8.7936745E+000,-3.3584418E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.7929619E-003, 2.8011349E-003, 7.4607037E-009
 2.2812731E+001, 1.5609884E-004, 4.3578581E+000,-1.3814183E+001, 9.4715912E+000,-1.2200791E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.6044960E-003, 3.2217136E-003, 9.1697212E-009
 2.3402494E+001, 2.1393403E-004, 5.0245391E+000,-1.5043171E+001, 1.0031158E+001,-4.5329503E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.4537889E-003, 8.2066652E-003, 1.2992806E-008
 2.4005737E+001, 3.5737552E-004, 5.7489898E+000,-1.6316848E+001, 1.0572072E+001,-2.9132809E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3466308E-003, 1.6576803E-003, 2.2037627E-008
 2.4606764E+001, 6.9306159E-004, 6.5765964E+000,-1.7794361E+001, 1.1083244E+001,-2.5306096E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.3948209E-003,-1.3635743E-001, 4.3490767E-008
 2.5209114E+001, 1.4853566E-003, 7.4639622E+000,-1.9255939E+001, 1.1646269E+001,-2.3249623E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7542207E-003,-1.4654805E-001, 9.4621069E-008
 2.5810476E+001, 3.3699371E-003, 8.4289574E+000,-2.0804291E+001, 1.2258530E+001,-2.8918563E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.5079566E-003,-1.1632513E-001, 2.1380540E-007
 2.6410721E+001, 7.5626018E-003, 9.4839816E+000,-2.2391913E+001, 1.2881337E+001,-4.2072018E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7548317E-002,-2.3238863E-002, 4.7242663E-007
 2.7010965E+001, 1.4679553E-002, 1.0635024E+001,-2.4375863E+001, 1.3571138E+001,-6.7384202E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.6345776E-003,-1.6175960E-001, 9.0864304E-007
 2.7606735E+001, 2.5412004E-002, 1.1869206E+001,-2.6442969E+001, 1.4239200E+001,-1.1280884E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1127804E-002,-3.2043228E-001, 1.5456216E-006
 2.8200266E+001, 4.3040101E-002, 1.3216630E+001,-2.8465790E+001, 1.4746667E+001,-1.5194796E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8124754E-002,-4.7464677E-001, 2.5751488E-006
 2.8803585E+001, 7.4689871E-002, 1.4646892E+001,-3.0487053E+001, 1.5143987E+001,-3.2521847E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.3793376E-002,-6.5400551E-001, 4.5823155E-006
 2.9406902E+001, 1.4151224E-001, 1.6169935E+001,-3.2815114E+001, 1.5787951E+001,-5.2541021E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.4311839E-002,-7.6825702E-001, 8.7326162E-006
 3.0000381E+001, 3.0449367E-001, 1.7709528E+001,-3.5210252E+001, 1.6357958E+001,-9.3236891E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7752923E-002,-9.3150916E-001, 1.9691261E-005
 3.0602627E+001, 1.1682102E+000, 1.9039078E+001,-3.8349892E+001, 1.7214495E+001,-1.1026475E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.6802541E-002,-1.0383738E+000, 8.1822524E-005
 3.1203928E+001, 5.5620965E+000, 1.9071538E+001,-4.3287664E+001, 1.7645660E+001,-1.3603733E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7149219E-001,-1.1444075E+000, 3.8101593E-004
 3.1803518E+001, 1.3661642E+001, 1.8025522E+001,-5.0925949E+001, 1.8086112E+001,-1.6095612E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8589306E-001,-1.3136286E+000, 8.6148897E-004
 3.2406303E+001, 2.3393854E+001, 1.6893087E+001,-6.0136659E+001, 1.8407234E+001,-2.1257289E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4891515E-001,-1.6550573E+000, 1.2309940E-003
 3.3000927E+001, 1.8003036E+001, 2.1501005E+001,-6.0233884E+001, 1.8647309E+001,-3.4731181E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.3384597E-002,-2.4298457E+000, 1.1222921E-003
 3.3601505E+001, 2.6796463E+001, 2.0765030E+001,-6.9320245E+001, 1.9359295E+001,-3.5838283E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3755326E-001,-2.7578397E+000, 1.6242654E-003
 3.4201176E+001, 2.6060762E+001, 2.3973714E+001,-7.1745691E+001, 1.9170103E+001,-5.1895712E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.4553880E-002,-3.0600694E+000, 1.3820738E-003
 3.4805443E+001, 3.8567305E+001, 2.1827436E+001,-8.2778468E+001, 1.9917102E+001,-4.8202943E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.8801989E-001,-2.9486541E+000, 2.0882618E-003
 3.5403290E+001, 3.6295630E+001, 2.5670306E+001,-8.5541476E+001, 2.0279065E+001,-5.0182286E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.3545640E-002,-3.7982987E+000, 2.2835552E-003
 3.6004532E+001, 4.5697653E+001, 2.5472850E+001,-9.5344127E+001, 2.1025018E+001,-5.2178398E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4873739E-001,-3.6703908E+000, 2.4107255E-003
 3.6601967E+001, 5.0191648E+001, 2.6437318E+001,-1.0180805E+002, 2.1407364E+001,-5.3717385E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.3023343E-001,-4.3088915E+000, 2.7979884E-003
 3.7203419E+001, 5.9707008E+001, 2.6413047E+001,-1.1241585E+002, 2.2087172E+001,-4.5595791E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.4035243E-001,-4.6645777E+000, 3.3605090E-003
 3.7804661E+001, 5.5522895E+001, 3.2165374E+001,-1.1525446E+002, 2.2281430E+001,-4.8582494E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4361354E-002,-5.7705855E+000, 3.2182500E-003
