s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.3012606E-001, 5.6368924E-006,-2.6223453E-009,-4.5534843E-004,-4.9388328E-009,-1.0990596E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.2607782E-005,-4.4973009E-004, 3.9182054E-010
 1.2252451E+000, 7.0020068E-006,-4.8619917E-008,-4.5601237E-004,-1.1293781E-008,-9.6637053E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.3258565E-005,-4.4916692E-004, 3.9176479E-010
 1.8203641E+000, 7.0140783E-006,-9.7828774E-008,-4.5538247E-004,-1.1307449E-008,-2.4088417E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.3248555E-005,-4.4871841E-004, 3.9171068E-010
 2.4154832E+000, 7.0163286E-006,-1.4652476E-007,-4.5477280E-004,-1.0298463E-008,-3.0868307E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.3239061E-005,-4.4822198E-004, 3.9165662E-010
 3.0106022E+000, 7.0159658E-006,-1.9520581E-007,-4.5418267E-004, 1.9127180E-009,-6.2388855E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.3229694E-005,-4.4798389E-004, 3.9160261E-010
 3.6057212E+000, 7.0145711E-006,-2.4298049E-007,-4.5359787E-004, 1.8952864E-008,-1.1700059E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.3220142E-005,-4.4797733E-004, 3.9154864E-010
 4.2008405E+000, 7.0149899E-006,-2.9030310E-007,-4.5300486E-004, 3.4243630E-008,-2.0084065E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.3210821E-005,-4.4825433E-004, 3.9149473E-010
 4.8309665E+000, 7.0151199E-006,-3.3874716E-007,-4.5236734E-004, 4.3204243E-008,-2.9225568E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.3200738E-005,-4.4857032E-004, 3.9143927E-010
 5.4260855E+000, 7.0121736E-006,-3.8682009E-007,-4.5167960E-004, 4.8285591E-008,-4.0816845E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.3190338E-005,-4.4908765E-004, 3.9138386E-010
 6.0212045E+000, 7.0112320E-006,-4.3262194E-007,-4.5095219E-004, 4.8469068E-008,-5.4094172E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.3179991E-005,-4.4973453E-004, 3.9133009E-010
 6.6163235E+000, 7.0110933E-006,-4.7784734E-007,-4.5015998E-004, 4.8947673E-008,-6.9705591E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.3169107E-005,-4.5054835E-004, 3.9127636E-010
 7.2114425E+000, 7.0114121E-006,-5.2288904E-007,-4.4928618E-004, 5.5457366E-008,-5.6873146E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.3158040E-005,-4.4842951E-004, 3.9122269E-010
 7.8065615E+000, 7.0097171E-006,-5.6678687E-007,-4.4833991E-004, 7.0240806E-008,-3.6684381E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.3146628E-005,-4.4549518E-004, 3.9116906E-010
 8.4016809E+000, 7.0076716E-006,-6.0993537E-007,-4.4733265E-004, 9.5674865E-008,-3.9740615E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.3134458E-005,-4.4481330E-004, 3.9111549E-010
 9.0318069E+000, 7.0080165E-006,-6.5373145E-007,-4.4622573E-004, 9.6879020E-008,-5.0245862E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.3121005E-005,-4.4479916E-004, 3.9106040E-010
 9.6269255E+000, 7.0075475E-006,-6.9679443E-007,-4.4507024E-004, 1.0551014E-007,-6.2710364E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.3106665E-005,-4.4492501E-004, 3.9100537E-010
 1.0222045E+001, 7.0063735E-006, 1.9012930E-004,-1.1254766E-002, 1.0594374E-002,-7.6482832E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.3091434E-005,-4.7090486E-004, 3.9095198E-010
 1.0817163E+001, 7.0049837E-006, 6.8135558E-003,-1.8716639E-001, 1.7937155E-001,-9.0472493E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.0201797E-004,-9.8332725E-004, 3.9090471E-010
 1.1412283E+001, 7.0039389E-006, 2.3727221E-002,-4.8206163E-001, 4.5579184E-001,-1.0553252E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.3093901E-004,-2.5461176E-003, 3.9089428E-010
 1.2007401E+001, 7.0051697E-006, 4.7380192E-002,-8.0569946E-001, 7.5074440E-001,-1.2419976E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3792167E-003,-7.5802790E-003, 3.9094966E-010
 1.2602521E+001, 7.0076556E-006, 7.9097666E-002,-1.1334220E+000, 1.0393901E+000,-1.4646837E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3558608E-003,-1.4941880E-002, 3.9109760E-010
 1.3232647E+001, 7.0135067E-006, 1.2156472E-001,-1.4843890E+000, 1.3485529E+000,-1.6284519E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.8751074E-006,-1.4280687E-002, 3.9138408E-010
 1.3827765E+001, 7.0214702E-006, 1.7738440E-001,-1.9898174E+000, 1.7934956E+000,-8.9361871E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.3940163E-003,-1.8939264E-002, 3.9185536E-010
 1.4422885E+001, 7.0313226E-006, 2.4609506E-001,-2.6115965E+000, 2.3381250E+000,-6.7988863E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.3603286E-003,-2.7376221E-002, 3.9258416E-010
 1.5018003E+001, 7.0508436E-006, 3.3053529E-001,-3.1644607E+000, 2.7946965E+000,-5.9410180E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.6557321E-003,-3.9227739E-002, 3.9369077E-010
 1.5613123E+001, 7.0690029E-006, 4.3456260E-001,-3.6562078E+000, 3.1771365E+000,-5.1926986E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.1940930E-004,-4.4506810E-002, 3.9533565E-010
 1.6200813E+001, 7.1795374E-006, 5.6790142E-001,-4.2479894E+000, 3.6509742E+000,-8.5806101E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.6958367E-003,-2.9115221E-002, 3.9840960E-010
 1.6807207E+001, 7.2068085E-006, 7.3604739E-001,-4.8052318E+000, 4.0431998E+000,-4.6353455E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9403699E-003,-2.6023681E-002, 4.0461092E-010
 1.7412832E+001, 7.2746271E-006, 9.1994891E-001,-5.5568274E+000, 4.6009205E+000,-1.5175006E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.4472849E-003,-3.6102408E-002, 4.1315647E-010
 1.8016245E+001, 7.4997357E-006, 1.1353787E+000,-6.4002114E+000, 5.2217982E+000,-3.0884595E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0258955E-002,-4.3335832E-002, 4.2514986E-010
 1.8611732E+001, 7.7367561E-006, 1.3864936E+000,-7.1373669E+000, 5.6983215E+000,-5.0535271E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.3279059E-003,-5.3049407E-002, 4.4296657E-010
 1.9208447E+001, 8.2738648E-006, 1.6713675E+000,-7.8779642E+000, 6.1549368E+000,-9.5658158E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.8115994E-003,-5.2608303E-002, 4.7703241E-010
 1.9804955E+001, 9.1869527E-006, 1.9991957E+000,-8.7371200E+000, 6.6596488E+000,-1.5695445E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.5180680E-003,-7.9835834E-002, 5.3817588E-010
 2.0410030E+001, 1.1161895E-005, 2.3733926E+000,-9.6276463E+000, 7.1588911E+000,-3.4790932E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1960275E-002,-9.8830572E-002, 6.6677172E-010
 2.1001646E+001, 1.5185131E-005, 2.7994893E+000,-1.0588629E+001, 7.5961794E+000,-5.3129476E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3441989E-002,-1.9825777E-001, 9.2857215E-010
 2.1603027E+001, 2.4403385E-005, 3.2799964E+000,-1.1631843E+001, 8.1707110E+000,-5.0630284E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3190493E-003,-1.8617392E-001, 1.5328808E-009
 2.2206003E+001, 4.7508190E-005, 3.8228457E+000,-1.2821305E+001, 8.8480504E+000,-2.3585267E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0316127E-003,-1.5272013E-001, 3.0244654E-009
 2.2806990E+001, 1.0865418E-004, 4.4300371E+000,-1.4031483E+001, 9.4669597E+000,-9.8362057E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4847079E-003,-1.3536167E-001, 7.0689234E-009
 2.3409801E+001, 2.6967803E-004, 5.0985376E+000,-1.5267069E+001, 9.9504732E+000,-6.8131063E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.9795743E-003,-2.1846985E-001, 1.7282055E-008
 2.4012615E+001, 6.1129354E-004, 5.8420639E+000,-1.6601278E+001, 1.0504647E+001,-5.2287063E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1578149E-002,-2.5447856E-001, 3.9016920E-008
 2.4608877E+001, 1.3517844E-003, 6.6651933E+000,-1.8159772E+001, 1.1162816E+001,-7.4532470E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.6214017E-004,-3.3115641E-001, 8.4589929E-008
 2.5211878E+001, 2.7022433E-003, 7.5695320E+000,-1.9595301E+001, 1.1597218E+001,-1.7361818E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.4465611E-003,-4.2758533E-001, 1.6808100E-007
 2.5812346E+001, 4.9046689E-003, 8.5624004E+000,-2.1311278E+001, 1.2201057E+001,-3.9917662E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3337340E-002,-5.4690791E-001, 3.0151647E-007
 2.6406200E+001, 8.8506253E-003, 9.6166582E+000,-2.3020499E+001, 1.2760507E+001,-6.1706004E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6182963E-002,-6.4065451E-001, 5.3736541E-007
 2.7000057E+001, 1.4348783E-002, 1.0749873E+001,-2.4874165E+001, 1.3324171E+001,-1.2476899E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1217193E-002,-7.9824882E-001, 8.7185291E-007
 2.7610033E+001, 2.5122314E-002, 1.2025783E+001,-2.6783665E+001, 1.3912842E+001,-2.1297227E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.3545502E-002,-8.4121495E-001, 1.5440894E-006
 2.8200899E+001, 5.2124999E-002, 1.3326786E+001,-2.9004317E+001, 1.4701287E+001,-3.2473234E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.8538256E-003,-9.5659195E-001, 3.3048221E-006
 2.8800177E+001, 1.8972027E-001, 1.4665325E+001,-3.0867067E+001, 1.4873868E+001,-5.7986124E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.0184685E-002,-1.1961401E+000, 1.3315846E-005
 2.9409124E+001, 1.1583762E+000, 1.5756002E+001,-3.3284099E+001, 1.5197244E+001,-6.5670748E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.6205670E-002,-1.2381473E+000, 8.0715649E-005
 3.0004889E+001, 3.5599467E+000, 1.6463125E+001,-3.7451283E+001, 1.6123731E+001,-5.9934935E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6991008E-002,-1.3644155E+000, 2.1798804E-004
 3.0600653E+001, 5.7403659E+000, 1.7377742E+001,-4.1187379E+001, 1.6488331E+001,-7.2456936E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.9868044E-002,-1.6533972E+000, 3.2094844E-004
 3.1207184E+001, 5.8760124E+000, 1.9428401E+001,-4.3833496E+001, 1.6735677E+001,-1.0351498E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.0343286E-002,-1.8969200E+000, 3.3973398E-004
 3.1800425E+001, 6.9016880E+000, 2.1030310E+001,-4.7410046E+001, 1.7635218E+001,-7.0308687E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.7588087E-002,-1.9131381E+000, 3.9893636E-004
 3.2406433E+001, 9.0788004E+000, 2.2181559E+001,-5.1307379E+001, 1.7964359E+001,-7.0303354E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.0831749E-002,-2.1529645E+000, 5.1272030E-004
 3.3007603E+001, 9.3667714E+000, 2.4566614E+001,-5.4999421E+001, 1.8845301E+001,-9.4609558E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3158017E-002,-2.3153444E+000, 5.1207560E-004
 3.3603836E+001, 1.0838453E+001, 2.6729175E+001,-5.9389427E+001, 1.9401878E+001,-1.2230855E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.4691335E-002,-2.5422297E+000, 6.0683211E-004
 3.4200855E+001, 1.1368660E+001, 2.9349537E+001,-6.3096708E+001, 1.9864866E+001,-1.4837735E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.8803113E-002,-2.6620219E+000, 6.4072551E-004
 3.4802139E+001, 1.0593950E+001, 3.2364375E+001,-6.6457739E+001, 2.0788611E+001,-1.6295742E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.8524542E-002,-2.8737605E+000, 6.1847979E-004
 3.5400967E+001, 1.1154676E+001, 3.5137326E+001,-7.0334736E+001, 2.1329790E+001,-1.3014928E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3303335E-001,-2.8430934E+000, 6.0574668E-004
 3.6004253E+001, 1.1626680E+001, 3.7965599E+001,-7.4129890E+001, 2.1528986E+001,-1.1990897E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.6857577E-002,-3.1285344E+000, 6.3951500E-004
 3.6604767E+001, 1.2304199E+001, 4.0788624E+001,-7.8502709E+001, 2.1734991E+001,-1.5865707E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0579363E-002,-3.8335530E+000, 6.9990958E-004
 3.7205627E+001, 1.3033158E+001, 4.3952207E+001,-8.3065483E+001, 2.2140958E+001,-1.6907571E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.1460553E-002,-4.1082358E+000, 7.2321877E-004
 3.7804371E+001, 1.3898260E+001, 4.7457416E+001,-8.7908936E+001, 2.2436740E+001,-1.7059058E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7734258E-001,-4.2871112E+000, 7.6978539E-004
