s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.3012606E-001, 5.2980998E-006,-3.5537939E-009,-3.1194367E-004,-4.9115283E-009,-7.5035887E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.9520005E-005,-3.0666154E-004, 3.6842138E-010
 1.2252451E+000, 6.5801101E-006,-4.0684253E-008,-3.1265320E-004,-1.1724932E-008,-6.0676918E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3146056E-005,-3.0618617E-004, 3.6837634E-010
 1.8203641E+000, 6.5953947E-006,-8.0315356E-008,-3.1214939E-004,-1.1742087E-008,-1.5649855E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3139889E-005,-3.0580256E-004, 3.6833262E-010
 2.4154832E+000, 6.5969701E-006,-1.1950105E-007,-3.1166134E-004,-9.9035869E-009,-3.9836278E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3134135E-005,-3.0559214E-004, 3.6828895E-010
 3.0106022E+000, 6.5959967E-006,-1.5864502E-007,-3.1119568E-004, 2.7383963E-009,-4.8121634E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3128427E-005,-3.0523680E-004, 3.6824532E-010
 3.6057212E+000, 6.5967860E-006,-1.9705182E-007,-3.1074417E-004, 1.7166817E-008,-7.3983023E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3122634E-005,-3.0506710E-004, 3.6820174E-010
 4.2008405E+000, 6.5965333E-006,-2.3509123E-007,-3.1029428E-004, 3.1355508E-008,-1.2383384E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3116970E-005,-3.0513982E-004, 3.6815819E-010
 4.8309665E+000, 6.5963027E-006,-2.7403307E-007,-3.0982386E-004, 4.1743145E-008,-1.9257038E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3110935E-005,-3.0538555E-004, 3.6811341E-010
 5.4260855E+000, 6.5942303E-006,-3.1270009E-007,-3.0933550E-004, 4.7211455E-008,-2.7367840E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3104631E-005,-3.0574354E-004, 3.6806866E-010
 6.0212045E+000, 6.5944024E-006,-3.4958943E-007,-3.0883929E-004, 4.8221954E-008,-3.6350461E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3098522E-005,-3.0618130E-004, 3.6802524E-010
 6.6163235E+000, 6.5939018E-006,-3.8607569E-007,-3.0830826E-004, 4.7811180E-008,-4.6656637E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3092051E-005,-3.0671829E-004, 3.6798186E-010
 7.2114425E+000, 6.5924757E-006,-4.2248857E-007,-3.0774101E-004, 5.2852032E-008,-5.8346637E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3085380E-005,-3.0735284E-004, 3.6793852E-010
 7.8065615E+000, 6.5923975E-006,-4.5809026E-007,-3.0713698E-004, 6.5537628E-008,-6.2097642E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3078701E-005,-3.0714690E-004, 3.6789522E-010
 8.4016809E+000, 6.5910418E-006,-4.9319108E-007,-3.0647798E-004, 9.0194258E-008,-4.4793760E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3071923E-005,-3.0476932E-004, 3.6785196E-010
 9.0318069E+000, 6.5913723E-006,-5.2891346E-007,-3.0573874E-004, 1.0050352E-007,-4.0207449E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3064694E-005,-3.0359652E-004, 3.6780748E-010
 9.6269255E+000, 6.5893510E-006,-5.6413588E-007,-3.0494915E-004, 1.0676901E-007,-4.0657251E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3056888E-005,-3.0288289E-004, 3.6776305E-010
 1.0222045E+001, 6.5909079E-006, 1.9040723E-004,-1.1115153E-002, 1.0594394E-002,-4.9003081E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3049384E-005,-3.2866172E-004, 3.6771995E-010
 1.0817163E+001, 6.5891189E-006, 6.8185521E-003,-1.8703189E-001, 1.7937171E-001,-5.8452713E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.2205317E-004,-8.4088315E-004, 3.6768359E-010
 1.1412283E+001, 6.5892070E-006, 2.3744306E-002,-4.8193962E-001, 4.5579214E-001,-6.7933182E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.5045695E-004,-2.4033745E-003, 3.6768785E-010
 1.2007401E+001, 6.5903620E-006, 4.7414247E-002,-8.0559447E-001, 7.5074351E-001,-7.9085386E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3997553E-003,-7.4380352E-003, 3.6776478E-010
 1.2602521E+001, 6.5922973E-006, 7.9154609E-002,-1.1333396E+000, 1.0393839E+000,-9.1501797E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3766411E-003,-1.4803633E-002, 3.6794415E-010
 1.3232647E+001, 6.5985699E-006, 1.2165253E-001,-1.4843472E+000, 1.3485502E+000,-1.0431223E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8696962E-005,-1.4148329E-002, 3.6827788E-010
 1.3827765E+001, 6.6081606E-006, 1.7751292E-001,-1.9898570E+000, 1.7934102E+000,-1.1902533E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4118904E-003,-1.8939097E-002, 3.6881730E-010
 1.4422885E+001, 6.6207214E-006, 2.4627104E-001,-2.6117341E+000, 2.3377926E+000,-1.3486325E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.3727006E-003,-2.7677348E-002, 3.6964007E-010
 1.5018003E+001, 6.6396147E-006, 3.3077596E-001,-3.1646225E+000, 2.7944866E+000,-1.4881310E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.6829375E-003,-3.9368153E-002, 3.7089909E-010
 1.5613123E+001, 6.6686637E-006, 4.3487902E-001,-3.6569726E+000, 3.1769477E+000,-1.5428382E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.4895342E-004,-4.5154632E-002, 3.7279845E-010
 1.6205408E+001, 6.7769994E-006, 5.6850579E-001,-4.2531648E+000, 3.6533674E+000,-8.9817352E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.6961059E-003,-3.1293880E-002, 3.7647087E-010
 1.6800613E+001, 6.8357598E-006, 7.3678663E-001,-4.8079976E+000, 4.0425950E+000,-3.7371120E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8670091E-003,-2.8646527E-002, 3.8408386E-010
 1.7407291E+001, 6.9344132E-006, 9.1878702E-001,-5.5496110E+000, 4.5906388E+000,-1.2293462E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.2837180E-003,-4.0301119E-002, 3.9488967E-010
 1.8017914E+001, 7.2205853E-006, 1.1337484E+000,-6.4006375E+000, 5.2233782E+000,-2.0091724E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0402256E-002,-4.3704666E-002, 4.1096504E-010
 1.8617821E+001, 7.5884276E-006, 1.3871305E+000,-7.1441740E+000, 5.6999158E+000,-4.1886535E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.1245999E-003,-5.7539064E-002, 4.3607198E-010
 1.9216843E+001, 8.3977474E-006, 1.6767305E+000,-7.8955180E+000, 6.1612041E+000,-7.9427692E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.6737720E-003,-5.8369192E-002, 4.8905986E-010
 1.9802019E+001, 9.9826244E-006, 2.0006659E+000,-8.7315425E+000, 6.6386590E+000,-2.1721698E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.3298218E-003,-9.4379782E-002, 5.9193904E-010
 2.0404928E+001, 1.3521429E-005, 2.3776226E+000,-9.6224174E+000, 7.1212399E+000,-3.3253301E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0538437E-002,-1.2686669E-001, 8.2221411E-010
 2.1007835E+001, 2.1551322E-005, 2.8018185E+000,-1.0611570E+001, 7.5987741E+000,-4.2091775E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5650138E-002,-2.1516500E-001, 1.3382876E-009
 2.1610323E+001, 4.1072305E-005, 3.2833777E+000,-1.1676123E+001, 8.2064816E+000,-4.1116133E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.1730902E-004,-1.9033422E-001, 2.6248451E-009
 2.2200687E+001, 8.8695974E-005, 3.8273365E+000,-1.2808866E+001, 8.8360582E+000,-1.8015680E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.4766053E-003,-1.4718375E-001, 5.6670216E-009
 2.2812880E+001, 2.0920750E-004, 4.4309260E+000,-1.4132022E+001, 9.5220732E+000,-7.2553846E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.5806188E-003,-1.7953872E-001, 1.3543659E-008
 2.3409588E+001, 5.2239849E-004, 5.1046141E+000,-1.5413185E+001, 1.0054265E+001,-6.2183987E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.4781162E-003,-2.5440511E-001, 3.3881055E-008
 2.4007202E+001, 1.2415737E-003, 5.8509513E+000,-1.6815896E+001, 1.0692580E+001,-4.7272484E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.8756790E-003,-2.7159528E-001, 7.9226605E-008
 2.4609575E+001, 2.6290863E-003, 6.6572658E+000,-1.8148791E+001, 1.1135543E+001,-1.0887774E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8163761E-002,-3.5444194E-001, 1.6536161E-007
 2.5205648E+001, 5.1499663E-003, 7.5581599E+000,-1.9689333E+001, 1.1647955E+001,-2.1262266E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.7471886E-003,-4.8019447E-001, 3.1586473E-007
 2.5801260E+001, 9.4482635E-003, 8.5396955E+000,-2.1291376E+001, 1.2183425E+001,-3.7469433E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2897440E-002,-5.6255428E-001, 5.8135761E-007
 2.6410717E+001, 1.7060525E-002, 9.6000869E+000,-2.2905422E+001, 1.2664699E+001,-6.6235763E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6205804E-002,-6.3019940E-001, 1.0453497E-006
 2.7003523E+001, 3.1192454E-002, 1.0744850E+001,-2.4991373E+001, 1.3560350E+001,-1.2795601E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.9100367E-003,-6.6777564E-001, 1.9334970E-006
 2.7607306E+001, 7.5536329E-002, 1.1977122E+001,-2.6765707E+001, 1.4007628E+001,-2.2864713E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7487227E-002,-7.2828605E-001, 4.9921716E-006
 2.8200109E+001, 3.2845045E-001, 1.3135489E+001,-2.8897349E+001, 1.4683940E+001,-2.5906746E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0387827E-002,-7.7537630E-001, 2.3873128E-005
 2.8809725E+001, 1.4111528E+000, 1.4105942E+001,-3.1561807E+001, 1.5242557E+001,-3.5246330E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.8301793E-002,-8.3740186E-001, 9.2070511E-005
 2.9409782E+001, 3.5643356E+000, 1.4752538E+001,-3.5185893E+001, 1.6039282E+001,-4.4997111E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.9817704E-002,-8.7473401E-001, 2.1783525E-004
 3.0003326E+001, 6.4989638E+000, 1.5395920E+001,-3.9486124E+001, 1.6584366E+001,-5.0216665E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.1435456E-002,-1.0570914E+000, 3.7489424E-004
 3.0602964E+001, 7.9669554E+000, 1.6702362E+001,-4.3069611E+001, 1.7182841E+001,-6.1536879E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.0855490E-002,-1.2789896E+000, 4.5485486E-004
 3.1202604E+001, 9.5287559E+000, 1.8072013E+001,-4.6221967E+001, 1.7144400E+001,-1.2433599E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0287819E-001,-1.6011345E+000, 5.4276514E-004
 3.1807308E+001, 9.1687108E+000, 2.0291833E+001,-4.9182178E+001, 1.8024805E+001,-1.3396798E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1033549E-002,-1.8307965E+000, 4.9133951E-004
 3.2400234E+001, 9.0862673E+000, 2.2660068E+001,-5.1895802E+001, 1.8561079E+001,-9.8020090E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1941273E-001,-1.6864077E+000, 5.1649856E-004
 3.3000137E+001, 9.3775009E+000, 2.4898165E+001,-5.5304508E+001, 1.8998141E+001,-1.2170290E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.7902794E-002,-2.1524049E+000, 5.1895269E-004
 3.3605320E+001, 9.1038251E+000, 2.7265652E+001,-5.8141413E+001, 1.9633677E+001,-1.2371910E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9648172E-002,-2.2619787E+000, 5.2523542E-004
 3.4204693E+001, 1.0016394E+001, 2.9574313E+001,-6.1875360E+001, 1.9720128E+001,-1.4967123E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6033766E-002,-2.7141969E+000, 5.5954984E-004
 3.4803013E+001, 1.0596403E+001, 3.2088598E+001,-6.5819941E+001, 2.0618498E+001,-1.2307062E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.3393552E-002,-2.6395127E+000, 5.8364284E-004
 3.5403614E+001, 1.2880509E+001, 3.4193517E+001,-7.1095685E+001, 2.1463929E+001,-1.1806154E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2841848E-001,-2.6757910E+000, 7.3573388E-004
 3.6001068E+001, 1.3826751E+001, 3.7084638E+001,-7.5454493E+001, 2.2004834E+001,-1.2087532E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2893360E-001,-2.6591451E+000, 7.6631658E-004
 3.6602264E+001, 1.4096906E+001, 4.0412503E+001,-7.9936755E+001, 2.2552531E+001,-1.3012293E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5167925E-002,-3.0049378E+000, 7.8780730E-004
 3.7202782E+001, 1.3474392E+001, 4.4203083E+001,-8.4073062E+001, 2.3326817E+001,-1.1885598E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0687488E-002,-3.1876263E+000, 7.6649856E-004
 3.7805008E+001, 1.4718806E+001, 4.7584334E+001,-8.9525582E+001, 2.4045994E+001,-1.0932905E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.7461911E-002,-3.2857770E+000, 8.0674138E-004
