s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.3012606E-001, 1.3921765E-005, 3.6583598E-009,-1.0105945E-003,-5.1507441E-009,-2.2376796E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6088788E-004,-9.9669661E-004, 9.6095525E-010
 1.2252451E+000, 1.7211529E-005,-6.6259082E-008,-1.0126703E-003,-1.1133489E-008,-1.6542513E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4017390E-004,-9.9570157E-004, 9.6082452E-010
 1.8203641E+000, 1.7220968E-005,-1.4072565E-007,-1.0115803E-003,-1.3014062E-008,-2.9530892E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4015251E-004,-9.9480841E-004, 9.6069761E-010
 2.4154832E+000, 1.7219815E-005,-2.1446663E-007,-1.0105315E-003,-7.9913146E-009,-7.2115553E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4013231E-004,-9.9425529E-004, 9.6057079E-010
 3.0106022E+000, 1.7217820E-005,-2.8814750E-007,-1.0094807E-003, 1.7394994E-009,-1.5860679E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4011220E-004,-9.9413539E-004, 9.6044405E-010
 3.6057212E+000, 1.7216957E-005,-3.6046243E-007,-1.0083792E-003, 2.1906931E-008,-2.8458292E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4009156E-004,-9.9434665E-004, 9.6031740E-010
 4.2008405E+000, 1.7214303E-005,-4.3195850E-007,-1.0071442E-003, 3.3915602E-008,-4.1480035E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4007107E-004,-9.9447592E-004, 9.6019083E-010
 4.8309665E+000, 1.7211065E-005,-5.0488937E-007,-1.0056910E-003, 3.9996600E-008,-4.6296450E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4004796E-004,-9.9357452E-004, 9.6006063E-010
 5.4260855E+000, 1.7208367E-005,-5.7681910E-007,-1.0040423E-003, 5.1362349E-008,-3.6501067E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4002387E-004,-9.9100947E-004, 9.5993053E-010
 6.0212045E+000, 1.7209674E-005,-6.4491437E-007,-1.0022793E-003, 5.0040872E-008,-3.3928363E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3999847E-004,-9.8905737E-004, 9.5980424E-010
 6.6163235E+000, 1.7204475E-005,-7.1165702E-007,-1.0003917E-003, 4.7276961E-008,-4.3153912E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3997003E-004,-9.8816701E-004, 9.5967805E-010
 7.2114425E+000, 1.7204198E-005,-7.7761230E-007,-9.9842696E-004, 5.5269903E-008,-5.7022684E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3993541E-004,-9.8764738E-004, 9.5955196E-010
 7.8065615E+000, 1.7200608E-005,-8.4146641E-007,-9.9640432E-004, 7.8057686E-008,-7.6583778E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3989275E-004,-9.8762549E-004, 9.5942598E-010
 8.4016809E+000, 1.7197435E-005,-9.0380230E-007,-9.9433692E-004, 9.4170772E-008,-7.5973125E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3983794E-004,-9.8554643E-004, 9.5930009E-010
 9.0318069E+000, 1.7197312E-005,-9.6667549E-007,-9.9218246E-004, 9.8988368E-008,-9.0711280E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3976125E-004,-9.8492396E-004, 9.5917061E-010
 9.6269255E+000, 1.7194657E-005,-1.0280699E-006,-9.9002534E-004, 1.0726187E-007,-5.6548127E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3965574E-004,-9.7940630E-004, 9.5904123E-010
 1.0222045E+001, 1.7193345E-005, 1.8893911E-004,-1.1797962E-002, 1.0594344E-002,-4.6327694E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3951095E-004,-1.0021190E-003, 9.5891569E-010
 1.0817163E+001, 1.7189085E-005, 6.7834435E-003,-1.8768001E-001, 1.7936996E-001,-5.9961747E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2577276E-004,-1.5154088E-003, 9.5879942E-010
 1.1412283E+001, 1.7188656E-005, 2.3623043E-002,-4.8250425E-001, 4.5579075E-001,-7.5640841E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.5543625E-004,-3.0808313E-003, 9.5873910E-010
 1.2007401E+001, 1.7190549E-005, 4.7172022E-002,-8.0604549E-001, 7.5074768E-001,-1.3445985E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3033930E-003,-8.1220466E-003, 9.5877862E-010
 1.2602521E+001, 1.7189816E-005, 7.8748776E-002,-1.1336427E+000, 1.0394120E+000,-1.8143825E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2808228E-003,-1.5482861E-002, 9.5895827E-010
 1.3232647E+001, 1.7201482E-005, 1.2102782E-001,-1.4844168E+000, 1.3485696E+000,-2.1251346E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.9259310E-005,-1.4823390E-002, 9.5934570E-010
 1.3827765E+001, 1.7212705E-005, 1.7659715E-001,-1.9893383E+000, 1.7936855E+000,-2.4832656E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.3250784E-003,-1.9063254E-002, 9.6001327E-010
 1.4422885E+001, 1.7223718E-005, 2.4501074E-001,-2.6101276E+000, 2.3385601E+000,-2.9428355E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.2859524E-003,-2.6568904E-002, 9.6108012E-010
 1.5018003E+001, 1.7251420E-005, 3.2907852E-001,-3.1628933E+000, 2.7953125E+000,-3.3808410E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.5675993E-003,-3.8518913E-002, 9.6269054E-010
 1.5613123E+001, 1.7287389E-005, 4.3263774E-001,-3.6510002E+000, 3.1757314E+000,-3.1364171E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.6416035E-004,-4.2645218E-002, 9.6506300E-010
 1.6216915E+001, 1.7528023E-005, 5.6777008E-001,-4.2414566E+000, 3.6581475E+000,-3.8450520E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.6887243E-003,-1.5559936E-002, 9.6941437E-010
 1.6806311E+001, 1.7533747E-005, 7.3455855E-001,-4.7883855E+000, 4.0441676E+000,-9.0415857E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5912586E-003,-9.7322497E-003, 9.7756408E-010
 1.7403009E+001, 1.7539652E-005, 9.1719565E-001,-5.5321644E+000, 4.5938143E+000,-2.2205553E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.4679290E-003,-2.1358960E-002, 9.8823620E-010
 1.8016079E+001, 1.7841962E-005, 1.1284565E+000,-6.3783591E+000, 5.2216010E+000,-6.3920963E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0374711E-002,-2.8922865E-002, 1.0028883E-009
 1.8603813E+001, 1.8103258E-005, 1.3770834E+000,-7.1043258E+000, 5.6932792E+000,-1.3457813E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.8544482E-003,-3.5290812E-002, 1.0238184E-009
 1.9214424E+001, 1.8704583E-005, 1.6607191E+000,-7.8270011E+000, 6.1312179E+000,-2.5934608E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.8826037E-003,-3.7638828E-002, 1.0604940E-009
 1.9807899E+001, 1.9658435E-005, 1.9947332E+000,-8.7093453E+000, 6.6548101E+000,-6.4774366E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.1453025E-003,-6.6259807E-002, 1.1204990E-009
 2.0403963E+001, 2.1365984E-005, 2.3654473E+000,-9.5873536E+000, 7.1815789E+000,-8.6638947E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0747513E-002,-4.8969892E-002, 1.2377370E-009
 2.1004589E+001, 2.5132165E-005, 2.7912498E+000,-1.0589213E+001, 7.6567963E+000,-1.0325652E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1599583E-002,-1.5146727E-001, 1.4673154E-009
 2.1605137E+001, 3.2373137E-005, 3.2695243E+000,-1.1683421E+001, 8.2718557E+000,-9.8187652E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1334399E-002,-1.5182772E-001, 1.9464491E-009
 2.2202614E+001, 4.9609559E-005, 3.7948232E+000,-1.2697082E+001, 8.7611824E+000,-6.6482166E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.1068613E-003,-1.4767533E-001, 3.0603297E-009
 2.2800545E+001, 9.1178160E-005, 4.3965529E+000,-1.4042263E+001, 9.5259187E+000,-2.9673678E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.3921852E-003,-1.2266729E-001, 5.7525419E-009
 2.3411020E+001, 1.8430327E-004, 5.0693742E+000,-1.5323322E+001, 1.0107668E+001,-1.2185848E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.7581154E-003,-1.4731349E-001, 1.1664240E-008
 2.4003187E+001, 3.9492627E-004, 5.8111961E+000,-1.6644722E+001, 1.0668051E+001,-7.6041238E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0644691E-002,-1.6584107E-001, 2.5318834E-008
 2.4605101E+001, 9.0263973E-004, 6.6314472E+000,-1.8151259E+001, 1.1172950E+001,-1.2671058E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.3259220E-003,-3.4722571E-001, 5.7625342E-008
 2.5210463E+001, 2.1288296E-003, 7.5469793E+000,-1.9471494E+001, 1.1422925E+001,-3.0665056E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6111220E-002,-5.0252756E-001, 1.3513402E-007
 2.5801733E+001, 4.4753559E-003, 8.5012260E+000,-2.0967677E+001, 1.1973138E+001,-4.1982381E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0704306E-002,-4.9303614E-001, 2.7907125E-007
 2.6404236E+001, 8.0109497E-003, 9.5753331E+000,-2.2855668E+001, 1.2689854E+001,-5.7448548E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.4283256E-004,-5.8821421E-001, 4.8361856E-007
 2.7006737E+001, 1.3370004E-002, 1.0726819E+001,-2.4770531E+001, 1.3420444E+001,-8.1514112E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5013034E-003,-6.1804911E-001, 8.2109312E-007
 2.7609240E+001, 2.2731607E-002, 1.1975165E+001,-2.6770715E+001, 1.4035180E+001,-1.3897502E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7035862E-002,-7.5153623E-001, 1.3747929E-006
 2.8203785E+001, 3.8566871E-002, 1.3328604E+001,-2.8743914E+001, 1.4497397E+001,-2.2561275E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.7956326E-002,-9.0190827E-001, 2.3597634E-006
 2.8804323E+001, 7.4748824E-002, 1.4795114E+001,-3.1094774E+001, 1.5187161E+001,-4.1850243E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8815349E-002,-1.0796003E+000, 4.7285170E-006
 2.9404863E+001, 2.1433340E-001, 1.6265001E+001,-3.3169014E+001, 1.5639000E+001,-6.2622413E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.1061307E-002,-1.1133019E+000, 1.5014500E-005
 3.0004080E+001, 1.3556477E+000, 1.7341234E+001,-3.6163050E+001, 1.6159668E+001,-9.8036953E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6883479E-002,-1.4045369E+000, 9.6633848E-005
 3.0604736E+001, 4.9376319E+000, 1.7637337E+001,-4.0707916E+001, 1.6846551E+001,-1.5020628E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8474785E-001,-1.4366024E+000, 3.1415837E-004
 3.1200996E+001, 1.0549224E+001, 1.7401389E+001,-4.6937526E+001, 1.7340519E+001,-1.8776780E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.6192584E-002,-1.8341624E+000, 5.8603934E-004
 3.1808477E+001, 9.8497464E+000, 1.9918786E+001,-4.9227670E+001, 1.7415980E+001,-2.6852921E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1716852E-001,-2.3116871E+000, 5.8406912E-004
 3.2406509E+001, 1.1493010E+001, 2.1712742E+001,-5.3368692E+001, 1.7939654E+001,-2.8219405E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.4787404E-002,-2.5054801E+000, 6.3071751E-004
 3.3005718E+001, 1.3306366E+001, 2.3419798E+001,-5.8071539E+001, 1.9049309E+001,-2.9046477E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.3348924E-002,-2.5865305E+000, 7.3759856E-004
 3.3605572E+001, 1.4812737E+001, 2.5390342E+001,-6.2026151E+001, 1.9400195E+001,-2.9256067E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0226899E-001,-2.7154374E+000, 8.4424257E-004
 3.4204826E+001, 1.4946588E+001, 2.7565439E+001,-6.5283747E+001, 1.9898163E+001,-2.7629654E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.3189246E-002,-3.1498539E+000, 8.6029676E-004
 3.4807167E+001, 1.5449962E+001, 3.0040436E+001,-6.8986936E+001, 2.0316765E+001,-2.5065187E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2498328E-002,-3.4304253E+000, 8.7667137E-004
 3.5400848E+001, 1.9430888E+001, 3.1518717E+001,-7.5025258E+001, 2.0134112E+001,-3.2467376E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5289683E-002,-4.2662144E+000, 1.0709929E-003
 3.6003365E+001, 1.9447303E+001, 3.5086465E+001,-7.9438243E+001, 2.1615864E+001,-2.0185940E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4800928E-001,-3.4904712E+000, 1.1014631E-003
 3.6605202E+001, 2.1518085E+001, 3.7485130E+001,-8.4800666E+001, 2.1794183E+001,-3.2772223E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.1963698E-002,-4.3309911E+000, 1.1788871E-003
 3.7203625E+001, 2.2101741E+001, 4.0885057E+001,-8.9432149E+001, 2.1982987E+001,-2.9103950E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2556762E-002,-4.7534023E+000, 1.2299965E-003
 3.7806091E+001, 2.2977545E+001, 4.4572470E+001,-9.4899798E+001, 2.3079818E+001,-2.3526461E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6785332E-001,-4.5052290E+000, 1.3395896E-003
