s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.3012606E-001, 6.3215990E-005, 8.1342632E-008,-5.3066611E-003,-5.0731061E-009,-3.0039766E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.4634715E-004,-5.2433988E-003, 4.3487933E-009
 1.2252451E+000, 7.7941125E-005,-8.5709923E-008,-5.3146742E-003,-1.1419629E-008,-3.3987520E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.3737401E-004,-5.2371701E-003, 4.3481612E-009
 1.8203641E+000, 7.7963639E-005,-2.6249900E-007,-5.3083415E-003,-1.3542954E-008,-8.9982627E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.3727036E-004,-5.2315537E-003, 4.3475475E-009
 2.4154832E+000, 7.7953973E-005,-4.3619439E-007,-5.3006081E-003,-6.7204667E-009,-5.6242537E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.3717173E-004,-5.2236595E-003, 4.3469341E-009
 3.0106022E+000, 7.7941247E-005,-6.0565083E-007,-5.2909934E-003, 1.6238241E-009,-7.8546582E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.3706112E-004,-5.2144417E-003, 4.3463212E-009
 3.6057212E+000, 7.7933958E-005,-7.6658938E-007,-5.2806464E-003, 1.5595623E-008,-1.4843700E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.3689612E-004,-5.2049478E-003, 4.3457086E-009
 4.2008405E+000, 7.7923443E-005,-9.1960922E-007,-5.2705031E-003, 3.1603401E-008,-6.4467744E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.3658167E-004,-5.1941123E-003, 4.3450965E-009
 4.8309665E+000, 7.7912923E-005,-1.0697332E-006,-5.2609633E-003, 3.9441306E-008,-1.0452168E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.3587846E-004,-5.1851259E-003, 4.3444668E-009
 5.4260855E+000, 7.7897815E-005,-1.2124494E-006,-5.2529059E-003, 5.0774562E-008,-1.6181949E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.3441825E-004,-5.1777880E-003, 4.3438376E-009
 6.0212045E+000, 7.7889438E-005,-1.3433902E-006,-5.2470302E-003, 5.4577857E-008,-2.4862803E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.3176443E-004,-5.1729158E-003, 4.3432267E-009
 6.6163235E+000, 7.7878143E-005,-1.4684103E-006,-5.2433118E-003, 7.4049069E-008,-4.0066573E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.2757621E-004,-5.1708347E-003, 4.3426161E-009
 7.2114425E+000, 7.7865599E-005,-1.5893140E-006,-5.2414725E-003, 8.6094800E-008,-1.4356764E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.2198124E-004,-5.1794669E-003, 4.3420059E-009
 7.8065615E+000, 7.7853598E-005,-1.7040081E-006,-5.2408300E-003, 9.4063939E-008,-4.7041300E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.1552737E-004,-5.2116277E-003, 4.3413960E-009
 8.4016809E+000, 7.7839816E-005,-1.8140483E-006,-5.2406010E-003, 1.0350791E-007,-7.9290663E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.0891941E-004,-5.2437624E-003, 4.3407864E-009
 9.0318069E+000, 7.7826667E-005,-1.9234545E-006,-5.2402133E-003, 1.1847721E-007,-1.0530239E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.0245430E-004,-5.2694940E-003, 4.3401592E-009
 9.6269255E+000, 7.7813057E-005,-2.0285801E-006,-5.2396280E-003, 1.1705516E-007,-1.3463866E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.9628098E-004,-5.2983652E-003, 4.3395323E-009
 1.0222045E+001, 7.7800383E-005, 1.8607821E-004,-1.6047141E-002, 1.0594150E-002,-1.6510292E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.9041918E-004,-5.3542159E-003, 4.3389237E-009
 1.0817163E+001, 7.7787825E-005, 6.7173308E-003,-1.9186642E-001, 1.7936007E-001,-2.0493401E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1951681E-004,-5.9161613E-003, 4.3383301E-009
 1.1412283E+001, 7.7778992E-005, 2.3395297E-002,-4.8654490E-001, 4.5578473E-001,-2.6581561E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1679955E-004,-7.5529096E-003, 4.3378269E-009
 1.2007401E+001, 7.7772348E-005, 4.6717728E-002,-8.0989013E-001, 7.5076468E-001,-3.3225446E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.6774975E-004,-1.2662210E-002, 4.3374849E-009
 1.2602521E+001, 7.7765856E-005, 7.7988871E-002,-1.1372435E+000, 1.0395240E+000,-3.8260359E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.5016529E-004,-2.0035518E-002, 4.3373682E-009
 1.3232647E+001, 7.7768905E-005, 1.1985605E-001,-1.4874628E+000, 1.3487256E+000,-4.2738163E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.9206828E-004,-1.9230835E-002, 4.3375730E-009
 1.3827765E+001, 7.7773931E-005, 1.7488901E-001,-1.9892661E+000, 1.7943949E+000,-4.0379960E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8222780E-003,-2.0308195E-002, 4.3382530E-009
 1.4422885E+001, 7.7795463E-005, 2.4264807E-001,-2.6065694E+000, 2.3380422E+000,-2.5161592E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.7017603E-003,-2.6052891E-002, 4.3396210E-009
 1.5018003E+001, 7.7829232E-005, 3.2592506E-001,-3.1568659E+000, 2.7944440E+000,-2.5274199E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.0904255E-003,-3.6671749E-002, 4.3418037E-009
 1.5601905E+001, 7.8069526E-005, 4.2743863E-001,-3.6312204E+000, 3.1737017E+000,-2.5133965E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2972400E-003,-3.0253374E-002, 4.3451349E-009
 1.6212742E+001, 7.8976798E-005, 5.6039292E-001,-4.1845529E+000, 3.6503339E+000,-2.4784434E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.2660163E-003, 2.6005066E-002, 4.3514770E-009
 1.6815739E+001, 7.8409645E-005, 7.2951713E-001,-4.7324781E+000, 4.0373201E+000,-1.9637228E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3328713E-003, 3.4241131E-002, 4.3625871E-009
 1.7410011E+001, 7.8176662E-005, 9.0825967E-001,-5.4917788E+000, 4.6109529E+000,-7.5179112E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0082199E-002, 2.6760158E-002, 4.3766207E-009
 1.8000578E+001, 7.8984411E-005, 1.1122132E+000,-6.2982835E+000, 5.2072870E+000,-4.4853701E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.5127173E-003, 1.6810358E-002, 4.3943469E-009
 1.8600761E+001, 7.9239785E-005, 1.3588859E+000,-7.0146755E+000, 5.6673645E+000,-1.2094323E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.8240212E-003,-4.4016242E-004, 4.4182660E-009
 1.9202328E+001, 8.0160234E-005, 1.6458047E+000,-7.6969293E+000, 6.1111506E+000,-2.3045310E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.9558746E-003, 3.7060845E-002, 4.4582191E-009
 1.9802874E+001, 8.0917942E-005, 1.9624598E+000,-8.5290533E+000, 6.6189906E+000,-2.5896165E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.3061288E-003, 2.6581829E-002, 4.5175102E-009
 2.0415911E+001, 8.2854931E-005, 2.3368792E+000,-9.5123285E+000, 7.2073482E+000,-2.9929915E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2646056E-002, 2.0518059E-003, 4.6116591E-009
 2.1004850E+001, 8.4515489E-005, 2.7596723E+000,-1.0479476E+001, 7.7376306E+000,-3.5412925E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5434661E-002,-1.7501328E-002, 4.7728567E-009
 2.1610151E+001, 8.8337235E-005, 3.2269586E+000,-1.1477824E+001, 8.2254520E+000,-4.4295225E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.7350049E-003,-6.9619906E-002, 5.0489891E-009
 2.2212568E+001, 9.7398403E-005, 3.7637149E+000,-1.2610845E+001, 8.8464165E+000,-3.8870639E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6521190E-003,-3.9487208E-002, 5.6023963E-009
 2.2814270E+001, 1.1594362E-004, 4.3656856E+000,-1.3847532E+001, 9.4922240E+000,-1.4435951E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7552338E-003,-3.9420753E-003, 6.7222801E-009
 2.3409515E+001, 1.5401000E-004, 5.0238704E+000,-1.4930612E+001, 9.9380794E+000,-7.1146422E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.9012786E-003, 2.4376900E-002, 9.2817947E-009
 2.4000948E+001, 2.5360028E-004, 5.7442987E+000,-1.6268729E+001, 1.0503451E+001,-3.9678164E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.7016262E-003,-2.4693628E-002, 1.5606684E-008
 2.4601936E+001, 4.8091244E-004, 6.5651958E+000,-1.7801794E+001, 1.1203175E+001,-2.6016227E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1058605E-004,-3.5543566E-002, 3.0214454E-008
 2.5204191E+001, 1.0015718E-003, 7.4584178E+000,-1.9354100E+001, 1.1836089E+001,-2.7249998E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3231243E-003,-6.1316584E-002, 6.3112087E-008
 2.5804352E+001, 2.1390754E-003, 8.4368654E+000,-2.0911738E+001, 1.2413870E+001,-3.1153384E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.0857527E-003,-6.1979492E-002, 1.3518958E-007
 2.6404512E+001, 4.5343098E-003, 9.4785133E+000,-2.2577681E+001, 1.2931975E+001,-4.2310162E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6214551E-002,-1.6688860E-001, 2.8324099E-007
 2.7004673E+001, 8.8540517E-003, 1.0624836E+001,-2.4295738E+001, 1.3379300E+001,-7.8183855E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9326814E-002,-2.9056623E-001, 5.3381218E-007
 2.7602644E+001, 1.5060780E-002, 1.1885944E+001,-2.6277236E+001, 1.4106398E+001,-1.1148788E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7402002E-002,-2.8098224E-001, 9.2645455E-007
 2.8204113E+001, 2.5388647E-002, 1.3258530E+001,-2.8444790E+001, 1.4664329E+001,-3.2177993E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.8232732E-002,-5.2871990E-001, 1.5306890E-006
 2.8810703E+001, 4.1598919E-002, 1.4735500E+001,-3.0575205E+001, 1.5026977E+001,-4.6463766E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0652892E-002,-8.1759294E-001, 2.4898767E-006
 2.9405958E+001, 6.9158398E-002, 1.6296680E+001,-3.2920399E+001, 1.5519434E+001,-9.0977427E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4159981E-002,-1.1261049E+000, 4.2357651E-006
 3.0006197E+001, 1.2833946E-001, 1.7946599E+001,-3.5130124E+001, 1.6152682E+001,-1.1573117E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.3768357E-002,-1.0182347E+000, 8.0348095E-006
 3.0607679E+001, 3.1288224E-001, 1.9592218E+001,-3.7686619E+001, 1.6661755E+001,-1.5451107E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.9556348E-002,-1.2742747E+000, 2.0729920E-005
 3.1209644E+001, 9.9855471E-001, 2.1095992E+001,-4.0852937E+001, 1.7376329E+001,-1.1741140E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.9119763E-002,-1.4994733E+000, 5.9704996E-005
 3.1809185E+001, 3.5717529E+000, 2.1982787E+001,-4.5196019E+001, 1.8280742E+001,-1.0721462E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1837046E-001,-1.4679527E+000, 2.6106058E-004
 3.2402004E+001, 1.3665311E+001, 2.0219236E+001,-5.4045837E+001, 1.8732498E+001,-1.8425806E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1982100E-001,-1.6130499E+000, 8.8953610E-004
 3.3002293E+001, 2.2347659E+001, 1.9156608E+001,-6.3099089E+001, 1.9536609E+001,-2.2655379E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9280849E-001,-2.2847671E+000, 1.2219355E-003
 3.3606819E+001, 1.5120988E+001, 2.4530539E+001,-6.2303965E+001, 1.9946100E+001,-3.1944972E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.5877861E-002,-3.0257873E+000, 8.4144181E-004
 3.4204914E+001, 2.0899833E+001, 2.5594269E+001,-6.9541195E+001, 2.0000004E+001,-4.8383596E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7528569E-001,-3.5309245E+000, 1.2431453E-003
 3.4805977E+001, 2.6718139E+001, 2.6018798E+001,-7.6911857E+001, 2.0482501E+001,-4.9831797E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0229448E-001,-4.1907367E+000, 1.4108952E-003
 3.5403809E+001, 2.6228697E+001, 2.9463448E+001,-8.0591651E+001, 2.1150509E+001,-3.7372993E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8866896E-001,-4.1227271E+000, 1.6125222E-003
 3.6002907E+001, 3.2719719E+001, 2.9726884E+001,-8.8192216E+001, 2.1087651E+001,-4.9838672E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7916726E-002,-5.1563481E+000, 1.7579861E-003
 3.6605682E+001, 4.0500713E+001, 3.0026315E+001,-9.7582651E+001, 2.1871760E+001,-4.3548443E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8783529E-001,-5.6193477E+000, 2.3918428E-003
 3.7203823E+001, 4.1332116E+001, 3.3595672E+001,-1.0297879E+002, 2.2159565E+001,-4.8607985E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4510492E-001,-6.3775139E+000, 2.3514688E-003
 3.7802029E+001, 5.1333841E+001, 3.3813437E+001,-1.1347105E+002, 2.2498401E+001,-6.4427885E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.7954132E-001,-6.4696523E+000, 2.7627160E-003
