s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.3012606E-001, 1.1367359E-006,-3.0080297E-009,-2.3550979E-004,-4.9886570E-009,-5.7248214E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.7841439E-005,-2.3438677E-004, 7.9424606E-011
 1.2252451E+000, 1.3987464E-006,-3.2727416E-008,-2.3535465E-004,-1.1685218E-008,-6.4452255E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2965302E-005,-2.3406477E-004, 7.9409254E-011
 1.8203641E+000, 1.4034937E-006,-6.4729079E-008,-2.3497002E-004,-1.2258078E-008,-1.2514693E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2958667E-005,-2.3376866E-004, 7.9394359E-011
 2.4154832E+000, 1.4095169E-006,-9.6421042E-008,-2.3459956E-004,-1.0484857E-008,-2.9985564E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2952457E-005,-2.3359680E-004, 7.9379482E-011
 3.0106022E+000, 1.4126850E-006,-1.2814759E-007,-2.3424057E-004, 2.8923960E-009,-4.4294447E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2946256E-005,-2.3339608E-004, 7.9364621E-011
 3.6057212E+000, 1.4137326E-006,-1.5927955E-007,-2.3388547E-004, 1.7007679E-008,-6.4577941E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2940025E-005,-2.3325979E-004, 7.9349777E-011
 4.2008405E+000, 1.4137524E-006,-1.9014160E-007,-2.3353138E-004, 3.1992001E-008,-9.0211634E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2933852E-005,-2.3317790E-004, 7.9334950E-011
 4.8309665E+000, 1.4151506E-006,-2.2176365E-007,-2.3316304E-004, 4.1724224E-008,-1.4046250E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2927421E-005,-2.3333255E-004, 7.9319704E-011
 5.4260855E+000, 1.4143563E-006,-2.5321888E-007,-2.3278242E-004, 4.5882014E-008,-2.0397524E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2920747E-005,-2.3361516E-004, 7.9304475E-011
 6.0212045E+000, 1.4154591E-006,-2.8324045E-007,-2.3240253E-004, 4.5663486E-008,-2.7383872E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2914323E-005,-2.3396303E-004, 7.9289698E-011
 6.6163235E+000, 1.4154523E-006,-3.1297822E-007,-2.3200873E-004, 4.8108355E-008,-3.5281482E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2907666E-005,-2.3438630E-004, 7.9274937E-011
 7.2114425E+000, 1.4148703E-006,-3.4273902E-007,-2.3159325E-004, 4.8393771E-008,-4.4087030E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2900956E-005,-2.3488143E-004, 7.9260193E-011
 7.8065615E+000, 1.4150208E-006,-3.7187285E-007,-2.3116342E-004, 6.8230523E-008,-5.3875707E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2894198E-005,-2.3543961E-004, 7.9245465E-011
 8.4016809E+000, 1.4155282E-006,-4.0067617E-007,-2.3070671E-004, 8.7834648E-008,-6.4622207E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2887319E-005,-2.3606624E-004, 7.9230755E-011
 9.0318069E+000, 1.4156284E-006,-4.3008960E-007,-2.3019982E-004, 1.0066731E-007,-5.9834812E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2880181E-005,-2.3509709E-004, 7.9215629E-011
 9.6269255E+000, 1.4142493E-006,-4.5921870E-007,-2.2964437E-004, 1.0596853E-007,-3.9870608E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2873062E-005,-2.3257043E-004, 7.9200522E-011
 1.0222045E+001, 1.4160569E-006, 1.9137870E-004,-1.1040921E-002, 1.0594396E-002,-4.2260438E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2865995E-005,-2.5795667E-004, 7.9185870E-011
 1.0817163E+001, 1.4155853E-006, 6.8488421E-003,-1.8698581E-001, 1.7937193E-001,-5.0390729E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.3223692E-004,-7.6866150E-004, 7.9172919E-011
 1.1412283E+001, 1.4133790E-006, 2.3849710E-002,-4.8196289E-001, 4.5579221E-001,-5.1869410E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.6064262E-004,-2.3247463E-003, 7.9170189E-011
 1.2007401E+001, 1.4147236E-006, 4.7625175E-002,-8.0571148E-001, 7.5074270E-001,-5.8633050E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4099444E-003,-7.3480558E-003, 7.9185699E-011
 1.2602521E+001, 1.4153575E-006, 7.9507904E-002,-1.1335767E+000, 1.0393802E+000,-6.5818876E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3865551E-003,-1.4693787E-002, 7.9226781E-011
 1.3232647E+001, 1.4179470E-006, 1.2219820E-001,-1.4847408E+000, 1.3485471E+000,-7.6614268E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.9499432E-005,-1.4001763E-002, 7.9305949E-011
 1.3827765E+001, 1.4183886E-006, 1.7831143E-001,-1.9905165E+000, 1.7933488E+000,-8.5048371E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4186003E-003,-1.8863393E-002, 7.9435127E-011
 1.4422885E+001, 1.4200927E-006, 2.4737813E-001,-2.6130473E+000, 2.3374427E+000,-9.4579857E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.3816205E-003,-2.8234552E-002, 7.9629755E-011
 1.5018003E+001, 1.4248314E-006, 3.3225692E-001,-3.1667355E+000, 2.7943800E+000,-1.0337193E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.6849838E-003,-4.0107535E-002, 7.9923871E-011
 1.5613123E+001, 1.4318112E-006, 4.3682390E-001,-3.6613095E+000, 3.1760932E+000,-1.1230213E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.1517221E-004,-4.8402231E-002, 8.0361224E-011
 1.6208443E+001, 1.4423680E-006, 5.7153356E-001,-4.2739625E+000, 3.6558598E+000,-1.4055529E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.7217674E-003,-4.6581773E-002, 8.1164045E-011
 1.6815186E+001, 1.4356543E-006, 7.4326006E-001,-4.8434258E+000, 4.0474764E+000,-4.0118391E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8785332E-003,-5.2728023E-002, 8.2760826E-011
 1.7406137E+001, 1.4526758E-006, 9.2670054E-001,-5.5857889E+000, 4.5989168E+000,-9.6854152E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.4254876E-003,-6.0266931E-002, 8.4858024E-011
 1.8005919E+001, 1.4937936E-006, 1.1383943E+000,-6.4197099E+000, 5.2186782E+000,-1.4386932E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0624006E-002,-6.2779775E-002, 8.7691997E-011
 1.8605860E+001, 1.5352789E-006, 1.3904633E+000,-7.1592669E+000, 5.6921958E+000,-3.2779804E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.2754742E-003,-7.6934055E-002, 9.1660841E-011
 1.9212658E+001, 1.6232080E-006, 1.6794502E+000,-7.9227674E+000, 6.1513548E+000,-9.6737535E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.2383915E-003,-9.2928065E-002, 9.8742398E-011
 1.9815149E+001, 1.7772890E-006, 2.0133194E+000,-8.7825149E+000, 6.6420387E+000,-1.6927528E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4970191E-003,-1.2884776E-001, 1.1094123E-010
 2.0407990E+001, 2.1020382E-006, 2.3899889E+000,-9.6988523E+000, 7.1524846E+000,-2.9286957E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.8675793E-003,-1.5930541E-001, 1.3301572E-010
 2.1000525E+001, 2.6662518E-006, 2.8177276E+000,-1.0712156E+001, 7.6752001E+000,-3.0666013E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7123032E-002,-2.2229232E-001, 1.7266138E-010
 2.1611919E+001, 3.8889656E-006, 3.3034022E+000,-1.1765538E+001, 8.2523865E+000,-3.2566888E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.6615429E-004,-2.1300222E-001, 2.5407883E-010
 2.2209095E+001, 6.6765148E-006, 3.8472535E+000,-1.2943070E+001, 8.8701161E+000,-1.8058444E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4253006E-004,-2.2750003E-001, 4.3054553E-010
 2.2806271E+001, 1.2762678E-005, 4.4501325E+000,-1.4120546E+001, 9.4728393E+000,-9.1497962E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.1157085E-003,-1.9847692E-001, 8.2195390E-010
 2.3406069E+001, 2.7474670E-005, 5.1241538E+000,-1.5404685E+001, 1.0015218E+001,-3.2702677E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.5236250E-003,-2.6561244E-001, 1.7735954E-009
 2.4012012E+001, 6.3908962E-005, 5.8776361E+000,-1.6666764E+001, 1.0505187E+001,-3.5069239E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5072897E-002,-2.8422772E-001, 4.1194133E-009
 2.4602272E+001, 1.4630951E-004, 6.7041544E+000,-1.8273136E+001, 1.1211237E+001,-4.1442267E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.5389872E-003,-3.5801275E-001, 9.3299169E-009
 2.5206200E+001, 3.0140451E-004, 7.6181614E+000,-1.9723242E+001, 1.1655347E+001,-5.8717619E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.3385300E-003,-4.5001902E-001, 1.8838625E-008
 2.5800074E+001, 5.9782938E-004, 8.6096943E+000,-2.1331238E+001, 1.2179082E+001,-1.1923061E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.6997597E-003,-5.4305616E-001, 3.6606663E-008
 2.6401037E+001, 1.0889305E-003, 9.7082562E+000,-2.3024156E+001, 1.2743855E+001,-2.2950779E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8510648E-002,-5.7325139E-001, 6.6601104E-008
 2.7003000E+001, 1.7794106E-003, 1.0880538E+001,-2.4842903E+001, 1.3282813E+001,-5.4554689E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.7698083E-003,-6.8322851E-001, 1.0518507E-007
 2.7608673E+001, 2.6787429E-003, 1.2180668E+001,-2.6735240E+001, 1.3836375E+001,-1.0114959E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1255968E-002,-7.2563331E-001, 1.6236803E-007
 2.8210218E+001, 4.2142378E-003, 1.3568652E+001,-2.8925601E+001, 1.4560673E+001,-1.7287560E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8161111E-002,-8.0934894E-001, 2.4870532E-007
 2.8805994E+001, 6.4518018E-003, 1.5079949E+001,-3.1060546E+001, 1.5041596E+001,-2.2719864E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9272194E-002,-9.5526863E-001, 3.8648807E-007
 2.9406570E+001, 1.0670695E-002, 1.6705542E+001,-3.3339793E+001, 1.5610556E+001,-2.8647841E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3571966E-002,-1.0416717E+000, 6.3783542E-007
 3.0005926E+001, 2.0173525E-002, 1.8394221E+001,-3.5724761E+001, 1.6228906E+001,-3.4790493E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5607685E-002,-1.1162509E+000, 1.2587207E-006
 3.0608154E+001, 9.2833000E-002, 2.0076565E+001,-3.8399168E+001, 1.7082101E+001,-4.9870032E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2155291E-002,-1.1975395E+000, 7.6542998E-006
 3.1202297E+001, 9.8890417E-001, 2.1408788E+001,-4.0965861E+001, 1.7275675E+001,-6.4027986E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.1629449E-002,-1.3565217E+000, 6.7336205E-005
 3.1807915E+001, 2.1964936E+000, 2.2886737E+001,-4.4453981E+001, 1.7841230E+001,-9.2643223E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.5769737E-002,-1.6221635E+000, 1.2082152E-004
 3.2402096E+001, 1.9080012E+000, 2.5320730E+001,-4.7443950E+001, 1.8525551E+001,-1.0538091E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1931713E-002,-1.7950495E+000, 1.1259092E-004
 3.3004791E+001, 2.0337295E+000, 2.7859406E+001,-5.0693704E+001, 1.8664904E+001,-1.5752447E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.0300917E-003,-2.2931888E+000, 1.1357775E-004
 3.3602982E+001, 2.4257420E+000, 3.0164707E+001,-5.4034233E+001, 1.9271787E+001,-1.3647057E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.0258907E-002,-2.3084675E+000, 1.3146280E-004
 3.4206703E+001, 2.7588730E+000, 3.2608417E+001,-5.7523364E+001, 1.9991248E+001,-1.1662602E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5461352E-002,-2.2814519E+000, 1.5870010E-004
 3.4802296E+001, 3.2424357E+000, 3.5207474E+001,-6.1169585E+001, 2.0240215E+001,-1.3425981E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.2119522E-002,-2.6137206E+000, 1.8836356E-004
 3.5404202E+001, 3.9433093E+000, 3.7779232E+001,-6.5384612E+001, 2.1080268E+001,-8.7610278E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0204516E-002,-2.6694127E+000, 2.2197574E-004
 3.6000835E+001, 3.8074832E+000, 4.1172641E+001,-6.9231619E+001, 2.1574160E+001,-1.2090965E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.1625618E-002,-2.7982454E+000, 2.1151370E-004
 3.6605034E+001, 3.8401630E+000, 4.4533562E+001,-7.3443479E+001, 2.2125565E+001,-1.2186146E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.3629549E-002,-3.0660508E+000, 2.1579753E-004
 3.7205803E+001, 4.1819867E+000, 4.8426421E+001,-7.8140114E+001, 2.2201320E+001,-1.5891790E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.4836841E-002,-3.4893046E+000, 2.2774680E-004
 3.7800259E+001, 4.2939489E+000, 5.2114881E+001,-8.2695505E+001, 2.2599463E+001,-1.5879942E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9529390E-002,-3.8460122E+000, 2.4144652E-004
