s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.3012606E-001, 5.7111339E-006, 1.1292960E-008,-1.4970533E-003,-5.1464781E-009,-3.5675845E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4068577E-004,-1.4913717E-003, 3.9693340E-010
 1.2252451E+000, 7.0930408E-006,-7.5743083E-008,-1.4968996E-003,-1.1074569E-008,-1.7869931E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0966853E-004,-1.4900721E-003, 3.9685270E-010
 1.8203641E+000, 7.1053076E-006,-1.6942696E-007,-1.4954708E-003,-1.2343234E-008,-4.2252479E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0962531E-004,-1.4889697E-003, 3.9677437E-010
 2.4154832E+000, 7.1065709E-006,-2.6226133E-007,-1.4940323E-003,-7.2376126E-009,-1.1530974E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0958400E-004,-1.4883483E-003, 3.9669609E-010
 3.0106022E+000, 7.1057263E-006,-3.5511607E-007,-1.4925072E-003, 2.4804787E-009,-2.1863465E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0954236E-004,-1.4879405E-003, 3.9661787E-010
 3.6057212E+000, 7.1051406E-006,-4.4604608E-007,-1.4907917E-003, 1.8931186E-008,-3.4548395E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0950089E-004,-1.4875686E-003, 3.9653970E-010
 4.2008405E+000, 7.1038559E-006,-5.3573776E-007,-1.4887938E-003, 3.5457629E-008,-2.7669924E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0945778E-004,-1.4849572E-003, 3.9646160E-010
 4.8309665E+000, 7.1018206E-006,-6.2696197E-007,-1.4864196E-003, 4.1329129E-008,-2.9283498E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0941007E-004,-1.4828318E-003, 3.9638127E-010
 5.4260855E+000, 7.1003609E-006,-7.1663330E-007,-1.4837999E-003, 5.0969405E-008,-3.3800978E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0935853E-004,-1.4807453E-003, 3.9630101E-010
 6.0212045E+000, 7.0976005E-006,-8.0112081E-007,-1.4810732E-003, 5.2028992E-008,-3.6493596E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0930002E-004,-1.4783741E-003, 3.9622311E-010
 6.6163235E+000, 7.0976774E-006,-8.8362427E-007,-1.4782229E-003, 5.4124333E-008,-4.5460982E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0922595E-004,-1.4765008E-003, 3.9614527E-010
 7.2114425E+000, 7.0972802E-006,-9.6497027E-007,-1.4752876E-003, 6.1084351E-008,-6.3232039E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0912627E-004,-1.4754174E-003, 3.9606751E-010
 7.8065615E+000, 7.0931883E-006,-1.0432944E-006,-1.4723075E-003, 7.6622983E-008,-5.7817843E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0898871E-004,-1.4719628E-003, 3.9598981E-010
 8.4016809E+000, 7.0915626E-006,-1.1194380E-006,-1.4693270E-003, 9.5849699E-008,-3.4934278E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0878895E-004,-1.4667524E-003, 3.9591219E-010
 9.0318069E+000, 7.0936916E-006,-1.1959575E-006,-1.4662972E-003, 1.0482325E-007,-4.8230202E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0848396E-004,-1.4651177E-003, 3.9583235E-010
 9.6269255E+000, 7.0895186E-006,-1.2703706E-006,-1.4633463E-003, 1.0657196E-007,-5.7502426E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0804781E-004,-1.4631709E-003, 3.9575259E-010
 1.0222045E+001, 7.0879581E-006, 1.8886524E-004,-1.2270808E-002, 1.0594336E-002,-1.0075342E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0746155E-004,-1.4905946E-003, 3.9567519E-010
 1.0817163E+001, 7.0899188E-006, 6.7896198E-003,-1.8815791E-001, 1.7936895E-001,-1.8135364E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5839363E-004,-2.0103923E-003, 3.9560141E-010
 1.1412283E+001, 7.0857630E-006, 2.3645324E-002,-4.8299659E-001, 4.5578976E-001,-2.1819262E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.8924804E-004,-3.5762346E-003, 3.9554928E-010
 1.2007401E+001, 7.0856401E-006, 4.7217081E-002,-8.0655876E-001, 7.5074983E-001,-2.8391103E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2364541E-003,-8.6131522E-003, 3.9553573E-010
 1.2602521E+001, 7.0883477E-006, 7.8824887E-002,-1.1341868E+000, 1.0394283E+000,-3.5723847E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2157975E-003,-1.5962303E-002, 3.9557612E-010
 1.3232647E+001, 7.0920352E-006, 1.2114680E-001,-1.4849814E+000, 1.3485832E+000,-4.5742409E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3232154E-004,-1.5289998E-002, 3.9569527E-010
 1.3827765E+001, 7.0964907E-006, 1.7677111E-001,-1.9898358E+000, 1.7937984E+000,-4.8677766E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2614036E-003,-1.9307880E-002, 3.9592174E-010
 1.4422885E+001, 7.1014146E-006, 2.4524709E-001,-2.6104686E+000, 2.3386524E+000,-5.0142484E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.2162803E-003,-2.6612109E-002, 3.9630315E-010
 1.5018003E+001, 7.1070862E-006, 3.2939750E-001,-3.1633260E+000, 2.7955682E+000,-5.8262754E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.5030181E-003,-3.8411433E-002, 3.9688608E-010
 1.5613123E+001, 7.1191686E-006, 4.3305920E-001,-3.6509580E+000, 3.1756282E+000,-8.5457919E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.3205920E-004,-4.2348890E-002, 3.9774783E-010
 1.6209696E+001, 7.1997120E-006, 5.6791205E-001,-4.2368046E+000, 3.6535142E+000,-9.6048306E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.6759308E-003,-1.5467199E-002, 3.9930857E-010
 1.6812714E+001, 7.1751018E-006, 7.3584677E-001,-4.7848966E+000, 4.0424033E+000,-1.3015615E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6305171E-003,-6.7695391E-003, 4.0226080E-010
 1.7413273E+001, 7.1677298E-006, 9.1944780E-001,-5.5493676E+000, 4.6058058E+000,-3.0933967E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.7468072E-003,-2.4416202E-002, 4.0599063E-010
 1.8013443E+001, 7.2421819E-006, 1.1284060E+000,-6.3802927E+000, 5.2228126E+000,-1.3278610E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0050531E-002,-3.0394712E-002, 4.1074449E-010
 1.8608295E+001, 7.3424933E-006, 1.3818281E+000,-7.1028745E+000, 5.6905090E+000,-3.3785155E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.3161206E-003,-3.3908688E-002, 4.1722789E-010
 1.9204817E+001, 7.4802153E-006, 1.6616717E+000,-7.8139020E+000, 6.1189706E+000,-4.9119221E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.7259071E-003,-3.8164094E-002, 4.2769990E-010
 1.9811581E+001, 7.6688935E-006, 1.9935589E+000,-8.7080074E+000, 6.6667254E+000,-8.2489989E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.0267459E-003,-5.5964440E-002, 4.4331950E-010
 2.0407480E+001, 8.0331739E-006, 2.3729672E+000,-9.6133077E+000, 7.2069256E+000,-1.0670594E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2297080E-002,-4.4077464E-002, 4.7050882E-010
 2.1000202E+001, 8.7264542E-006, 2.7897376E+000,-1.0575860E+001, 7.6495257E+000,-1.3170701E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2374018E-002,-1.4975864E-001, 5.1606958E-010
 2.1608522E+001, 9.9036940E-006, 3.2638748E+000,-1.1631103E+001, 8.2284813E+000,-1.5417255E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1057205E-002,-1.5415435E-001, 5.9859103E-010
 2.2201244E+001, 1.2522407E-005, 3.8003743E+000,-1.2714101E+001, 8.7881495E+000,-1.1301677E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2989660E-002,-1.3686676E-001, 7.6640548E-010
 2.2801029E+001, 1.8339361E-005, 4.3995398E+000,-1.3973346E+001, 9.4643099E+000,-3.3986320E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.0314813E-004,-1.1287627E-001, 1.1236752E-009
 2.3411053E+001, 3.0500835E-005, 5.0967646E+000,-1.5217728E+001, 1.0008979E+001,-1.8640024E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.4131249E-003,-1.1381755E-001, 1.9214433E-009
 2.4002949E+001, 5.5852031E-005, 5.8312050E+000,-1.6608794E+001, 1.0562283E+001,-1.3040533E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9787725E-003,-2.1655421E-001, 3.5077463E-009
 2.4611618E+001, 1.1168074E-004, 6.6489627E+000,-1.7981864E+001, 1.1034995E+001,-1.4029440E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.6738229E-004,-2.9919743E-001, 7.0906242E-009
 2.5205671E+001, 2.4068885E-004, 7.5580423E+000,-1.9481452E+001, 1.1677408E+001,-1.3943432E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9955126E-002,-2.4715500E-001, 1.5306527E-008
 2.5810711E+001, 5.3679895E-004, 8.5486836E+000,-2.1209934E+001, 1.2309109E+001,-1.7722063E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.0909192E-003,-3.5337655E-001, 3.3975131E-008
 2.6408064E+001, 1.1385269E-003, 9.6299165E+000,-2.2887231E+001, 1.2910722E+001,-2.2124399E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9413680E-003,-3.4766612E-001, 6.9465335E-008
 2.7004770E+001, 2.0129635E-003, 1.0804482E+001,-2.4719066E+001, 1.3526224E+001,-3.7713792E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4574111E-002,-3.9011902E-001, 1.2190765E-007
 2.7603149E+001, 3.3423954E-003, 1.2101038E+001,-2.6700324E+001, 1.4080059E+001,-1.1276374E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.0636841E-003,-5.2716041E-001, 2.0116392E-007
 2.8201080E+001, 5.0258170E-003, 1.3483535E+001,-2.8729009E+001, 1.4461637E+001,-2.5345744E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.3619480E-002,-8.0415695E-001, 3.0199576E-007
 2.8802847E+001, 7.7126918E-003, 1.4993750E+001,-3.1044662E+001, 1.5273350E+001,-2.4880500E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6234653E-002,-7.9472934E-001, 4.6147209E-007
 2.9404615E+001, 1.2256793E-002, 1.6583799E+001,-3.3368880E+001, 1.5946660E+001,-2.8341523E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.0921386E-002,-8.5450660E-001, 7.2698168E-007
 3.0006384E+001, 1.8638496E-002, 1.8300867E+001,-3.5960709E+001, 1.6607300E+001,-3.8564594E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9444495E-002,-1.0724671E+000, 1.1261641E-006
 3.0601566E+001, 3.2713103E-002, 2.0140429E+001,-3.8628798E+001, 1.7215462E+001,-6.8810354E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9776978E-002,-1.3090031E+000, 1.9949815E-006
 3.1201973E+001, 7.5599394E-002, 2.2011766E+001,-4.1355806E+001, 1.7845093E+001,-1.0534523E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1774975E-002,-1.5286926E+000, 5.2563184E-006
 3.1805305E+001, 1.2148214E+000, 2.3499955E+001,-4.4726133E+001, 1.8403471E+001,-1.8608669E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.1362624E-002,-1.7939717E+000, 9.7749155E-005
 3.2406990E+001, 5.5490427E+000, 2.3526414E+001,-4.9577059E+001, 1.8737352E+001,-2.2625026E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8746739E-001,-1.9905007E+000, 3.3268291E-004
 3.3001720E+001, 3.7952925E+000, 2.6609996E+001,-5.2086324E+001, 1.9736499E+001,-1.5028767E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7086878E-002,-2.0948240E+000, 1.9267525E-004
 3.3603317E+001, 5.8521731E+000, 2.8381956E+001,-5.6148626E+001, 1.9653894E+001,-1.8704995E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3858332E-001,-2.4476527E+000, 3.3977724E-004
 3.4200890E+001, 4.6359512E+000, 3.1700400E+001,-5.9447357E+001, 2.0274128E+001,-2.3588011E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.3374501E-003,-3.0727574E+000, 2.5209458E-004
 3.4806534E+001, 6.7464308E+000, 3.3804711E+001,-6.4464015E+001, 2.0881549E+001,-2.7127732E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.4711412E-002,-3.3026021E+000, 3.6336226E-004
 3.5404102E+001, 6.3050095E+000, 3.6867046E+001,-6.7964438E+001, 2.1396763E+001,-2.3400576E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.0906018E-002,-3.6296259E+000, 3.8090691E-004
 3.6003433E+001, 7.4044754E+000, 3.9162305E+001,-7.2369780E+001, 2.2141986E+001,-2.5506624E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.4336767E-002,-3.9160791E+000, 4.1871913E-004
 3.6605247E+001, 9.3262073E+000, 4.1458011E+001,-7.7218543E+001, 2.2080542E+001,-3.4309928E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.9803672E-002,-4.6968820E+000, 5.2164737E-004
 3.7201443E+001, 1.1147716E+001, 4.4326147E+001,-8.2653924E+001, 2.2431466E+001,-4.0914361E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8147488E-001,-5.1577383E+000, 6.0477154E-004
 3.7801136E+001, 1.0009294E+001, 4.9321393E+001,-8.7125795E+001, 2.3045364E+001,-2.9615118E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7067675E-001,-5.0458956E+000, 5.8178718E-004
